sm,FMT102,FMT103,FMT104,FMT105,FMT106,FMT107,FMT108,FMT109,FMT110,FMT111,FMT112,FMT113,FMT114,FMT115,FMT116,FMT117,FMT118,FMT119,FMT120,FMT121,FMT122,FMT123,FMT124,FMT125,FMT126,FMT127,FMT128,FMT129,FMT130,FMT131,FMT132,FMT133,FMT134,FMT135,FMT136,FMT137,FMT138,FMT139,FMT141,FMT142,FMT143,FMT144,FMT145,FMT146,FMT147,FMT148,FMT149,FMT150,FMT151,FMT152,FMT153,FMT154,FMT155,FMT156,FMT157,FMT158,FMT159,FMT161,FMT163,FMT164,FMT165,FMT166,FMT167,FMT168,FMT169,FMT170,FMT171,FMT172,FMT173,FMT174,FMT175,FMT177,FMT178,FMT180,FMT181,FMT182,FMT183,FMT184,FMT185,FMT186,FMT188,FMT189,FMT190,FMT191,FMT192,FMT193,FMT194,FMT195,FMT196,FMT201
arylpolyene,6.799279308934075e-06,1.4888289474524034e-06,1.396543080498343e-06,5.6893905340497105e-06,9.277488066813152e-05,2.1367829579715056e-05,4.578332349766687e-06,8.181255980183773e-05,4.118435336579065e-05,5.03015036887901e-05,5.5059960868542856e-05,0.00012898093623931833,5.362468068517847e-05,1.1338585522733414e-05,3.928264451017283e-05,3.879190005545126e-05,1.882004855613556e-05,3.900760532554021e-05,6.969359215698142e-05,2.0170818513157384e-05,7.130710826165327e-06,0.0001166603907301142,5.5257592557168505e-06,7.403976950676854e-05,7.389162516034511e-05,4.350749730443568e-05,7.381947243999508e-05,2.522634960092021e-05,5.354077964100806e-05,4.437691039997347e-05,8.886706002073323e-05,0.00010027585778374403,4.332446078356769e-05,6.117440521656399e-05,3.326131698645222e-05,4.283727394294809e-06,2.3927682342120902e-06,3.940704849785371e-06,0.00012168352904803418,7.1307426214724924e-06,1.1257893991418531e-05,3.969429236529742e-06,5.9478749271384224e-05,4.1245611027108836e-05,4.866644563972984e-05,0.0001375911393212105,7.498242822290848e-05,2.8612366218305677e-05,6.618816365532892e-05,7.438352087667316e-05,3.8575014616473304e-05,2.126657436894912e-05,0.00015418345336206543,4.983609749698637e-05,6.216122778489841e-05,6.329936351855013e-05,6.109493407127991e-05,7.435355807420894e-06,4.0613029405114546e-05,3.154036743014086e-07,3.816261257313152e-05,6.14470517407891e-05,4.358344320207471e-05,9.495484733434214e-05,0.00014427204214832132,6.394319424465558e-05,5.535377568926653e-05,2.53515626773307e-05,2.8379324908685643e-05,0.00011756959081577487,3.719005249035793e-05,1.2649585135264467e-05,1.2342883152032306e-05,3.522805600393904e-05,3.103526493615286e-05,2.8669466358141482e-05,5.730936570490358e-05,0.00011085808082219512,7.82011823150873e-05,4.179483034257721e-05,5.803211112403553e-05,5.972191197930216e-05,0.00010146392055067475,0.00010771669759456134,0.000134395957935954,6.287395864619481e-05,6.182615960126741e-05,7.973493908357988e-05,8.721802807733294e-05,0.00013014954567929177
bacteriocin,1.604816743816877e-05,6.646401093329033e-06,5.4693328683234756e-05,9.084156004550013e-06,1.984517749142149e-05,1.289585535192133e-07,5.257234172290094e-06,3.836334912365053e-06,3.6759987220519602e-06,9.590178712274876e-06,7.59983591790743e-06,5.255614559643744e-06,5.369114425676384e-06,2.3822114052694683e-06,1.5907872677303516e-06,6.7578925368322736e-06,6.132787707587859e-06,2.9098403925609247e-05,8.17880844616512e-06,6.213560969756448e-06,5.934080489634769e-06,4.0425337621589066e-05,6.635896442027442e-07,1.0448461583088535e-05,1.051243239005132e-05,4.150221692897066e-06,2.27309150127346e-05,6.717732132041927e-06,3.7879832291779998e-06,4.528085777247082e-06,2.5778616248502565e-05,1.8754499334213677e-05,2.2067243786641516e-05,4.896316747573605e-06,9.794411798267723e-05,0.00010635049057192027,3.717446934894901e-05,4.2792891862640455e-05,1.6134679654248644e-05,4.526139660217857e-05,6.120551715612728e-05,6.998509683052691e-07,8.208002759438735e-06,3.352303120646691e-05,1.638636351106249e-05,1.5365305617063818e-05,5.502098391185023e-06,7.6251064441627355e-06,1.0507763635244578e-05,4.374194746396247e-06,8.532001644011537e-06,1.9023000850665323e-06,1.4887982070037993e-05,4.065018570022335e-05,5.7518335920879574e-05,4.2103455088327984e-05,6.254667309146059e-05,1.1818251761787618e-05,2.093029882548097e-05,1.132753453089398e-05,2.3289042951244283e-05,1.2069303999571866e-05,6.339873436023997e-05,4.066856066820125e-05,4.307089614390994e-05,4.341554880397228e-05,4.827666249313679e-05,2.5120838071428604e-06,2.152339765245374e-06,1.181424458800398e-06,2.2829371446869923e-06,1.759483275563129e-05,1.3991419513569628e-05,1.4040705177569478e-05,6.865497997513451e-06,7.152944259205175e-06,4.163002919792727e-06,1.2049051399570878e-05,3.543591533004138e-05,2.7331584590885716e-05,1.1258286499100891e-05,7.341467446792968e-06,2.9734580154135483e-05,1.4157890790679098e-05,3.127630764024144e-05,4.551482280020144e-05,1.0560364398463585e-05,1.9174897116598774e-05,8.77045726104423e-06,2.676119406204287e-05
lantipeptide,6.953256512112603e-05,6.64939804758082e-05,8.995930198145732e-05,2.7503667174564182e-05,9.763514180236923e-06,7.27073265262112e-08,1.8171855017506753e-05,1.4409953389302401e-05,1.807864713870344e-05,1.617382411239559e-05,1.0766655771515969e-05,3.582691957761603e-05,1.9135722944425975e-05,7.220859187911281e-06,1.4853703592371043e-05,2.4245650291769125e-05,5.052447609694338e-06,1.7404490205510798e-05,3.6689849208768884e-05,1.2582883125659802e-05,2.475418652586632e-05,5.4722418247378224e-06,0.00011200316206762345,0.0001548583951719494,0.0001695037111961809,7.880840154449809e-05,7.661791197686958e-06,1.3699435274501591e-05,4.612382069136377e-05,6.6045088500095695e-06,3.3752431893167333e-06,2.481544844419993e-06,1.0810685809529441e-06,3.500469584451399e-05,2.3410417827247932e-06,4.067094081285369e-07,1.0951562459830234e-06,3.76671697407327e-08,5.6816946277692874e-06,5.17317958477775e-05,3.647402283543159e-05,1.8101851513408872e-06,6.092067807064754e-06,9.157515069229517e-06,8.6583743662558e-06,4.395126709248169e-05,5.3724020316823205e-06,1.0033928123397883e-05,8.522297721346722e-06,5.4018041703002615e-06,3.63018513611964e-06,8.635274926449492e-06,9.135454322227369e-07,7.0267117739555966e-06,3.786824046137242e-06,6.459577762581322e-06,5.783713239864699e-06,3.4844948279711023e-06,6.345161957336005e-06,4.017716668465745e-05,2.594468547023341e-06,2.541529691781255e-06,6.756470119968524e-06,2.0305122849451406e-05,7.136885880661677e-06,1.4322331441814315e-05,6.887114077600182e-06,7.30759212250342e-06,2.0571669908341965e-06,3.6506398673146856e-06,9.37080434255751e-06,1.153934158015189e-05,2.84641844414403e-05,3.293993736942675e-05,2.7394298926305864e-05,2.6089699088868487e-05,3.2956476891339184e-05,1.0108051380996436e-05,5.0097529526699525e-06,1.056886074321635e-06,7.724871099928123e-06,1.4684476835723347e-05,4.813228326195145e-06,9.0146187147471e-06,3.964758762048173e-06,1.768738788913218e-06,1.2567117715150587e-05,5.2381503029226285e-06,6.5390301768669515e-06,4.997548566314784e-06
nrps,4.11264815551972e-05,1.6364225072671232e-05,1.835020417738563e-05,0.0001199876037343295,0.00011574653221344309,0.0001952935101902457,8.135584088782604e-05,6.299714522660173e-05,5.906460169430855e-05,5.349723677435875e-05,4.5221158213713086e-05,2.301902600857874e-05,4.094296208429836e-05,2.9406922271201025e-05,3.504776564994311e-05,2.155784952017446e-05,4.823752061624763e-05,7.430066134131316e-05,0.00012474121871550552,4.1935170834552644e-05,8.251474525899673e-05,8.822193785493601e-05,0.00014472852492672692,1.4018980348790933e-05,1.229217011878101e-05,3.47868108689047e-05,3.5705474633327735e-05,0.00010695117746339162,0.00011799889134600497,4.420394393603625e-05,1.870429437935453e-05,1.6188806400694915e-05,4.492298743076786e-06,2.0581704735035196e-05,3.181825230123385e-05,2.964699530217902e-06,4.9528395585452164e-06,2.038147482185665e-06,1.647420968717118e-05,4.029690984107089e-05,5.701407265444773e-05,0.00018769676748960274,7.342445517615689e-05,6.685155523616632e-05,6.374709586888329e-05,1.846044415732016e-05,2.180016642417592e-05,7.959641998950138e-05,3.9891349637248666e-05,8.437432541931438e-06,2.1690086644943957e-05,2.7824974013642998e-05,1.2890627750194205e-05,2.7950493565753255e-05,2.1937832995330286e-05,2.4974451446183077e-05,3.8040601440251486e-05,0.0001561213392796155,7.738538968865333e-05,0.0002582099805859184,6.326542211258473e-05,9.669779025985803e-05,0.00011394492419181721,2.3685116344111765e-05,2.7579589046670264e-05,3.658495790166601e-05,4.629097649484062e-05,5.890802105588551e-05,3.905359717701162e-05,4.384035160471042e-05,7.387963876490572e-05,4.3718639822273014e-05,9.236765901891323e-05,3.3321608854794356e-05,2.0060650688038835e-05,2.143825462798628e-05,1.1944149054323903e-05,3.576708226968889e-05,4.803662007939339e-05,1.7472462153393176e-05,3.194037228806376e-05,4.90832246540816e-05,5.4059777998482734e-05,3.9971263999749755e-05,3.290593392249465e-05,2.5598593210614017e-05,6.21727781958293e-05,2.1524247644604522e-05,2.7505390281901362e-05,4.4872099494361914e-05
other,8.822142745472136e-07,8.490951040031708e-07,2.0420350207458957e-05,6.581905810490253e-06,1.537523484640213e-05,4.6141809097452574e-05,1.5211503243987077e-06,1.6553741030112024e-05,1.1789369720059401e-05,7.636796853653979e-06,1.0750651188477031e-05,1.2493119170411078e-06,8.793831642460408e-06,1.1571377060225675e-05,1.2330104640987007e-05,2.623575694141072e-05,4.4387555335209134e-05,6.27260656948514e-06,3.941253228217197e-06,3.674537955287052e-07,8.218437773927242e-06,7.086512050277342e-05,3.350646236393176e-05,7.009688408027909e-06,1.2715783927233823e-05,1.767272736046316e-05,1.1784380798506074e-05,2.3236377234206725e-05,3.5448850535077796e-05,2.060063456867821e-05,4.975168658901366e-07,2.8115210160505968e-06,1.436251530668294e-06,1.7102996619496514e-05,7.806051987370663e-06,2.394084720845003e-07,2.0847481082981864e-07,3.8899006085544345e-07,3.9079276063163055e-05,1.4675274326041447e-05,9.165443016985541e-06,1.4058326120263945e-05,7.083917018663869e-06,9.658660483071826e-06,1.720356692861699e-06,3.0947729820356457e-06,8.116037026610227e-06,3.097919951300281e-06,4.942023481331467e-06,2.9451515504878486e-06,9.104955623856817e-06,1.016235669362129e-06,2.0818218018730964e-05,8.61097490346059e-06,1.0629869076515183e-05,1.8833744351257346e-05,1.2847854484302562e-05,0.00011115880758522165,4.264234186343648e-05,0.0001365219008976667,4.2953151214477646e-05,9.100870516568854e-05,8.997194268631425e-05,5.197565240112448e-06,2.4827332677775136e-06,8.853155272850297e-06,7.454966716424929e-06,9.703781938008719e-05,4.672909212591444e-05,5.5163023156100715e-05,7.105759429277265e-05,1.3083240416814091e-05,1.2408276122054153e-05,1.0320817257305258e-05,8.262882801745273e-06,1.9518693315257834e-05,1.704758622077089e-05,4.720186706686688e-06,1.406756338282536e-05,2.011384006911293e-05,5.03485802454611e-06,5.296444762766708e-06,1.0256962167532029e-05,3.7504782295738483e-06,1.057405853485475e-05,2.8027788675669248e-05,4.4683643925989724e-06,6.018865436914675e-06,8.025880054964604e-06,8.606380509484046e-06
siderophore,0.0,0.0,5.971936723614139e-08,0.0,1.4422368697978586e-06,1.0132633632278611e-05,1.1585407282169059e-07,5.70273250577666e-07,5.6824255127356504e-08,0.0,0.0,2.8530552361939804e-06,3.03964216008036e-06,6.20456486347582e-08,3.57348959105452e-07,5.95472375019233e-08,0.0,1.1779634921904258e-06,5.8633240314373304e-08,8.292654148346273e-06,5.5460161681852005e-06,5.72291408694312e-05,7.87299558500168e-05,0.0,5.83298313717458e-08,0.0,0.0,0.0,0.0,0.0,2.3502019730560747e-06,3.0383881381967704e-06,8.708251430976312e-07,0.0,0.0,6.1493375966809e-08,6.021439752099269e-08,2.42988902217325e-07,5.29991599956385e-07,4.466001780678467e-07,5.6985856484088003e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.190473433983966e-06,3.0267596255448996e-06,5.324033250152009e-07,3.19302711069331e-06,2.226086773331241e-05,0.0,0.0,0.0,9.695216962799079e-07,1.1855828575057099e-07,0.0,3.44885082950898e-05,3.42419677576483e-07,4.49466539435449e-07,2.40755767908087e-07,1.0614226318150987e-06,6.061342157739759e-08,0.0,0.0,7.23600883068471e-06,2.82948853084854e-07,0.0,1.1304018887276819e-05,1.158578236197821e-05,1.4674784856637629e-06,3.45130054348201e-07,4.4036663617268084e-07,0.0,1.1506271583689301e-07,0.0,0.0,3.411582279205925e-07,1.55213890028528e-06,0.0,0.0,5.74504482645152e-08,0.0,5.93107116733162e-08,9.06268140187514e-07,1.1767889991949924e-06,5.7532968863900496e-08
terpene,1.24172472273255e-07,0.0,0.0,0.0,1.026945750983099e-07,0.0,0.0,0.0,4.033232907556e-07,4.60065859443478e-07,4.02062017540124e-07,0.0,4.90160707452325e-07,0.0,0.0,0.0,6.1491997398373e-08,0.0,0.0,0.0,0.0,2.17090040118779e-06,0.0,4.16678698038744e-06,7.600624053817421e-07,1.68913602108825e-06,0.0,5.6700577318466104e-08,0.0,1.12998591876938e-07,0.0,7.35329504148809e-07,0.0,0.0,0.0,0.0,0.0,0.0,1.02266037697414e-06,5.73140269078292e-08,0.0,0.0,0.0,0.0,0.0,0.0,5.77730802749617e-08,0.0,5.8023247661352e-08,6.13411073930339e-08,4.2684548971378205e-07,3.0444210141683004e-07,0.0,5.76323711680704e-08,2.8641427732085e-07,2.31449385481387e-07,2.8809530130129e-07,3.49718239442673e-07,1.20792892183566e-06,0.0,5.89655418276482e-08,5.8388349976720595e-08,1.1470398943826999e-07,0.0,0.0,0.0,0.0,0.0,2.3862226619246697e-07,1.7495287661208802e-07,3.48553652193424e-07,1.49647443901882e-06,3.57650122864943e-07,0.0,0.0,0.0,0.0,0.0,4.6060307358643295e-07,7.15026968336943e-07,6.94946862672494e-07,2.85131137138843e-07,2.90962193905888e-07,9.45352478555685e-08,2.33010195055381e-07,9.96516816786055e-07,0.0,1.2450313659990488e-06,1.0771476279540853e-06,4.0835355038304205e-07
t1pks,1.6770810707673412e-07,1.440313687356949e-07,2.173286587103313e-07,6.287001192623211e-06,2.5338314043417956e-05,0.0001211276805970402,2.430380262263973e-07,7.38314018144025e-07,5.874906251932559e-08,6.03889135906642e-08,2.0104855227375e-08,4.71782923515961e-06,4.50648360768633e-06,1.7616870791347338e-07,8.18963745948126e-07,1.2744975911161272e-06,4.960671245929211e-07,1.515197436327163e-05,6.759239275192539e-06,1.585261139124754e-07,4.810234395964686e-06,7.345426504042941e-05,8.656087630164806e-05,4.2665202151839983e-07,2.865033153023286e-07,1.02746574528941e-06,1.6557597888045825e-06,1.6998917864277859e-07,1.987020096201262e-08,8.38436250290904e-07,2.656894170816328e-07,4.135897296614167e-06,2.16591300130234e-08,1.2474618735244e-07,1.6824365902739162e-05,4.708258501835802e-07,3.107596115188357e-07,6.540568734334345e-07,1.5151982244093643e-06,6.151089424970369e-07,2.451556850318696e-07,2.9310710879080947e-06,0.0,3.66629275027698e-06,0.0,1.22486173928628e-06,3.923836765918646e-06,1.262632060665316e-06,1.8730638544484818e-06,5.727577973212887e-07,7.614550185863052e-06,1.7708662869385734e-06,6.181425283432481e-08,1.6749913080461585e-06,2.013429615542555e-06,1.1012984373997444e-06,2.283139517799874e-06,2.4426360625592918e-05,9.546757950393753e-06,8.253425642126079e-05,1.724391049354327e-05,2.0437705886781202e-08,0.0,6.626333078687819e-07,3.8689395652886175e-07,9.456116324954771e-07,2.640856831529254e-07,1.0016824235733089e-07,8.866908280583714e-06,1.092205618628055e-07,0.0,2.669132056703682e-07,5.579020887817941e-07,3.189081454335575e-06,2.5813738659542033e-06,1.6557538974674491e-06,3.286662764853038e-07,2.414735594061377e-07,7.29380320070271e-08,4.1713546411837596e-08,1.824394711261482e-07,0.0,9.408886419147521e-08,1.0186643868938881e-07,3.1071313478708847e-07,9.47779646926665e-08,1.211021618210942e-06,0.0,0.0,6.22343666237069e-07
ladderane,0.0,0.0,0.0,3.982212925003125e-07,1.859624798224196e-06,5.40060743319828e-06,3.99446489074813e-08,6.813279855895172e-07,4.46750909729284e-08,8.9180560710796e-08,2.124519544250648e-07,4.84991435019419e-08,1.10691586419575e-05,3.0731486833261896e-05,2.80813515329517e-05,0.0,7.62866890593077e-07,0.0,0.0,0.0,4.0805173217453904e-08,1.61843082211892e-07,1.69141570604406e-06,3.18597166758666e-06,4.81517099165542e-06,1.5466731055823998e-05,2.1786656964309798e-06,6.0890205227092395e-05,3.03707551997593e-06,2.467024278932158e-07,5.50365985843165e-06,0.0,4.79783434794576e-08,0.0,0.0,4.8345942404216507e-08,0.0,4.7759320767342996e-08,6.71668813379687e-06,2.3730799162803e-05,3.495934422021011e-05,8.327754873748221e-08,3.82666211270193e-05,3.4832306399674e-05,4.15154052014766e-05,1.90260819839905e-07,4.79313305106654e-06,1.1667814774907001e-05,6.70345171256191e-06,0.0,4.728058488420589e-08,0.0,1.82570919061416e-07,5.155974859846281e-06,2.70934728963347e-06,1.3010806625657001e-05,1.59940843131634e-05,1.35580887145231e-07,0.0,0.0,9.14404748775167e-08,4.52726989670648e-08,0.0,3.2077704444326e-06,1.7391205180488007e-05,3.60789962401328e-06,8.42516385921567e-06,5.386060833905946e-07,1.74401222612606e-07,0.0,8.49154943481427e-08,7.41183090489806e-08,0.0,0.0,9.16752821889918e-08,4.61776375876625e-08,1.8935190474348302e-07,1.4935893682121061e-06,2.2717830354503292e-05,1.2683247159588029e-05,0.0,4.4216547112464696e-08,2.64407858038785e-05,2.0004907794589147e-06,1.71184455445169e-05,1.4266582678954479e-05,7.184925333837309e-06,2.060966116302156e-07,2.1310960041641602e-07,2.29327659530887e-05
t2pks-ladderane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
