Best_Hit_ARO,FMT102,FMT103,FMT104,FMT105,FMT106,FMT107,FMT108,FMT109,FMT110,FMT111,FMT112,FMT113,FMT114,FMT115,FMT116,FMT117,FMT118,FMT119,FMT120,FMT121,FMT122,FMT123,FMT124,FMT125,FMT126,FMT127,FMT128,FMT129,FMT130,FMT131,FMT132,FMT133,FMT134,FMT135,FMT136,FMT137,FMT138,FMT139,FMT141,FMT142,FMT143,FMT144,FMT145,FMT146,FMT147,FMT148,FMT149,FMT150,FMT151,FMT152,FMT153,FMT154,FMT155,FMT156,FMT157,FMT158,FMT159,FMT161,FMT163,FMT164,FMT165,FMT166,FMT167,FMT168,FMT169,FMT170,FMT171,FMT172,FMT173,FMT174,FMT175,FMT177,FMT178,FMT180,FMT181,FMT182,FMT183,FMT184,FMT185,FMT186,FMT188,FMT189,FMT190,FMT191,FMT192,FMT193,FMT194,FMT195,FMT196,FMT201
AAC(3)-IV,0.0,0.0,6.482265861813901e-06,6.1832906144594e-07,0.0,5.31486155333701e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.48444366481589e-06,1.8918886387283299e-06,0.0,0.0,6.335930532310121e-07,2.5129816765264703e-06,4.41903709462926e-06,0.0,0.0,0.0,0.0,0.0,1.30110075899259e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.35279131444149e-07,0.0,0.0,0.0,0.0,0.0,0.0,7.2868564072964205e-06,2.397032977357e-06,3.083583605794e-06,5.52882362191239e-06,7.9079057995744e-06,9.56005613790966e-06,0.0,0.0,0.0,0.0,5.52514338650634e-06,3.72901523258955e-06,7.89832713868754e-06,8.47302241786559e-06,6.23621711678387e-07,2.48404267153469e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAC(3)-IXa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.173354135839509e-07,0.0,0.0,0.0,0.0,0.0,0.0,6.92568337223129e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACI-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACT-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.47938496914897e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APH(6)-Ic,0.0,0.0,0.0,1.02743499636032e-07,3.488560732145875e-05,0.0,0.0,1.1678651209977904e-05,5.355111308999646e-06,8.02529340214813e-06,9.600720346386247e-06,1.248528854974064e-05,1.5498526183552895e-05,2.273374539897174e-05,3.053658600742131e-05,5.344701766668028e-06,5.198104665138558e-06,0.0,0.0,1.31556807353705e-06,2.11857238122093e-07,2.07841059777298e-07,5.995752911360041e-06,1.6202079184248885e-05,3.553720544125169e-05,2.889566557145386e-05,6.094152131156464e-05,4.9808719044610096e-05,3.197369222034902e-05,8.964276129090826e-05,5.546571667923646e-06,9.216443173134408e-06,2.1953820604219174e-05,6.0132886812729475e-06,4.29853780090407e-06,0.0,0.0,0.0,8.534947206151844e-05,3.0966516789265876e-05,1.4721904910679753e-05,1.3484911886016858e-05,6.102956611379176e-06,1.0159480855553564e-05,4.758153176587078e-06,0.0,2.3923466785216695e-06,1.414922965927945e-06,1.5272512498898865e-06,6.333151573114501e-07,1.6687893572676483e-05,3.054859848313625e-06,1.0190325467249698e-07,2.5331807076749184e-05,2.938565261042319e-05,3.0909495430467056e-05,4.5647123227252416e-05,1.2308665330951042e-05,2.2740132047408197e-05,1.0247558810795801e-07,1.599031235080293e-05,2.5950874936880115e-05,1.6722801532025644e-05,1.3720112675549478e-05,3.347806446872668e-05,3.072531263199118e-05,2.1922611101492886e-05,1.9700973955749998e-05,3.329779274945906e-05,5.5616584860883476e-05,3.2871309235453986e-05,1.877745652363922e-05,3.4636282116470076e-05,1.423195930729921e-05,2.0919892820388365e-05,1.7408362826458026e-05,6.438046835111449e-06,6.524218992090265e-05,2.4167953950408403e-05,1.2308858059068512e-05,3.564659906448441e-05,6.460620587995551e-05,3.31449454792852e-05,5.71734801080797e-05,2.6664359940512e-05,1.2177688749315622e-05,3.172413679200671e-06,4.810694383970791e-05,7.635909586443289e-05,3.424380660254913e-05
Escherichia coli EF-Tu mutants conferring resistance to Pulvomycin,2.035068853900387e-06,8.8208179571123e-07,5.123252958380804e-05,2.1835722693158257e-05,6.09902443786637e-06,0.00019741613648376364,2.1168267211621992e-06,3.55904429954153e-07,8.05241273877905e-08,0.0,2.40816936638144e-07,3.88884783622349e-06,3.7072528433530804e-06,2.1137706601628622e-07,8.95828942901283e-07,7.5595078740177595e-06,9.04305905608639e-05,2.1139135288261878e-05,7.835064814236994e-06,2.1202936646856195e-06,3.0043235485140512e-05,9.500009445973214e-05,9.182331331829239e-05,8.76557357537803e-08,0.0,0.0,2.2505366922875198e-07,0.0,0.0,7.896121115303099e-08,4.647082184386575e-06,4.56408864229176e-06,3.2932732512885863e-07,5.22361915593485e-07,1.0354810712243817e-05,5.426985028361926e-07,0.0,4.99990462143541e-07,1.463204683724481e-06,6.578062807284519e-07,8.03361586531777e-08,0.0,0.0,8.2699590147655e-08,3.319256133711044e-07,9.430671978527969e-07,8.07414024330562e-08,1.549722177621782e-06,9.227953534439416e-07,8.936843936536779e-07,1.137166625682793e-05,1.6742463150737706e-06,1.682308420108235e-05,7.769558873784407e-06,1.4914636903010884e-05,2.4063816502562763e-06,1.4279595931650447e-05,0.0002005029282275925,8.97260079044501e-05,0.00010799330698303813,8.402685812220225e-05,0.00018657323870187016,0.00019373162581372652,5.46220178665009e-07,2.603802419758554e-07,8.236661257410531e-07,5.96967064746104e-07,7.87188327532513e-05,6.25195111065489e-05,8.97799591846953e-05,0.0001202336784005542,1.924502227961592e-05,1.638908983877799e-05,1.4440526842083461e-06,5.195347291838448e-07,7.66764012169145e-07,7.677515935136803e-07,1.661482170746958e-07,1.631096289618491e-06,3.4574721760090137e-07,1.805584573484944e-06,1.7948826670172986e-06,0.0,2.83082187570149e-07,8.314008898855641e-07,1.0772882981384985e-06,9.47788669269603e-07,2.7851052424349857e-06,1.1958194550498786e-06,4.797270033933336e-07
H-NS,1.9986187250723399e-07,0.0,9.213557657522e-06,3.24796445197727e-06,1.29801804901865e-06,3.4304412273099e-05,0.0,1.86139752014395e-07,0.0,0.0,0.0,8.054127426502271e-07,5.917038315383061e-07,0.0,0.0,5.99152260482835e-07,1.90030999600545e-05,4.87143610159447e-06,1.91381531587926e-06,2.31132182771106e-07,2.2058769095438056e-06,1.53355412703757e-05,2.24321104522713e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.91775008254589e-07,0.0,0.0,2.1769520022117598e-06,0.0,0.0,0.0,1.9364983344553302e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.92389683194524e-07,1.9629411364847303e-06,1.9600598214813897e-07,3.1332935325973204e-06,4.2067960101024705e-07,0.0,0.0,5.287569145725005e-06,3.52743891626615e-05,2.70339533822706e-05,2.36292586421518e-05,2.20186608662928e-05,4.51099207235877e-05,5.00325269436599e-05,3.9291882346797397e-07,0.0,0.0,1.9065083440411999e-07,1.8968969179641e-05,1.32505737899601e-05,2.27153704010223e-05,2.78637314263276e-05,4.62461044615433e-06,2.8782797809215197e-06,3.77623297030735e-07,1.90303464993441e-07,0.0,0.0,0.0,1.8534098396420398e-07,0.0,1.86425352205683e-07,3.6714638557428497e-07,0.0,0.0,0.0,0.0,0.0,5.60274639788221e-07,0.0,0.0
Haemophilus influenzae PBP3 conferring resistance to beta-lactam antibiotics,1.7940795470847102e-07,4.90202969605903e-07,2.1669917626335437e-05,6.004825520323902e-06,3.025149714187705e-06,0.00011852422849757263,1.911239550951854e-06,2.81263801855368e-07,0.0,0.0,5.58771613025687e-08,1.82551105507309e-06,2.5034396403963625e-06,1.83608770068563e-07,0.0,4.104209938248008e-06,4.648137279066386e-05,8.669550758487185e-06,3.5280486756905e-06,3.819763441585641e-06,1.355603073274776e-05,3.799780439128788e-05,4.50370940374294e-05,5.878440682978481e-08,0.0,1.668105465081495e-07,0.0,1.10320647889579e-07,0.0,0.0,1.2919678537804505e-06,2.0864506516276706e-06,3.6118162137167103e-07,5.66537497692001e-08,5.562164445842487e-06,1.21316303690037e-07,6.10322501189009e-08,2.3968854361335504e-07,4.68178884255414e-07,4.46056874949896e-07,1.1184320899084198e-07,5.811047967929571e-08,0.0,0.0,5.564966777656469e-08,5.37107263478441e-07,5.62036926953362e-08,3.365343605431477e-07,2.2076660757554738e-07,3.5804877286460163e-07,5.220290316111514e-06,8.29281676592804e-07,1.0077208445215189e-05,7.906694404311591e-06,7.78522461532881e-07,4.4698578817700196e-07,8.408078487893337e-06,0.00012899942104739208,4.7899962892176356e-05,5.764402926264452e-05,4.5718917839375587e-05,9.855738539420868e-05,0.00010874259525713346,7.124572215005028e-07,8.838705524741631e-07,1.1426517409420795e-06,3.45696249819355e-07,4.563115967954111e-05,3.505316525937314e-05,4.232315038531407e-05,5.6683759602419965e-05,9.957830557445219e-06,1.03800509767653e-05,1.7118067963872052e-06,1.72533192370963e-07,2.89688235800361e-07,1.1878697589595402e-07,5.67499472845796e-08,4.480909357640511e-07,2.28429919947832e-07,4.508083810295831e-07,1.05406542955198e-06,5.66116594594478e-08,0.0,4.533610925865308e-07,5.56734319527135e-07,2.2229054134636608e-07,1.298304238364765e-06,5.599101980380357e-07,1.7025460904886e-07
LRA-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCR-4,0.0,0.0,0.0,0.0,0.0,0.0,1.5866386124181e-07,0.0,0.0,0.0,0.0,3.3340341439939605e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7065084599902294e-07,0.0,0.0,0.0,0.0,0.0,0.0,6.31058970488074e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
