CAZyme,FMT102,FMT103,FMT104,FMT105,FMT106,FMT107,FMT108,FMT109,FMT110,FMT111,FMT112,FMT113,FMT114,FMT115,FMT116,FMT117,FMT118,FMT119,FMT120,FMT121,FMT122,FMT123,FMT124,FMT125,FMT126,FMT127,FMT128,FMT129,FMT130,FMT131,FMT132,FMT133,FMT134,FMT135,FMT136,FMT137,FMT138,FMT139,FMT141,FMT142,FMT143,FMT144,FMT145,FMT146,FMT147,FMT148,FMT149,FMT150,FMT151,FMT152,FMT153,FMT154,FMT155,FMT156,FMT157,FMT158,FMT159,FMT161,FMT163,FMT164,FMT165,FMT166,FMT167,FMT168,FMT169,FMT170,FMT171,FMT172,FMT173,FMT174,FMT175,FMT177,FMT178,FMT180,FMT181,FMT182,FMT183,FMT184,FMT185,FMT186,FMT188,FMT189,FMT190,FMT191,FMT192,FMT193,FMT194,FMT195,FMT196,FMT201
CBM13,0.0001003252153046301,3.622506014569604e-05,2.2877218060417265e-05,8.489414043061201e-05,0.00010474366051808251,7.473964669358856e-05,0.00011643868276135468,0.00011163282712820378,0.00022914652864276553,0.00016558479887496806,0.00017726722879591987,3.167106691458461e-05,7.634382529487896e-05,4.763402931386993e-05,6.311075724637552e-05,8.664070600377997e-05,5.0551089465645264e-05,8.826455548676345e-05,0.00012265185337975677,5.552974100110398e-05,9.235922726007486e-05,5.393473933006035e-05,6.527044168030898e-05,0.00016330641384869853,0.00013511391642032338,0.00013845433114888364,0.00015314699952079087,0.00012184136932788354,6.09720537140114e-05,0.0001211950321361851,0.0001108887167783497,4.131748689933477e-05,5.6507653805439305e-05,9.703524578301638e-05,5.6516525731552936e-05,2.4218486848820512e-05,6.267984683073179e-05,7.081311088864309e-05,9.37226681367888e-05,9.649487577641967e-05,0.00011124395472759233,0.0001518739937469815,0.0001399262964212535,0.00015332813982327895,0.00013017940536542757,8.340910900925266e-05,0.00013124632917332947,0.0001115144471756969,0.0001490192298241797,7.335429084547259e-05,0.00011463676720483276,0.00011195287914430255,8.036570227608598e-06,0.0001709956445355204,0.00010923746917285258,0.00010202679560398635,9.835339400352051e-05,5.232977268386373e-05,8.417074665517421e-05,6.760413672542952e-06,7.7620377480471e-05,4.214710074502113e-05,3.3050274732244716e-05,7.936967495604402e-05,0.00010001063028546228,6.528865086018223e-05,8.958082474028042e-05,0.00010331335881982355,0.00010369513482576923,0.00010158062008671024,9.83262571952728e-05,3.362142639843298e-05,3.7248999998554015e-05,0.0001388234587088899,0.00013874104566468038,0.0001549817505632698,0.00013439162875868488,0.00017464071047950183,0.00017603650358762938,0.00015442509442480055,0.0001723611550285153,8.426002396549228e-05,0.00017401632123031493,0.0001543942478187898,0.00017820340925115636,0.00013256812379578998,0.0001783406063397601,0.00016968472127319625,0.00011719690466274594,0.00016792332642769436
CBM13-CBM13,5.27893229706204e-06,3.671365433873915e-06,3.023851790655035e-06,4.624073290722693e-06,2.0639229486283427e-06,0.0,4.712692012747044e-06,3.493280897455677e-06,7.556695740398621e-06,4.181785214723436e-06,1.431076826704266e-06,5.7480527229430165e-06,3.2048776201410303e-06,2.107411184989557e-06,3.663307035574701e-06,3.2956615566226445e-05,4.258331754957365e-06,9.905179438030921e-05,1.8149950799401342e-06,6.563259712397152e-06,6.013909925741987e-06,1.0603119844786186e-05,3.3988675160337882e-06,1.1596564221785303e-05,7.836670856356988e-06,1.55955522337997e-05,8.077256376024872e-06,1.0560468326674049e-05,7.957706863323529e-06,7.331480314588546e-06,1.9426753682817538e-05,7.736256714104994e-07,6.288714643579199e-06,6.62385546275336e-06,4.9828101140565666e-06,2.808683901205174e-06,2.9457651770002618e-06,6.777005395379721e-06,1.2188038598251778e-06,3.3468722889438187e-06,1.0222845772329527e-05,5.6550579118131344e-06,7.0373349437592665e-06,1.4511049761529919e-05,6.574865454046713e-06,1.0607957045775019e-05,1.639626161513139e-05,4.6562179547343186e-05,1.4699080886845983e-05,9.079607449040313e-06,7.386571647098967e-06,1.423114640678372e-05,3.6668655018615283e-06,1.0974119359460895e-06,1.0421675679189007e-06,1.2459477361437796e-06,2.7026516334999804e-06,1.1146441748352764e-06,1.8544360138352173e-06,1.0764884614994493e-06,2.9519839198331442e-06,3.60114332871482e-06,2.929855321738225e-06,4.6248269930951596e-05,7.988631949099545e-06,2.6513969588251616e-06,6.729475781363341e-07,3.254174979329324e-05,6.395735348238937e-05,2.917937432841918e-05,2.2487108916656835e-05,1.8378159472665622e-05,2.1668508149405468e-05,5.382960100978418e-06,5.9578597165028785e-06,6.683458963420982e-06,1.1253134845476403e-05,2.4904869625396558e-06,2.0798966814481053e-06,5.195521992138966e-06,3.1568630645287443e-06,4.999779749905172e-06,5.997580740045768e-06,2.5276699116009468e-06,2.1220505867349227e-06,4.002259232120373e-06,3.68070540720296e-06,1.8942409823875256e-06,2.210667512893564e-06,4.331403707719236e-06
CBM13-CBM13-CBM13,9.18865604122798e-08,6.2145834932819e-08,1.601506615859843e-07,1.357683105889407e-06,2.190660017730844e-06,0.0,1.3326779171885224e-06,2.85259370284653e-08,8.5273075064126e-08,0.0,0.0,0.0,6.39049113470267e-07,9.07077685758215e-07,1.3048122605003519e-06,1.4791409725800341e-06,3.85880197902443e-07,7.31617144694051e-07,4.39938604683395e-08,2.81179314899331e-07,6.15046205353393e-07,9.581783408304074e-06,9.758713178878289e-07,3.0674301593342645e-06,2.3456101569407847e-06,4.286535549904723e-06,1.2868087897231719e-06,4.078656415482872e-06,7.154970702447041e-06,4.010236858680414e-06,0.0,7.255251715679681e-07,2.120260111866672e-06,3.1617569266721437e-07,2.1727283983372578e-07,2.84520546139945e-07,2.56989396417421e-06,2.6967472675961617e-06,4.63863397823261e-07,1.717795066634331e-06,2.57214082689828e-06,6.04093832877879e-07,9.321388925156651e-07,5.590353903336371e-07,1.127018023372285e-06,4.35789827896757e-06,1.282190827912695e-06,1.123221017050667e-06,4.921545210208931e-07,3.677455722203386e-07,1.718721928739489e-07,2.0433141669299167e-07,3.177991214148645e-06,1.29726108542738e-07,1.0176351545275929e-07,5.777097837832358e-07,4.683741394842823e-07,8.116091726649468e-07,8.844596189743552e-07,0.0,1.609145908915208e-06,2.4386167148531952e-06,1.6679919522016074e-06,6.02148519821776e-08,5.859700817136607e-06,6.534127744930697e-06,5.706637943994895e-06,2.391759354957068e-06,4.067134633612126e-06,2.4301395452349754e-06,3.5572766524749837e-06,6.6136318882227e-07,6.961949145498373e-07,1.5820185267731308e-07,2.4549339659031033e-07,4.898058526909186e-07,2.939000955745509e-07,0.0,1.7160755860561027e-06,8.88319929048254e-07,6.794874682103298e-07,1.9154910374644524e-06,2.5637936940317664e-06,0.0,1.9462259521060682e-06,9.78590896095875e-07,5.82513839476495e-07,3.59772315592725e-07,6.148563534306058e-07,3.554303638247963e-06
CBM13-CBM13-CBM13-CBM13,0.0,0.0,3.96579112791729e-08,0.0,1.661942003486344e-07,0.0,2.33915864002211e-07,1.099445293943437e-06,4.02620636938953e-07,1.874976271598111e-06,4.79231181549077e-07,0.0,0.0,0.0,3.35231201634329e-08,0.0,6.70502654791013e-08,0.0,3.78931174890444e-08,0.0,0.0,0.0,3.30361615066752e-08,8.04052482604999e-07,2.518067729840044e-07,6.369462528233981e-07,1.09647950080304e-07,5.58877823454377e-07,3.73022006591911e-08,2.59883802762843e-07,3.28912841704486e-08,0.0,2.6988388834496e-07,2.9412211749097166e-06,0.0,0.0,0.0,0.0,0.0,3.65305199312415e-08,0.0,0.00011094370262528922,7.3068754966784e-08,7.26726098071718e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.32896660073633e-08,0.0,0.0,3.09715961811706e-08,3.17774423090155e-08,0.0,3.18193430241407e-08,9.64431649873713e-08,1.129393110549265e-07,3.12680237621926e-08,0.0,0.0,0.0,0.0,1.17194775813429e-06,6.45901857974037e-08,1.258357551081007e-07,3.127052646916877e-07,0.0,3.24981795752636e-08,2.021855569643115e-06,2.4509281834843232e-06,4.055633540216405e-06,3.162162277170209e-06,2.35866968401534e-07,1.89166829963465e-07,3.89829165420617e-07,3.15734659301728e-08,0.0,2.29433032717533e-07,2.651856019450077e-07,3.82783376624809e-08,3.19585904750887e-07,0.0,0.0,0.0,3.83333198508328e-08
CBM13-CBM13-CBM13-CBM13-CBM13,0.0,0.0,0.0,0.0,2.78537929747222e-08,0.0,0.0,1.117299359150934e-06,4.870086995469661e-07,3.47045277435786e-07,4.67713808032442e-07,0.0,0.0,0.0,1.06058998470102e-07,0.0,2.12130731542852e-08,0.0,0.0,0.0,0.0,2.08028284480668e-08,0.0,7.662260603567561e-07,8.65758550604174e-08,5.853750435901281e-07,1.33543188602846e-06,8.594118895154189e-07,4.2180568188013996e-07,3.605005186609346e-06,0.0,3.31871302675856e-07,2.01073700366649e-07,2.7696898332625e-06,0.0,0.0,0.0,0.0,3.90960344271888e-07,1.02433925784512e-06,1.15188991187968e-06,3.23507301806287e-08,1.30384217865587e-06,2.87142669572222e-06,2.72630773175322e-06,3.3223711214955e-08,2.40926850171227e-06,3.09131302735216e-06,1.31983693593393e-06,0.0,6.815338846143084e-07,1.87149688025036e-06,3.18808859136074e-08,2.977984399282464e-07,1.20769902947853e-07,3.44713014340544e-07,1.227099315745284e-06,5.452895526310334e-07,1.75604819218706e-07,0.0,2.322931732855168e-07,5.549059547281485e-07,1.983612312788382e-06,0.0,0.0,0.0,3.2075471194644e-08,3.2334974529924703e-06,4.772433088136791e-06,1.673653596129512e-06,3.525757331351127e-06,2.295864607017297e-06,1.6466551222611859e-06,2.133496303886267e-06,2.978266257733673e-06,4.158959977517867e-06,2.378025321251637e-06,0.0,2.26584444681513e-07,4.11108220807815e-08,6.131102653083279e-07,1.5359799851142498e-06,2.571514479946243e-07,0.0,1.37549630941003e-07,2.02218414143999e-08,5.29872255894314e-07,3.3421951378895017e-07,6.744416171330272e-07,1.37747204299146e-07
CBM13-CBM13-CBM13-CBM13-CBM13-CBM13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.28989757241326e-07,0.0,0.0,0.0,0.0,0.0,1.19160899651683e-06,0.0,0.0,0.0,0.0
CBM13-CBM13-CBM13-CBM13-CBM13-CBM13-CBM13-GH25,0.0,0.0,0.0,0.0,2.12641876933008e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.02608100537251e-08,0.0,0.0,0.0,0.0,0.0,0.0,8.31409244528644e-06,1.70553050642628e-07,8.55281088950449e-07,0.0,3.79046801587645e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.87121422625203e-07,0.0,0.0,0.0,0.0,0.0,2.6260686635359e-07,0.0,0.0,0.0,0.0,0.0,0.0
CBM13-CBM13-CBM13-CBM13-CBM13-CBM13-CBM13-GH73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.65460582647997e-07,3.1133662568901733e-07,1.5618238885251271e-07,1.550197870580254e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.03397617535564e-07,2.11804037224129e-08,0.0,0.0,0.0,0.0,0.0,1.82272052397029e-07,7.52524417925534e-07,1.35466965531504e-06,0.0,1.09995952137571e-06,3.01328735781835e-06,2.79245586160841e-06,0.0,2.48960564023901e-06,2.83391459073125e-06,1.81668674772373e-06,0.0,0.0,0.0,0.0,1.94026725495325e-08,1.92850036315919e-08,0.0,0.0,0.0,5.90666728291375e-08,0.0,1.98515014496136e-08,0.0,3.86165604865622e-08,0.0,0.0,0.0,0.0,1.48787155433729e-06,8.03352282774873e-08,0.0,1.56460041290115e-07,2.04893632869243e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.877793963298632e-07,0.0,1.95197301768885e-08,0.0,1.95952244576415e-08,0.0,8.477122794719912e-07,8.33137775961013e-07,1.98584002155124e-08,0.0,0.0
CBM13-CBM13-CBM13-CBM13-CBM13-CBM13-GH73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.93069545198796e-08,0.0,0.0,1.41874944187154e-06,2.27824533882367e-07,1.12286116101631e-06,8.45953000516167e-07,4.01404798002906e-06,4.57299344701723e-08,0.0,0.0,2.35481847469589e-08,0.0,1.06283958966653e-05,0.0,0.0,1.98184982613943e-08,3.83046440129825e-08,1.44113314506131e-06,3.03994674184618e-07,9.88153416355243e-07,2.70730749117088e-06,0.0,2.25866562604773e-07,2.28079505347667e-07,0.0,0.0,0.0,0.0,6.87101973661256e-08,2.2368377906103e-08,4.26228908737003e-07,6.41229559658719e-08,0.0,1.42801762424215e-06,4.87557285198862e-07,3.31817915248661e-06,0.0,4.08411879265173e-08,2.42253054668725e-06,7.33555425657664e-07,0.0,6.94455262840667e-07,1.370943989826674e-06,8.75534777328919e-08,7.973897217826879e-07,1.3568754843712593e-06,3.7902211654943e-07,1.5798396935127251e-06,5.490112918979102e-07,1.92743879758238e-07,0.0,3.380636017658896e-07,6.26087008873186e-07,4.61230778583361e-07,0.0,0.0,1.09348028543261e-07,0.0,9.64081548442233e-07,2.6875254150046143e-06,1.1810636076609278e-06,3.8146933447953797e-06,2.9480065665986082e-06,1.564286494660475e-06,3.27142830328379e-07,1.12107388397823e-06,6.64346674444177e-08,4.54026793009194e-08,0.0,9.63388242409651e-07,4.43121839559884e-08,4.07519278681195e-07,1.263275682876177e-06,1.51466497048217e-07,0.0,9.74718994079008e-07,8.71861871234736e-08,4.27991637772405e-08,3.952025795298763e-07,4.24287505624378e-07,2.60298415911171e-07
CBM13-CBM13-CBM13-CBM13-CBM13-GH73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.36325790717278e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6220377024086e-07,0.0,2.61272973074226e-07,5.00172737884425e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.72968965338213e-08,7.06470503476345e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.42044718603289e-08,0.0,0.0,0.0,1.22319396264177e-07,0.0,4.89782985204451e-08,2.46430510559928e-08,0.0,0.0,0.0,9.80972998090277e-08
