,Faecalibacterium prausnitzii 5
Eggerthella lenta,-0.1715967196381009
Streptococcus salivarius,-0.16032541159595765
Streptococcus mutans,-0.14330233636010675
Actinomyces oris,-0.13776351297775366
Streptococcus parasanguinis,-0.13261663865465673
Ruminococcus bicirculans,-0.13084835396583938
Bifidobacterium bifidum,-0.13077839994354765
Gordonibacter urolithinfaciens,-0.12996041015842003
Veillonella parvula,-0.12993548820030412
Bifidobacterium longum,-0.12572233807611452
Faecalibacterium prausnitzii 2,-0.12370294175480435
Erysipelatoclostridium ramosum,-0.12325257135540588
unclassified Eubacterium,-0.11613958460951683
Roseburia intestinalis,-0.11481223224638079
Veillonella atypica,-0.11413129480943676
Bacteroides vulgatus,-0.11237050895164512
unclassified Olsenella,-0.11207201038108691
Veillonella sp. oral taxon 158,-0.11181918451366638
Veillonella dispar,-0.10806717087854711
Flavonifractor plautii,-0.10699813403755241
Streptococcus gordonii,-0.10468881539481456
Clostridium symbiosum,-0.10334828336307526
Clostridiales bacterium UBA643,-0.10314203945703948
Intestinibacter bartlettii,-0.10219249392861093
Lactobacillus fermentum,-0.10111555799453827
Haemophilus parainfluenzae,-0.0998464555939052
Cryptobacterium sp. CAG:338,-0.09731053712198882
unclassified Butyricicoccus,-0.09716413039164362
Bacteroides thetaiotaomicron,-0.09714937809427647
Roseburia inulinivorans,-0.0966882290208218
Hungatella hathewayi 2,-0.09666851698816603
Bacteroides nordii,-0.09598210637257129
Faecalitalea sp. UBA637,-0.09534890363559867
Sutterella wadsworthensis 2,-0.09525717887355273
Lactobacillus gasseri 2,-0.09493938104980663
Eubacterium sp. CAG:251 / Clostridium sp. A254.MGS-251,-0.09408418691716249
Clostridium sp. CAG:7,-0.09349143454205862
Dialister sp. CAG:486,-0.09272913485186979
Prevotella copri 2,-0.09203348698995567
Holdemania massiliensis,-0.09121890650592224
Flavonifractor sp. 2789STDY5834931,-0.09001090150040425
Enterococcus avium,-0.08873458081692462
Dorea formicigenerans,-0.0876416493281573
Alistipes onderdonkii,-0.08571703253037566
Firmicutes bacterium CAG:227,-0.0853611686666107
Sellimonas intestinalis == Drancourtella massiliensis,-0.08526299872992266
Tyzzerella nexilis,-0.08514710574362806
Clostridium perfringens,-0.0845457424491099
Prevotella sp. CAG:1092,-0.08451789782776062
Catenibacterium sp. CAG:290,-0.08408778624080053
Bifidobacterium breve,-0.08338459202316353
Holdemanella biformis,-0.08324433371694698
Ruminococcus gnavus,-0.08261075701799067
Parasutterella excrementihominis,-0.08255645212701743
unclassified Faecalitalea,-0.08229802243470441
Akkermansia muciniphila,-0.08160290231105967
Prevotella stercorea,-0.07982171729044256
Lactobacillus ruminis,-0.07957461941508617
Ruminococcus sp. CAG:330,-0.07946398107787592
Lactobacillus vaginalis,-0.07910526028667429
Coprobacillus sp. 8_1_38FAA / Clostridium sp. 2789STDY5608874,-0.07891212779699852
Acidaminococcus intestini,-0.07877951971472974
unclassified Blautia,-0.07867189794469119
Firmicutes bacterium CAG:83,-0.07834108488576698
Streptococcus vestibularis,-0.07832985332396218
Clostridium innocuum,-0.0782085708472265
Clostridium saudiense,-0.07767322242230047
Clostridium bolteae,-0.07763040760721396
Eubacterium sp. 38_16 & CAG:146,-0.07667812844368298
Slackia piriformis,-0.07632248523397761
Lactobacillus casei == paracasei,-0.07568168754042831
Bacteroides uniformis,-0.07532226047588932
Clostridium citroniae,-0.07491836905214169
Coprobacillus cateniformis,-0.0746859176911573
Acidaminococcus massiliensis,-0.07427675041311213
Senegalimassilia anaerobia,-0.07301422786389324
Clostridium spiroforme,-0.07231364789083862
Phocea massiliensis,-0.07228889590582638
Desulfovibrio sp. 92-2,-0.0722687327950282
Clostridium scindens 2,-0.07184667365039771
Lactobacillus reuteri,-0.0713352136057392
Streptococcus anginosus,-0.07105531660090214
Lactobacillus salivarius,-0.07097440002062745
Pseudoflavonifractor capillosus,-0.0709692335074989
Bacteroides massiliensis,-0.07083056988553428
Erysipelotrichaceae bacterium 3_1_53,-0.07069563270730765
Alistipes timonensis,-0.06997638936534209
Ruminococcus sp. A254.MGS-254 & CAG:254,-0.06942042539870724
Clostridium sp. CAG:343,-0.06883865821444203
Clostridium sp. CAG:230,-0.068641764741325
Bilophila wadsworthia,-0.06847917276443452
Megasphaera micronuciformis,-0.06744450944819101
Enterobacter xiangfangensis,-0.06724569936560096
Prevotella sp. CAG:604,-0.06713955359530813
Clostridium sp. KLE 1755 & Clostridiales bacterium VE202-27,-0.06677681779787259
Anaerostipes caccae,-0.06655095403821046
Faecalicatena contorta,-0.0665153760376075
Alistipes finegoldii,-0.06638047281608328
Clostridium sp. CAG:302,-0.06620308233823585
Clostridium glycyrrhizinilyticum,-0.06611876540414086
unclassified Burkholderiales,-0.06536907770712949
