,,0
Days after treatment,Days after treatment,1.0
Days after treatment,neut/lymph,-0.6894505092549028
Days after treatment,Lactate,-0.6895346552867357
age_at_baseline_years,age_at_baseline_years,1.0
MELD,MELD,1.0
MELD,MELDNA,0.7223304284695877
FABP2,FABP2,1.0
DLactate_faecal,DLactate_faecal,1.0
DLactate_faecal,gut unclassified Firmicutes,0.6732774878022969
DLactate_plasma,DLactate_plasma,1.0
faecal_ammonia,faecal_ammonia,1.0
endotoxin,endotoxin,1.0
E_faecalis,E_faecalis,1.0
E_coli,E_coli,0.9999999999999999
EC2.9.1.1,EC2.9.1.1,1.0
INR,INR,0.9999999999999998
CRP,CRP,1.0
CRP,MELDPLUS,0.6609147848922465
Sodium,Sodium,1.0
Sodium,MELDNA,-0.7316718514070929
Potassium,Potassium,1.0
Creatinine,Creatinine,1.0
Creatinine,Urea,0.7178784974192632
Creatinine,plasma Kynurenic acid,0.654449725715442
Urea,Creatinine,0.7178784974192632
Urea,Urea,0.9999999999999998
Urea,plasma Kynurenic acid,0.6736245492411926
Haemoglobin,Haemoglobin,1.0
MCV,MCV,1.0
Platelets,Platelets,0.9999999999999998
Platelets,Neuts,0.6493315477092416
Platelets,Lymphs,0.6499027007101272
Platelets,WCC,0.7355430853142823
Neuts,Platelets,0.6493315477092416
Neuts,Neuts,0.9999999999999998
Neuts,WCC,0.9348264029689194
Lymphs,Platelets,0.6499027007101272
Lymphs,Lymphs,1.0
Lymphs,WCC,0.7351555820250851
neut/lymph,Days after treatment,-0.6894505092549029
neut/lymph,neut/lymph,1.0
neut/lymph,Lactate,0.9800463826949821
neut/lymph,Calprotectin/(µg/g),0.8579135724065948
neut/lymph,N/L ratio,-0.6418577497928728
neut/lymph,Calprotectin (µg/g),-0.6419929166318037
WCC,Platelets,0.7355430853142823
WCC,Neuts,0.9348264029689194
WCC,Lymphs,0.7351555820250852
WCC,WCC,0.9999999999999998
Bilirubin,Bilirubin,0.9999999999999998
ALT,ALT,1.0
ALT,AST,0.7035346531620696
AST,ALT,0.7035346531620696
AST,AST,1.0
AST,gut Bifidobacterium dentium,0.6436059828726182
ALP,ALP,1.0
GGT,GGT,1.0
Albumin,Albumin,1.0
Albumin,plasma Taurochenodeoxycholic Acid,-0.7046286640772402
Albumin,plasma Taurohyocholic Acid,-0.641139309951805
Albumin,plasma Taurocholic Acid,-0.6857798264010021
