,time_point,age_at_baseline_years,MELD_x,IL-17A,IL-17E,IL-17F,IL-21,IL-22,IFNgamma,IL-10,IL-1beta,IL-6,TNF-alpha,IL-12,IL-23,IL-8,FABP2,DLactate_faecal,DLactate_plasma,faecal_ammonia,endotoxin,E_faecalis,E_coli,EC2.9.1.1 ,Age at enrolment,MELD_y,INR,CRP,Sodium,Potassium,Creatinine,Urea,Haemoglobin,MCV,Platelets,Neuts,Lymphs,neut/lymph,WCC,Bilirubin,ALT,AST,ALP,GGT,Albumin,Ammonia,Lactate,Ascites,HE grade,Calprotectin/(µg/g),Days after treatment,N/L ratio,Calprotectin (µg/g)
time_point,1.0,-3.786212109300485e-17,0.08166219903321394,0.09116070167712968,0.11285188310795043,0.09882336654350656,0.14192738680977865,0.08328345604413184,0.007820660642112735,0.02510927827378966,-0.07707127056272615,-0.040924948734328684,0.07039551816435956,0.13124979487171543,0.13222592568043245,-0.0862517993617758,0.07417091756234694,-0.09726096847217269,-0.07934893225375268,-0.09137774402754852,-0.04668092320472412,-0.3284153664168397,0.02012271059475146,0.19880245754478013,,0.08166219903321394,0.023669706019791893,0.08357086007054539,0.005736748303591335,-0.09202253526942833,0.015128982047539121,0.07361736038292101,-0.044677829538134754,0.007813714241689083,-0.06674411007784348,0.03857063036143178,-0.047544726767501974,,0.027188185865041226,0.03477579592601614,-0.02968727895776659,-0.05771572016433841,-0.018261931919423748,-0.012915301418953758,-0.015030129391665098,-0.01966128594466382,,0.13046171571113682,0.05408769863310413,,1.0,-0.04310227608730148,-0.061508246507399285
age_at_baseline_years,-3.786212109300485e-17,1.0,-0.3735347246755508,0.08074425947273982,0.09694293532889137,0.11316566840299688,0.054289089803176115,-0.025807936500966733,0.013629407582279297,0.038010704279819,-0.04912921133843815,-0.1935972012313357,0.032601686509669464,0.15798830193776967,0.19386271124209914,-0.2004390088047125,0.010377562526189281,0.1745856823536339,0.18300296833220137,0.0971586272213768,0.10596154397412806,-0.04811453117673751,0.04983419451907079,-0.06098910044204846,,-0.3735347246755508,-0.2730061570024201,0.28386913334816205,-0.15760387343041993,0.35960380986383805,0.23456907948282754,0.29033298515275735,-0.0820953732799428,-0.05247381799325454,0.3876127688547126,0.1328192912994371,0.07150282355053893,0.1627913082186357,0.15677972749453403,-0.15579641544854195,0.49455174685962855,0.429068123435426,0.30563868918303644,0.3326968005017333,-0.11666839157174504,0.22234530735102565,-0.28944966611206635,-0.18175996556727056,-0.09541190600804852,0.28292619622984766,-5.3828075770777975e-17,0.11970661336099488,0.24911992024414628
MELD_x,0.08166219903321394,-0.3735347246755508,1.0,-0.20325469561908815,-0.13920196698888443,-0.1451476099300056,-0.13978320406229855,0.018800806021178142,0.04557512417386901,-0.08484785752039813,0.07643052480866487,0.049564231867026846,-0.15433692859741718,-0.24738793449389396,-0.10126240884308475,0.14199464459457575,-0.011913735661600271,0.07589156353882327,0.08985755896048139,0.01180066686004399,0.11113960859583474,-0.058929316386910506,-0.24033276577190466,0.0034366895586311454,,1.0,0.5808031782528899,0.044605899876690135,-0.20221432072976958,-0.12439574887958356,-0.0016838176723514575,0.048710811525872304,-0.3267775167132109,0.19728206167460594,-0.30148837777213094,0.010853587036480532,-0.3323976195673042,0.04328093367882834,-0.11244948323002764,0.46433020144911247,-0.0543613252955874,0.03803984057137044,-0.025662548276591077,-0.3346326258937416,-0.27267318889046444,-0.17849328171637183,0.3014420264657167,0.19409276919644738,0.2832224440482659,-0.14290678769315673,0.08166219903321398,0.2054324837980351,-0.20855337011224348
IL-17A,0.09116070167712968,0.08074425947273982,-0.20325469561908815,1.0,0.9249719692841458,0.8981709276728814,0.9635981651089333,0.3501620872310628,0.5217619381515927,0.7312000538794611,0.11681228549929136,0.22008663761837677,0.901391557437823,0.17831779085714472,0.12703044496298738,-0.11119930197270331,0.04861744204940996,0.01720111490229534,-0.03361674886424196,-0.020535629831050076,0.005240088715764075,0.0051700753682234375,0.05451853722221151,-0.036103280429425295,,-0.2032546956190882,-0.19724794486524838,-0.009727763667613932,0.1500588790011498,0.043990547544824836,-0.14308670013688865,-0.1242848308618098,0.12364608015289141,-0.07231647884669103,0.11471833711951186,-0.012924674091756655,-0.08332887495974556,-0.014337936753372913,-0.02186701145078906,0.1153116046626409,0.14776786888800456,0.20632461361894844,0.1082502097915114,0.17735325435967275,0.10088539249523228,0.060416876085371926,0.15902661929073622,-0.07204269134681027,-0.06603244837956557,0.04703333843090868,0.09116070167712967,0.1346342339018513,0.13407912653570736
IL-17E,0.11285188310795043,0.09694293532889137,-0.13920196698888443,0.9249719692841458,1.0,0.9768228504050596,0.9381399108986638,0.5779759298534447,0.49183871446852584,0.6833025323254449,0.19427067425596473,0.1578822627824177,0.8977810719784944,0.09452997759124745,0.21986438878346604,-0.09565028320963134,0.28213006460015455,0.074773925155552,-5.002781365105789e-05,0.05246290005307206,0.021675977234219115,0.0016735083400185938,0.004642270456019982,-0.030987305943416192,,-0.13920196698888446,-0.15411988063803886,-0.025368578203483164,0.08047757647801694,0.03806385352799859,-0.09225879138962903,-0.13126681473433882,0.003687438603852541,-0.16678587778058357,-0.004715511893520451,-0.07897925376967087,-0.1581219266152398,0.10507321649122653,-0.1035863719008017,0.1316789249387919,0.15023655541872852,0.20469705223702558,0.05710282258138202,0.11476546628150355,-0.01463932507037095,-0.0088622696956122,-0.10714849685682384,-0.019548404557797414,-0.07251453566946935,-0.03967316065431273,0.11285188310795045,0.08168383391529838,0.12006818631533756
IL-17F,0.09882336654350656,0.11316566840299688,-0.1451476099300056,0.8981709276728814,0.9768228504050596,1.0,0.9004343751434859,0.6022939543840236,0.5085755620788032,0.6829826402739737,0.1512432129864672,0.1510981569247078,0.8322786237268982,0.06763225414748648,0.25837200735327426,-0.08918479227905411,0.33281773521628405,0.04271774238010886,-0.010580309314044703,-0.020874774958201604,0.04490654138967056,0.00014362011046762489,-0.004313631910824967,-0.03500001908772075,,-0.14514760993000578,-0.13572014423222747,-0.055200098978872035,0.10487217659975999,0.02789921937394253,-0.060348859903664905,-0.12249866750973688,-0.01276184344837541,-0.22292029452620332,-0.006521180059359314,-0.10081410294125612,-0.1312553994695315,-0.10675318924290857,-0.10450216118965333,0.08179675259875682,0.13963195934075603,0.18385702713303134,0.027531466360260822,0.10649681363591956,-0.026152543113842287,-0.024288385426915707,-0.10419297100195217,-0.05270775110233428,-0.05081951109800425,-0.10955449971071486,0.09882336654350656,0.06699041269745952,0.09607025425834212
IL-21,0.14192738680977865,0.054289089803176115,-0.13978320406229855,0.9635981651089333,0.9381399108986638,0.9004343751434859,1.0,0.3591638916459464,0.5310698897457788,0.7298025811983926,0.06811645477543553,0.16482731104578957,0.9328434428235434,0.15209886043265738,0.12321167256125684,-0.11995258404429207,0.05538562905033369,-0.013501628588023638,-0.033601477500085644,-0.008115588964452943,0.05695599078086719,-0.11167125105871446,-0.011411465189191883,-0.025769695445623218,,-0.13978320406229858,-0.1478493002420598,-0.029044851887480964,0.1588437921969737,0.02814487250853268,-0.13488940505267485,-0.13708316834527026,0.11562213746350579,-0.07006441084881243,0.005130787694855625,-0.061068715913176336,-0.1622477688849068,-0.05483268846563774,-0.0971656443318591,0.1184047100815713,0.12079826560126611,0.1715847912727346,0.08473297411094931,0.15816514934164347,0.07265313281866004,0.04196807645896505,-0.027224690878034093,-0.07025163103133665,-0.04564638018895066,-0.3147494366990101,0.14192738680977865,0.13184852550350504,0.11699810603096132
IL-22,0.08328345604413184,-0.025807936500966733,0.018800806021178142,0.3501620872310628,0.5779759298534447,0.6022939543840236,0.3591638916459464,1.0,0.16774388652145292,0.22515190151150435,0.18437855477562773,0.034360348916811896,0.3500485452310286,-0.01431713273562722,0.38611901423982403,0.04470495685316983,0.808189778411419,-0.07193984351375006,0.04101510351213084,-0.03571369075797179,-0.06670682347990879,0.07540274931784745,0.04219513786381574,-0.024532275179063152,,0.018800806021178132,0.04833811562903552,-0.08028278054380858,-0.07463370472268982,-0.08350471277226296,0.003630494989294796,-0.11873427233225095,-0.1849890038247097,-0.22968247584784296,-0.20827803444154147,-0.1503482554663593,-0.14437300436725917,-0.17352352630992846,-0.16635219418124828,0.026819148686934885,0.021017864390275927,0.0339039533198016,-0.10468728974470656,-0.0848870544521513,-0.2893366762280001,-0.21669872191865036,0.3501564409743173,0.12723919582940488,-0.08277779949687604,-0.18737023845104867,0.08328345604413186,-0.04023074492853999,0.0701059815280858
IFNgamma,0.007820660642112735,0.013629407582279297,0.04557512417386901,0.5217619381515927,0.49183871446852584,0.5085755620788032,0.5310698897457788,0.16774388652145292,1.0,0.8711547860559128,0.02312383650593504,0.2431453032343006,0.6309892165757165,0.0643059955255808,0.2810911752188828,0.13484508588451818,-0.047541802265515,-0.011468227117016318,-0.1334042415923436,0.05512863271987904,0.00857072239650625,-0.0798194524736367,-0.01500898245689413,-0.05091670134562235,,0.045575124173868914,0.2753484790895292,-0.10920662476058984,0.2094059769751177,-0.0029408836621022385,-0.23253516821566447,-0.23194901116436398,0.09181487687636432,-0.22896514462045045,-0.08043718827310141,-0.05628534689665539,-0.10947735132876535,-0.3796139831271313,-0.0676604082969508,-0.07485517585861469,-0.04894633166633977,-0.016019364582295102,-0.10034007985033087,0.039237427509227055,0.08804193893291731,0.11222342480436646,0.07810917994884077,-0.10179497309026213,0.031165653230334302,-0.3596946652195452,0.007820660642112745,0.07445467406460045,0.10810396229067284
IL-10,0.02510927827378966,0.038010704279819,-0.08484785752039813,0.7312000538794611,0.6833025323254449,0.6829826402739737,0.7298025811983926,0.22515190151150435,0.8711547860559128,1.0,0.08083809646883308,0.25845402865882994,0.8029087105968715,0.10836162439062921,0.2905575756610986,0.05654479505183145,-0.03253178834752932,0.02775145424805087,-0.009742421283652547,0.06961624543009312,-0.019645033014616207,-0.09691524760212414,0.002771062176700146,-0.03994971554879803,,-0.08484785752039818,0.09724082067180939,-0.08421706663146954,0.1745204819978505,0.031371493325506206,-0.2130430583352572,-0.21130938083387324,0.16824633698122268,-0.1617456573439386,-0.038323298876733344,0.0040723500956050315,-0.11839852185128047,-0.2452930474253449,-0.029278202191720466,-0.026628024095691868,0.05344913634691676,0.06277499016999431,-0.002339059833976769,0.07561979507361581,0.12228830757433967,0.09144693619984028,0.15355713473076288,-0.11512478913829124,0.02869508637313288,-0.32045494414323533,0.025109278273789632,0.16587967651441213,0.10509857597617266
