,source,target,0
0,gut Acinetobacter,oral Alloscardovia,0.5240970699446348
1,gut Acinetobacter,oral Caviibacter,0.42437084135257497
2,gut Acinetobacter,oral Acidiphilium,0.5857375751052541
3,gut Allisonella,oral Carnobacterium,0.41394233146756737
4,gut Allisonella,oral Trueperella,0.4760738772954497
5,gut Allisonella,oral Xylanimonas,0.43141820923975666
6,gut Allisonella,oral unclassified Actinomycetaceae,0.39875441663629485
7,gut Allisonella,oral unclassified Neisseriaceae,0.462670096926477
8,gut Anaeromassilibacillus,oral Abiotrophia,0.39965477436484115
9,gut Anaeromassilibacillus,oral Desulfomicrobium,0.4164312679168454
10,gut Azospirillum,oral Caviibacter,0.47234244403323017
11,gut Azospirillum,oral Acetobacter,0.9978938130759107
12,gut Bacteroides,oral Campylobacter,0.47161358248461027
13,gut Bacteroides,oral Prevotella,0.4529308853729877
14,gut Bacteroides,oral Veillonella,0.46211591020487774
15,gut Bacteroides,oral unclassified Actinomycetaceae,-0.39965894132106294
16,gut Bacteroides,oral unclassified Neisseriaceae,-0.4707048437050684
17,gut Barnesiella,oral Alloprevotella,0.4015328450871219
18,gut Barnesiella,oral Acetobacter,0.42649936680449096
19,gut Bifidobacterium,oral Catonella,0.49421045297592525
20,gut Bifidobacterium,oral Isoptericola,0.42699820105612374
21,gut Bifidobacterium,oral unclassified Atopobiaceae,-0.4832669608227255
22,gut Bilophila,oral Campylobacter,0.47193825150308016
23,gut Bilophila,oral Selenomonas,0.47215867435063574
24,gut Butyricicoccus,oral Desulfobulbus,0.4661814365864781
25,gut Butyricicoccus,oral Lactobacillus,0.42518813291341684
26,gut Butyricicoccus,oral Parascardovia,0.4275116077813329
27,gut Butyricimonas,oral Bradyrhizobium,0.3996930403023344
28,gut Butyricimonas,oral Desulfomicrobium,0.41683608291877294
29,gut Catenibacterium,oral Bacteroides,0.418814415895005
30,gut Catenibacterium,oral Desulfobulbus,0.4015020181577558
31,gut Catenibacterium,oral Desulfomicrobium,0.40397544904406396
32,gut Catenibacterium,oral Fretibacterium,0.44964718396239334
33,gut Catenibacterium,oral Sanguibacter,0.4194909922055076
34,gut Catenibacterium,oral unclassified Bacteroidetes,0.4397866628806343
35,gut Catenibacterium,oral unclassified Synergistaceae,0.5136253446318867
36,gut Catenibacterium,oral unclassified Synergistales,0.4992421447527659
37,gut Cloacibacillus,oral Actinobaculum,0.40805158358280025
38,gut Cloacibacillus,oral Chlamydia,0.48940744570418016
39,gut Cloacibacillus,oral Peptoanaerobacter,0.5622970445266212
