from,to,value
unclassified Neisseriaceae,Butyric_acid,0.33232787365164096
unclassified Lachnospiraceae,Valeric_acid,0.33277121756069805
unclassified Prevotellaceae,Methanol,0.3341671466491648
Alloprevotella,Propionic_acid,0.3345273631033418
unclassified Selenomonadaceae,Ethanol,0.33461019325200464
unclassified Actinomycetaceae,Uracil,0.34344805356691044
Fusobacterium,N_trimethylamine,0.34775957114896416
Colibacter,Ethanol,0.3505895146296102
Escherichia,Tyrosine,0.35129091950778935
unclassified Neisseriaceae,Uracil,0.3523647219617513
unclassified Neisseriaceae,Phenylacetic_acid,0.35734074218793566
Porphyromonas,N_trimethylamine,0.3584307747332795
unclassified Neisseriaceae,Propionic_acid,0.36020919610077295
Centipeda,Propionic_acid,0.3651179597398516
Kingella,Phenylacetic_acid,0.3715171056282014
Xylanimonas,Uracil,0.3780234902499602
Oribacterium,Butyric_acid,0.3780820601796411
Centipeda,N_trimethylamine,0.38876924271363433
unclassified Bacteroidales,N_methylamine,0.41177151024574166
unclassified Actinomycetaceae,Valeric_acid,0.4335709863778626
