sm,FMT102,FMT103,FMT104,FMT105,FMT106,FMT107,FMT108,FMT109,FMT110,FMT111,FMT112,FMT113,FMT114,FMT115,FMT116,FMT117,FMT118,FMT119,FMT120,FMT121,FMT122,FMT123,FMT124,FMT125,FMT126,FMT127,FMT128,FMT129,FMT130,FMT131,FMT132,FMT133,FMT134,FMT135,FMT136,FMT137,FMT138,FMT139,FMT141,FMT142,FMT143,FMT144,FMT145,FMT146,FMT147,FMT148,FMT149,FMT150,FMT151,FMT152,FMT153,FMT154,FMT155,FMT156,FMT157,FMT158,FMT159,FMT161,FMT163,FMT164,FMT165,FMT166,FMT167,FMT168,FMT169,FMT170,FMT171,FMT172,FMT173,FMT174,FMT175,FMT177,FMT178,FMT180,FMT181,FMT182,FMT183,FMT184,FMT185,FMT186,FMT188,FMT189,FMT190,FMT191,FMT192,FMT193,FMT194,FMT195,FMT196,FMT201
arylpolyene,6.799279308934075e-06,1.4888289474524034e-06,1.3965430804983428e-06,5.6893905340497105e-06,9.277488066813152e-05,2.136782957971506e-05,4.578332349766687e-06,8.181255980183772e-05,4.118435336579063e-05,5.03015036887901e-05,5.505996086854286e-05,0.0001289809362393183,5.362468068517848e-05,1.1338585522733418e-05,3.928264451017283e-05,3.879190005545125e-05,1.882004855613556e-05,3.900760532554021e-05,6.969359215698142e-05,2.017081851315738e-05,7.130710826165327e-06,0.0001166603907301142,5.52575925571685e-06,7.403976950676853e-05,7.389162516034511e-05,4.350749730443568e-05,7.381947243999509e-05,2.5226349600920213e-05,5.354077964100805e-05,4.437691039997348e-05,8.886706002073322e-05,0.00010027585778374404,4.3324460783567695e-05,6.1174405216564e-05,3.326131698645222e-05,4.283727394294809e-06,2.39276823421209e-06,3.940704849785372e-06,0.00012168352904803415,7.130742621472494e-06,1.1257893991418538e-05,3.969429236529741e-06,5.947874927138422e-05,4.124561102710885e-05,4.866644563972984e-05,0.00013759113932121052,7.498242822290846e-05,2.8612366218305674e-05,6.618816365532894e-05,7.438352087667316e-05,3.8575014616473304e-05,2.126657436894912e-05,0.00015418345336206543,4.9836097496986364e-05,6.216122778489841e-05,6.329936351855013e-05,6.109493407127993e-05,7.435355807420895e-06,4.061302940511454e-05,3.154036743014086e-07,3.816261257313152e-05,6.144705174078909e-05,4.3583443202074724e-05,9.495484733434214e-05,0.00014427204214832135,6.394319424465558e-05,5.5353775689266525e-05,2.535156267733071e-05,2.837932490868565e-05,0.00011756959081577486,3.719005249035794e-05,1.2649585135264464e-05,1.2342883152032306e-05,3.522805600393903e-05,3.1035264936152854e-05,2.8669466358141482e-05,5.7309365704903565e-05,0.00011085808082219512,7.820118231508728e-05,4.179483034257721e-05,5.8032111124035534e-05,5.972191197930215e-05,0.00010146392055067476,0.00010771669759456135,0.00013439595793595405,6.287395864619482e-05,6.18261596012674e-05,7.973493908357989e-05,8.721802807733293e-05,0.00013014954567929174
bacteriocin,1.6048167438168774e-05,6.646401093329032e-06,5.4693328683234756e-05,9.084156004550013e-06,1.9845177491421494e-05,1.289585535192133e-07,5.257234172290094e-06,3.836334912365053e-06,3.6759987220519602e-06,9.590178712274872e-06,7.59983591790743e-06,5.255614559643745e-06,5.369114425676385e-06,2.3822114052694683e-06,1.5907872677303522e-06,6.7578925368322736e-06,6.132787707587859e-06,2.9098403925609247e-05,8.17880844616512e-06,6.213560969756447e-06,5.934080489634769e-06,4.0425337621589066e-05,6.635896442027443e-07,1.0448461583088536e-05,1.051243239005132e-05,4.150221692897066e-06,2.27309150127346e-05,6.717732132041928e-06,3.7879832291780006e-06,4.528085777247082e-06,2.577861624850257e-05,1.8754499334213677e-05,2.2067243786641516e-05,4.896316747573605e-06,9.794411798267721e-05,0.00010635049057192027,3.7174469348949015e-05,4.2792891862640455e-05,1.6134679654248644e-05,4.5261396602178574e-05,6.120551715612728e-05,6.998509683052691e-07,8.208002759438735e-06,3.352303120646691e-05,1.638636351106249e-05,1.5365305617063818e-05,5.502098391185023e-06,7.6251064441627355e-06,1.0507763635244578e-05,4.374194746396247e-06,8.532001644011533e-06,1.9023000850665325e-06,1.4887982070037991e-05,4.065018570022336e-05,5.751833592087957e-05,4.210345508832798e-05,6.254667309146061e-05,1.1818251761787622e-05,2.093029882548097e-05,1.1327534530893982e-05,2.3289042951244287e-05,1.2069303999571866e-05,6.339873436024e-05,4.066856066820125e-05,4.3070896143909946e-05,4.341554880397227e-05,4.827666249313678e-05,2.512083807142861e-06,2.152339765245374e-06,1.181424458800398e-06,2.2829371446869923e-06,1.7594832755631283e-05,1.3991419513569627e-05,1.4040705177569476e-05,6.865497997513452e-06,7.1529442592051746e-06,4.163002919792727e-06,1.2049051399570876e-05,3.543591533004137e-05,2.7331584590885712e-05,1.125828649910089e-05,7.341467446792968e-06,2.9734580154135487e-05,1.4157890790679096e-05,3.127630764024143e-05,4.551482280020143e-05,1.0560364398463585e-05,1.9174897116598778e-05,8.770457261044227e-06,2.676119406204287e-05
hserlactone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7426323916004e-07,0.0,0.0,0.0,0.0,0.0,3.38759784825873e-07,6.8080403418658e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ladderane,0.0,0.0,0.0,3.982212925003125e-07,1.859624798224196e-06,5.40060743319828e-06,3.99446489074813e-08,6.813279855895172e-07,4.46750909729284e-08,8.9180560710796e-08,2.1245195442506482e-07,4.84991435019419e-08,1.10691586419575e-05,3.07314868332619e-05,2.80813515329517e-05,0.0,7.62866890593077e-07,0.0,0.0,0.0,4.08051732174539e-08,1.61843082211892e-07,1.69141570604406e-06,3.18597166758666e-06,4.81517099165542e-06,1.5466731055824e-05,2.17866569643098e-06,6.08902052270924e-05,3.03707551997593e-06,2.467024278932158e-07,5.50365985843165e-06,0.0,4.79783434794576e-08,0.0,0.0,4.83459424042165e-08,0.0,4.7759320767343e-08,6.71668813379687e-06,2.3730799162803e-05,3.495934422021011e-05,8.32775487374822e-08,3.82666211270193e-05,3.4832306399674e-05,4.15154052014766e-05,1.90260819839905e-07,4.79313305106654e-06,1.1667814774907e-05,6.70345171256191e-06,0.0,4.72805848842059e-08,0.0,1.82570919061416e-07,5.15597485984628e-06,2.70934728963347e-06,1.3010806625657e-05,1.59940843131634e-05,1.35580887145231e-07,0.0,0.0,9.14404748775167e-08,4.52726989670648e-08,0.0,3.2077704444326e-06,1.739120518048801e-05,3.60789962401328e-06,8.42516385921567e-06,5.386060833905947e-07,1.74401222612606e-07,0.0,8.49154943481427e-08,7.411830904898059e-08,0.0,0.0,9.16752821889918e-08,4.61776375876625e-08,1.89351904743483e-07,1.493589368212106e-06,2.2717830354503292e-05,1.268324715958803e-05,0.0,4.42165471124647e-08,2.64407858038785e-05,2.000490779458915e-06,1.71184455445169e-05,1.426658267895448e-05,7.184925333837309e-06,2.060966116302156e-07,2.13109600416416e-07,2.29327659530887e-05
lantipeptide,6.953256512112604e-05,6.649398047580818e-05,8.995930198145733e-05,2.7503667174564182e-05,9.76351418023692e-06,7.27073265262112e-08,1.8171855017506753e-05,1.4409953389302401e-05,1.8078647138703443e-05,1.617382411239559e-05,1.0766655771515969e-05,3.582691957761604e-05,1.9135722944425972e-05,7.220859187911282e-06,1.4853703592371046e-05,2.4245650291769125e-05,5.052447609694339e-06,1.7404490205510798e-05,3.6689849208768884e-05,1.2582883125659802e-05,2.475418652586632e-05,5.472241824737822e-06,0.00011200316206762343,0.00015485839517194938,0.00016950371119618088,7.880840154449806e-05,7.661791197686958e-06,1.3699435274501591e-05,4.612382069136377e-05,6.604508850009571e-06,3.3752431893167333e-06,2.481544844419993e-06,1.0810685809529443e-06,3.500469584451399e-05,2.3410417827247937e-06,4.0670940812853703e-07,1.0951562459830231e-06,3.76671697407327e-08,5.6816946277692874e-06,5.1731795847777514e-05,3.647402283543159e-05,1.810185151340887e-06,6.092067807064754e-06,9.157515069229515e-06,8.6583743662558e-06,4.395126709248169e-05,5.3724020316823205e-06,1.0033928123397881e-05,8.522297721346722e-06,5.401804170300261e-06,3.6301851361196403e-06,8.635274926449492e-06,9.135454322227369e-07,7.026711773955596e-06,3.7868240461372423e-06,6.4595777625813225e-06,5.7837132398646975e-06,3.4844948279711028e-06,6.345161957336005e-06,4.017716668465744e-05,2.5944685470233415e-06,2.541529691781255e-06,6.756470119968524e-06,2.0305122849451406e-05,7.136885880661678e-06,1.4322331441814318e-05,6.887114077600183e-06,7.30759212250342e-06,2.0571669908341965e-06,3.6506398673146856e-06,9.370804342557511e-06,1.1539341580151889e-05,2.84641844414403e-05,3.293993736942675e-05,2.739429892630586e-05,2.6089699088868487e-05,3.2956476891339184e-05,1.0108051380996436e-05,5.0097529526699525e-06,1.056886074321635e-06,7.724871099928123e-06,1.4684476835723349e-05,4.813228326195144e-06,9.0146187147471e-06,3.964758762048173e-06,1.768738788913218e-06,1.2567117715150587e-05,5.238150302922628e-06,6.5390301768669515e-06,4.997548566314784e-06
nrps,4.1126481555197206e-05,1.6364225072671232e-05,1.8350204177385626e-05,0.00011998760373432949,0.00011574653221344313,0.00019529351019024574,8.135584088782605e-05,6.299714522660172e-05,5.906460169430855e-05,5.349723677435876e-05,4.522115821371307e-05,2.3019026008578738e-05,4.094296208429836e-05,2.940692227120103e-05,3.504776564994311e-05,2.1557849520174455e-05,4.823752061624763e-05,7.430066134131314e-05,0.00012474121871550544,4.193517083455264e-05,8.251474525899674e-05,8.822193785493601e-05,0.00014472852492672695,1.4018980348790937e-05,1.2292170118781008e-05,3.478681086890469e-05,3.570547463332774e-05,0.00010695117746339164,0.00011799889134600504,4.420394393603624e-05,1.8704294379354527e-05,1.618880640069492e-05,4.492298743076787e-06,2.0581704735035192e-05,3.1818252301233846e-05,2.9646995302179026e-06,4.952839558545217e-06,2.038147482185665e-06,1.6474209687171183e-05,4.0296909841070894e-05,5.701407265444774e-05,0.00018769676748956878,7.342445517615686e-05,6.685155523616629e-05,6.374709586888329e-05,1.8460444157320165e-05,2.1800166424175918e-05,7.959641998950132e-05,3.989134963724866e-05,8.437432541931438e-06,2.1690086644943957e-05,2.7824974013642995e-05,1.2890627750194205e-05,2.7950493565753252e-05,2.1937832995330276e-05,2.4974451446183074e-05,3.804060144025149e-05,0.0001561213392796155,7.738538968865335e-05,0.00025820998058591837,6.326542211258477e-05,9.6697790259858e-05,0.00011394492419181721,2.3685116344111758e-05,2.757958904667026e-05,3.658495790166601e-05,4.629097649484063e-05,5.89080210558855e-05,3.9053597177011624e-05,4.384035160471042e-05,7.38796387649057e-05,4.371863982227301e-05,9.236765901891322e-05,3.332160885479436e-05,2.0060650688038845e-05,2.143825462798628e-05,1.1944149054323903e-05,3.576708226968889e-05,4.8036620079393396e-05,1.747246215339317e-05,3.194037228806378e-05,4.908322465408159e-05,5.405977799848273e-05,3.9971263999749755e-05,3.2905933922494655e-05,2.559859321061401e-05,6.217277819582931e-05,2.1524247644604526e-05,2.750539028190136e-05,4.487209949436192e-05
nucleoside,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.84402581456161e-08,0.0,1.49631203072201e-06,4.70532848396121e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.10576583783433e-08,8.30944522597587e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
other,8.822142745472134e-07,8.490951040031708e-07,2.042035020745896e-05,6.581905810490253e-06,1.537523484640213e-05,4.614180909745256e-05,1.5211503243987077e-06,1.6553741030112024e-05,1.1789369720059401e-05,7.636796853653977e-06,1.0750651188477031e-05,1.2493119170411082e-06,8.793831642460406e-06,1.1571377060225673e-05,1.233010464098701e-05,2.6235756941410717e-05,4.438755533520913e-05,6.272606569485139e-06,3.941253228217196e-06,3.6745379552870523e-07,8.218437773927242e-06,7.086512050277342e-05,3.350646236393177e-05,7.00968840802791e-06,1.2715783927233821e-05,1.7672727360463163e-05,1.1784380798506076e-05,2.323637723420672e-05,3.544885053507778e-05,2.060063456867821e-05,4.975168658901367e-07,2.8115210160505968e-06,1.4362515306682938e-06,1.7102996619496514e-05,7.806051987370663e-06,2.3940847208450034e-07,2.0847481082981858e-07,3.889900608554435e-07,3.9079276063163055e-05,1.4675274326041444e-05,9.165443016985541e-06,1.4058326120263944e-05,7.0839170186638694e-06,9.658660483071828e-06,1.7203566928616986e-06,3.094772982035646e-06,8.116037026610227e-06,3.0979199513002813e-06,4.942023481331467e-06,2.9451515504878486e-06,9.104955623856817e-06,1.0162356693621288e-06,2.0818218018730964e-05,8.610974903460591e-06,1.0629869076515185e-05,1.8833744351257346e-05,1.2847854484302563e-05,0.00011115880758520166,4.2642341863436495e-05,0.0001365219008976667,4.2953151214477646e-05,9.100870516568856e-05,8.997194268631423e-05,5.197565240112447e-06,2.4827332677775136e-06,8.853155272850297e-06,7.45496671642493e-06,9.70378193800872e-05,4.672909212591445e-05,5.516302315610072e-05,7.105759429277267e-05,1.3083240416814091e-05,1.2408276122054155e-05,1.032081725730526e-05,8.262882801745275e-06,1.9518693315257834e-05,1.7047586220770885e-05,4.720186706686687e-06,1.4067563382825358e-05,2.0113840069112928e-05,5.03485802454611e-06,5.296444762766708e-06,1.0256962167532029e-05,3.7504782295738488e-06,1.0574058534854748e-05,2.8027788675669237e-05,4.468364392598972e-06,6.018865436914674e-06,8.025880054964606e-06,8.606380509484046e-06
otherks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.15811589976629e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.29016165320083e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.93242072291766e-07,0.0,0.0,0.0
proteusin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
resorcinol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.99374688307386e-07,3.48442134342946e-07,7.82506476632592e-07,9.55219335301695e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.04035363717355e-06,0.0,0.0,0.0,1.75310544628491e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8189799658736e-07,4.33257749580292e-07,6.95257520797949e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.613938493335038e-06,1.84381805960043e-07,9.20555800062499e-07,0.0,0.0,1.7320884528216e-07,1.74961078998463e-07,1.74225443425477e-07,0.0,0.0,0.0,0.0,0.0,0.0,1.84537072763323e-07,8.24168478217333e-07,1.77842017926296e-07,2.2370986382879002e-06,0.0,0.0,0.0,0.0,0.0,0.0,5.32060265473385e-07,4.46886764760323e-07,9.00403012593207e-08,0.0,0.0,1.56684040269475e-06,0.0,0.0,0.0,8.79795974185085e-07,0.0,1.14491618929257e-06,0.0,0.0,0.0,0.0,1.41115165846654e-06
sactipeptide,0.0,0.0,0.0,0.0,3.02259566621298e-07,0.0,0.0,6.06829228178798e-08,0.0,0.0,0.0,4.30837436009332e-07,9.00198991571097e-07,5.28183470429224e-07,9.3975944042945e-07,0.0,0.0,0.0,0.0,0.0,0.0,9.6809369542911e-07,2.7684267873682195e-07,1.90241844081007e-07,4.96551385010759e-07,7.1979056332088e-07,1.80537558831856e-07,0.0,2.122855672658546e-07,2.112842808879924e-07,0.0,0.0,1.29875442605565e-07,0.0,0.0,0.0,0.0,0.0,6.31312643833421e-08,6.01482370296449e-08,2.41302747602951e-07,1.2537389205533e-07,3.60927531401862e-07,0.0,0.0,0.0,0.0,6.65569634297637e-07,7.91602878808445e-07,0.0,0.0,0.0,0.0,1.20964647176939e-07,6.01155241409696e-08,2.42894684763434e-07,6.04683544489521e-08,0.0,0.0,0.0,1.23762840539349e-07,0.0,0.0,1.02475531981391e-06,2.54261174802091e-07,6.17235575037236e-08,4.525830286042806e-07,1.85520687581104e-07,1.362750490573749e-07,1.8360439248851e-07,3.765638036278598e-07,2.73479427843047e-07,7.36111783051767e-08,0.0,0.0,0.0,0.0,0.0,0.0,8.75449685592027e-07,0.0,0.0,0.0,0.0,6.11331693071124e-08,3.07586800268482e-07,0.0,6.08845457156919e-08,6.04005689824914e-08,0.0
