,name1,name2,Site
0,gut oral Abiotrophia defectiva,oral Abiotrophia defectiva,Oral
63,gut oral Actinobaculum sp. oral taxon 183,oral Actinobaculum sp. oral taxon 183,Oral
113,gut oral Actinomyces bouchesdurhonensis,oral Actinomyces bouchesdurhonensis,Oral
180,gut oral Actinomyces cardiffensis,oral Actinomyces cardiffensis,Oral
290,gut oral Actinomyces dentalis,oral Actinomyces dentalis,Oral
321,gut oral Actinomyces georgiae,oral Actinomyces georgiae,Oral
367,gut oral Actinomyces gerencseriae,oral Actinomyces gerencseriae,Oral
395,gut oral Actinomyces graevenitzii,oral Actinomyces graevenitzii,Oral
434,gut oral Actinomyces israelii,oral Actinomyces israelii,Oral
494,gut oral Actinomyces johnsonii,oral Actinomyces johnsonii,Oral
538,gut oral Actinomyces marseillensis,oral Actinomyces marseillensis,Oral
586,gut oral Actinomyces massiliensis,oral Actinomyces massiliensis,Oral
652,gut oral Actinomyces meyeri,oral Actinomyces meyeri,Oral
721,gut oral Actinomyces naeslundii,oral Actinomyces naeslundii,Oral
809,gut oral Actinomyces odontolyticus 2,oral Actinomyces odontolyticus 2,Oral
840,gut oral Actinomyces oris,oral Actinomyces oris,Oral
855,gut oral Actinomyces oris 2,oral Actinomyces oris 2,Oral
919,gut oral Actinomyces oris 3,oral Actinomyces oris 3,Oral
946,gut oral Actinomyces oris 4,oral Actinomyces oris 4,Oral
1034,gut oral Actinomyces radicidentis,oral Actinomyces radicidentis,Oral
1090,gut oral Actinomyces sp. ICM47,oral Actinomyces sp. ICM47,Oral
1154,gut oral Actinomyces sp. Marseille-P3109,oral Actinomyces sp. Marseille-P3109,Oral
1206,gut oral Actinomyces sp. S2_006_000_R1_54,oral Actinomyces sp. S2_006_000_R1_54,Oral
1233,gut oral Actinomyces sp. S6-Spd3,oral Actinomyces sp. S6-Spd3,Oral
1279,gut oral Actinomyces sp. oral taxon 170,oral Actinomyces sp. oral taxon 170,Oral
1324,gut oral Actinomyces sp. oral taxon 172 & sp. ICM58,oral Actinomyces sp. oral taxon 172 & sp. ICM58,Oral
1353,gut oral Actinomyces sp. oral taxon 181,oral Actinomyces sp. oral taxon 181,Oral
1392,gut oral Actinomyces sp. oral taxon 414,oral Actinomyces sp. oral taxon 414,Oral
1437,gut oral Actinomyces sp. oral taxon 448,oral Actinomyces sp. oral taxon 448,Oral
1459,gut oral Actinomyces sp. oral taxon 848 /  Actinomycetaceae bacterium BA112,oral Actinomyces sp. oral taxon 848 /  Actinomycetaceae bacterium BA112,Oral
1516,gut oral Actinomyces sp. oral taxon 897,oral Actinomyces sp. oral taxon 897,Oral
1542,gut oral Aggregatibacter aphrophilus,oral Aggregatibacter aphrophilus,Oral
1612,gut oral Aggregatibacter segnis,oral Aggregatibacter segnis,Oral
1681,gut oral Aggregatibacter sp. oral taxon 458,oral Aggregatibacter sp. oral taxon 458,Oral
1737,gut oral Alloprevotella rava,oral Alloprevotella rava,Oral
1780,gut oral Alloprevotella tannerae,oral Alloprevotella tannerae,Oral
1831,gut oral Alloscardovia omnicolens,oral Alloscardovia omnicolens,Oral
1882,gut oral Anaeroglobus geminatus,oral Anaeroglobus geminatus,Oral
1953,gut oral Anaerolineaceae bacterium oral taxon 439 W11661 / Chloroflexi bacterium oral taxon 439,oral Anaerolineaceae bacterium oral taxon 439 W11661 / Chloroflexi bacterium oral taxon 439,Oral
1965,gut oral Atopobium parvulum,oral Atopobium parvulum,Oral
2018,gut oral Atopobium parvulum 2,oral Atopobium parvulum 2,Oral
2061,gut oral Atopobium rimae,oral Atopobium rimae,Oral
2102,gut oral Atopobium sp. oral taxon 199,oral Atopobium sp. oral taxon 199,Oral
2133,gut oral Atopobium sp. oral taxon 810,oral Atopobium sp. oral taxon 810,Oral
2145,gut oral Bacteroides heparinolyticus,oral Bacteroides heparinolyticus,Oral
2180,gut oral Bacteroidetes oral taxon 274,oral Bacteroidetes oral taxon 274,Oral
2247,gut oral Bifidobacterium animalis,oral Bifidobacterium animalis,Oral
2296,gut oral Bifidobacterium breve,oral Bifidobacterium breve,Oral
2341,gut oral Bifidobacterium dentium,oral Bifidobacterium dentium,Oral
2383,gut oral Bifidobacterium longum,oral Bifidobacterium longum,Oral
2398,gut oral Bifidobacterium scardovii,oral Bifidobacterium scardovii,Oral
2445,gut oral Bradyrhizobium elkanii,oral Bradyrhizobium elkanii,Oral
2473,gut oral Bulleidia extructa,oral Bulleidia extructa,Oral
2528,gut oral Campylobacter concisus 2,oral Campylobacter concisus 2,Oral
2563,gut oral Campylobacter concisus 3,oral Campylobacter concisus 3,Oral
2588,gut oral Campylobacter curvus,oral Campylobacter curvus,Oral
2616,gut oral Campylobacter gracilis,oral Campylobacter gracilis,Oral
2663,gut oral Campylobacter rectus,oral Campylobacter rectus,Oral
2730,gut oral Campylobacter showae,oral Campylobacter showae,Oral
2748,gut oral Candida albicans,oral Candida albicans,Oral
2769,gut oral Candida dubliniensis,oral Candida dubliniensis,Oral
2778,gut oral Candidatus Gracilibacteria bacterium GN02-872,oral Candidatus Gracilibacteria bacterium GN02-872,Oral
2832,gut oral Candidatus Gracilibacteria bacterium GN02-873,oral Candidatus Gracilibacteria bacterium GN02-873,Oral
2901,gut oral Capnocytophaga gingivalis,oral Capnocytophaga gingivalis,Oral
2953,gut oral Capnocytophaga granulosa,oral Capnocytophaga granulosa,Oral
2996,gut oral Capnocytophaga haemolytica,oral Capnocytophaga haemolytica,Oral
3038,gut oral Capnocytophaga leadbetteri,oral Capnocytophaga leadbetteri,Oral
3092,gut oral Capnocytophaga ochracea,oral Capnocytophaga ochracea,Oral
3121,gut oral Capnocytophaga sp. oral taxon 326 & sp. ChDC OS43,oral Capnocytophaga sp. oral taxon 326 & sp. ChDC OS43,Oral
3151,gut oral Capnocytophaga sp. oral taxon 332,oral Capnocytophaga sp. oral taxon 332,Oral
3230,gut oral Capnocytophaga sp. oral taxon 338,oral Capnocytophaga sp. oral taxon 338,Oral
3254,gut oral Capnocytophaga sp. oral taxon 863,oral Capnocytophaga sp. oral taxon 863,Oral
3288,gut oral Capnocytophaga sputigena,oral Capnocytophaga sputigena,Oral
3312,gut oral Cardiobacterium hominis,oral Cardiobacterium hominis,Oral
3400,gut oral Cardiobacterium valvarum,oral Cardiobacterium valvarum,Oral
3455,gut oral Carnobacterium maltaromaticum,oral Carnobacterium maltaromaticum,Oral
3489,gut oral Catonella morbi,oral Catonella morbi,Oral
3513,gut oral Centipeda periodontii,oral Centipeda periodontii,Oral
3579,gut oral Colibacter massiliensis,oral Colibacter massiliensis,Oral
3635,gut oral Corynebacterium durum,oral Corynebacterium durum,Oral
3705,gut oral Corynebacterium matruchotii,oral Corynebacterium matruchotii,Oral
3734,gut oral Cryptobacterium curtum,oral Cryptobacterium curtum,Oral
3774,gut oral Cutibacterium acnes,oral Cutibacterium acnes,Oral
3794,gut oral Desulfobulbus sp. ORNL & sp. oral taxon 041,oral Desulfobulbus sp. ORNL & sp. oral taxon 041,Oral
3874,gut oral Desulfomicrobium orale,oral Desulfomicrobium orale,Oral
3944,gut oral Desulfovibrio sp. Dsv1,oral Desulfovibrio sp. Dsv1,Oral
3979,gut oral Dialister invisus,oral Dialister invisus,Oral
4032,gut oral Dialister micraerophilus,oral Dialister micraerophilus,Oral
4095,gut oral Dialister pneumosintes,oral Dialister pneumosintes,Oral
4157,gut oral Eggerthia catenaformis,oral Eggerthia catenaformis,Oral
4220,gut oral Eikenella corrodens,oral Eikenella corrodens,Oral
4284,gut oral Enterobacter cancerogenus,oral Enterobacter cancerogenus,Oral
4293,gut oral Enterobacter xiangfangensis,oral Enterobacter xiangfangensis,Oral
4303,gut oral Escherichia coli,oral Escherichia coli,Oral
4309,gut oral Filifactor alocis,oral Filifactor alocis,Oral
4395,gut oral Fretibacterium fastidiosum,oral Fretibacterium fastidiosum,Oral
4463,gut oral Fusobacterium nucleatum subsp. animalis,oral Fusobacterium nucleatum subsp. animalis,Oral
4517,gut oral Fusobacterium nucleatum subsp. polymorphum,oral Fusobacterium nucleatum subsp. polymorphum,Oral
4553,gut oral Fusobacterium nucleatum subsp. vincentii,oral Fusobacterium nucleatum subsp. vincentii,Oral
4588,gut oral Fusobacterium periodonticum,oral Fusobacterium periodonticum,Oral
4633,gut oral Gardnerella vaginalis,oral Gardnerella vaginalis,Oral
4646,gut oral Gardnerella vaginalis 4,oral Gardnerella vaginalis 4,Oral
4674,gut oral Gemella haemolysans,oral Gemella haemolysans,Oral
4701,gut oral Gemella morbillorum,oral Gemella morbillorum,Oral
4803,gut oral Gemella sanguinis,oral Gemella sanguinis,Oral
4872,gut oral Granulicatella adiacens,oral Granulicatella adiacens,Oral
4915,gut oral Granulicatella elegans,oral Granulicatella elegans,Oral
4946,gut oral Haemophilus aegyptius,oral Haemophilus aegyptius,Oral
4962,gut oral Haemophilus haemolyticus,oral Haemophilus haemolyticus,Oral
5017,gut oral Haemophilus parahaemolyticus,oral Haemophilus parahaemolyticus,Oral
5061,gut oral Haemophilus parainfluenzae,oral Haemophilus parainfluenzae,Oral
5120,gut oral Haemophilus sputorum,oral Haemophilus sputorum,Oral
5181,gut oral Homo sapiens,oral Homo sapiens,Oral
5208,gut oral Isoptericola variabilis 2,oral Isoptericola variabilis 2,Oral
5248,gut oral Jonquetella anthropi,oral Jonquetella anthropi,Oral
5279,gut oral Kingella denitrificans,oral Kingella denitrificans,Oral
5332,gut oral Kingella oralis,oral Kingella oralis,Oral
5353,gut oral Klebsiella pneumoniae,oral Klebsiella pneumoniae,Oral
5362,gut oral Kytococcus sedentarius,oral Kytococcus sedentarius,Oral
5410,gut oral Lachnoanaerobaculum saburreum,oral Lachnoanaerobaculum saburreum,Oral
5448,gut oral Lachnoanaerobaculum sp. ICM7,oral Lachnoanaerobaculum sp. ICM7,Oral
5480,gut oral Lachnoanaerobaculum umeaense,oral Lachnoanaerobaculum umeaense,Oral
5534,gut oral Lachnospiraceae bacterium oral taxon 096,oral Lachnospiraceae bacterium oral taxon 096,Oral
5579,gut oral Lachnospiraceae bacterium oral taxon 500,oral Lachnospiraceae bacterium oral taxon 500,Oral
5633,gut oral Lactobacillus casei == paracasei,oral Lactobacillus casei == paracasei,Oral
5681,gut oral Lactobacillus crispatus,oral Lactobacillus crispatus,Oral
5738,gut oral Lactobacillus fermentum,oral Lactobacillus fermentum,Oral
5807,gut oral Lactobacillus gasseri 1,oral Lactobacillus gasseri 1,Oral
5856,gut oral Lactobacillus gasseri 2,oral Lactobacillus gasseri 2,Oral
5908,gut oral Lactobacillus mucosae,oral Lactobacillus mucosae,Oral
5916,gut oral Lactobacillus oris,oral Lactobacillus oris,Oral
5987,gut oral Lactobacillus plantarum,oral Lactobacillus plantarum,Oral
6057,gut oral Lactobacillus rhamnosus,oral Lactobacillus rhamnosus,Oral
6071,gut oral Lactobacillus salivarius,oral Lactobacillus salivarius,Oral
6133,gut oral Lactobacillus vaginalis,oral Lactobacillus vaginalis,Oral
6189,gut oral Lactococcus lactis subsp. cremoris,oral Lactococcus lactis subsp. cremoris,Oral
6198,gut oral Lactococcus lactis subsp. lactis,oral Lactococcus lactis subsp. lactis,Oral
6204,gut oral Lautropia mirabilis,oral Lautropia mirabilis,Oral
6270,gut oral Leptotrichia buccalis,oral Leptotrichia buccalis,Oral
6303,gut oral Leptotrichia goodfellowii,oral Leptotrichia goodfellowii,Oral
6342,gut oral Leptotrichia hofstadii,oral Leptotrichia hofstadii,Oral
6373,gut oral Leptotrichia massiliensis,oral Leptotrichia massiliensis,Oral
6391,gut oral Leptotrichia shahii,oral Leptotrichia shahii,Oral
6400,gut oral Leptotrichia sp. oral taxon 212,oral Leptotrichia sp. oral taxon 212,Oral
6451,gut oral Leptotrichia sp. oral taxon 215,oral Leptotrichia sp. oral taxon 215,Oral
6480,gut oral Leptotrichia sp. oral taxon 498,oral Leptotrichia sp. oral taxon 498,Oral
6499,gut oral Leptotrichia trevisanii,oral Leptotrichia trevisanii,Oral
6503,gut oral Leptotrichia wadei,oral Leptotrichia wadei,Oral
6527,gut oral Megasphaera micronuciformis,oral Megasphaera micronuciformis,Oral
6582,gut oral Mitsuokella sp. oral taxon 131,oral Mitsuokella sp. oral taxon 131,Oral
6652,gut oral Mogibacterium diversum,oral Mogibacterium diversum,Oral
6698,gut oral Mogibacterium timidum,oral Mogibacterium timidum,Oral
6784,gut oral Mycoplasma salivarium,oral Mycoplasma salivarium,Oral
6833,gut oral Neisseria bacilliformis,oral Neisseria bacilliformis,Oral
6853,gut oral Neisseria cinerea,oral Neisseria cinerea,Oral
6946,gut oral Neisseria elongata subsp. glycolytica,oral Neisseria elongata subsp. glycolytica,Oral
7009,gut oral Neisseria flavescens,oral Neisseria flavescens,Oral
7069,gut oral Neisseria meningitidis,oral Neisseria meningitidis,Oral
7139,gut oral Neisseria mucosa 2,oral Neisseria mucosa 2,Oral
7187,gut oral Neisseria sp. oral taxon 014,oral Neisseria sp. oral taxon 014,Oral
7283,gut oral Neisseria sp. oral taxon 020,oral Neisseria sp. oral taxon 020,Oral
7325,gut oral Olsenella phocaeensis,oral Olsenella phocaeensis,Oral
7369,gut oral Olsenella profusa,oral Olsenella profusa,Oral
7396,gut oral Olsenella sp. oral taxon 807,oral Olsenella sp. oral taxon 807,Oral
7454,gut oral Olsenella uli,oral Olsenella uli,Oral
7523,gut oral Oribacterium asaccharolyticum,oral Oribacterium asaccharolyticum,Oral
7543,gut oral Oribacterium parvum,oral Oribacterium parvum,Oral
7589,gut oral Oribacterium sinus,oral Oribacterium sinus,Oral
7619,gut oral Oribacterium sp. oral taxon 078,oral Oribacterium sp. oral taxon 078,Oral
7680,gut oral Ottowia sp. Marseille-P4747 & sp. oral taxon 894,oral Ottowia sp. Marseille-P4747 & sp. oral taxon 894,Oral
7739,gut oral Parascardovia denticolens,oral Parascardovia denticolens,Oral
7817,gut oral Parvimonas micra,oral Parvimonas micra,Oral
7888,gut oral Peptoanaerobacter stomatis,oral Peptoanaerobacter stomatis,Oral
7905,gut oral Peptoniphilus lacrimalis,oral Peptoniphilus lacrimalis,Oral
7928,gut oral Peptostreptococcaceae bacterium oral taxon 113,oral Peptostreptococcaceae bacterium oral taxon 113,Oral
7946,gut oral Peptostreptococcus stomatis,oral Peptostreptococcus stomatis,Oral
8009,gut oral Phocaeicola abscessus,oral Phocaeicola abscessus,Oral
8082,gut oral Porphyromonas catoniae,oral Porphyromonas catoniae,Oral
8158,gut oral Porphyromonas endodontalis,oral Porphyromonas endodontalis,Oral
8234,gut oral Porphyromonas gingivalis,oral Porphyromonas gingivalis,Oral
8297,gut oral Porphyromonas sp. oral taxon 278,oral Porphyromonas sp. oral taxon 278,Oral
8376,gut oral Porphyromonas sp. oral taxon 279,oral Porphyromonas sp. oral taxon 279,Oral
8453,gut oral Porphyromonas uenonis,oral Porphyromonas uenonis,Oral
8488,gut oral Prevotella baroniae,oral Prevotella baroniae,Oral
8585,gut oral Prevotella buccae,oral Prevotella buccae,Oral
