genus	FMT102	FMT103	FMT104	FMT105	FMT106	FMT107	FMT108	FMT109	FMT110	FMT111	FMT112	FMT113	FMT114	FMT115	FMT116	FMT117	FMT118	FMT119	FMT120	FMT121	FMT122	FMT123	FMT124	FMT125	FMT126	FMT127	FMT128	FMT129	FMT130	FMT131	FMT132	FMT133	FMT134	FMT135	FMT136	FMT137	FMT138	FMT139	FMT141	FMT142	FMT143	FMT144	FMT145	FMT146	FMT147	FMT148	FMT149	FMT150	FMT151	FMT152	FMT153	FMT154	FMT155	FMT156	FMT157	FMT158	FMT159	FMT161	FMT163	FMT164	FMT165	FMT166	FMT167	FMT168	FMT169	FMT170	FMT171	FMT172	FMT173	FMT174	FMT175	FMT177	FMT178	FMT180	FMT181	FMT182	FMT183	FMT184	FMT185	FMT186	FMT188	FMT189	FMT190	FMT191	FMT192	FMT193	FMT194	FMT195	FMT196	FMT201
Acetobacter	0.0	0.0	0.0	0.0	4.58803815935545e-07	0.0	0.0	2.55712335872267e-06	0.0	1.7507587669134e-06	5.43887598654497e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.06408921395276e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.19107447754384e-07	0.0	0.0	0.0	0.0	1.76956805428157e-06	1.97866127829719e-06	0.0	0.0	0.0	0.0	0.0	2.13615037213391e-06
Acidaminococcus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.10601216142842e-06	6.99530895848343e-08	0.0	1.82224557703537e-07	4.63182011095574e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.16934217994837e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.45398418971947e-07	0.0	0.0	0.0	0.0	2.29168779420225e-07	1.68398234651979e-06	1.46037530234418e-06	0.0	0.0	7.20242569883053e-08	1.46487910004339e-07	0.0	3.78963001131836e-07	1.2800322859035e-06	1.11733021843418e-06	1.51879781486635e-06	9.75157132714804e-07	1.24188534887368e-06	0.0	0.0	0.0	0.0	0.0	4.83597045232396e-08	0.0	0.0	0.0	0.0	0.0	2.14453700871185e-06	1.32367058356122e-06	7.1489598156406e-07	4.34704600355778e-07	0.0	0.0	0.0	0.0	0.0	0.0	6.99700480243437e-07	1.1973058547187687e-06	2.7198856515241365e-06	4.92916821027226e-07	0.0	0.0	2.38312575615354e-07	0.0	0.0	0.0	0.0	0.0	2.41709285638981e-07	8.19369414383366e-07	0.0	0.0	0.0
Acidiphilium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.17907569117741e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acinetobacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.4030394585615e-08	2.39974077429359e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.76706058940512e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.30162036266043e-07	0.0	0.0	0.0	9.93824780466919e-07	0.0	8.36651610630217e-07	0.0	0.0	0.0	0.0	1.11944844089429e-06
Actinomyces	0.0	0.0	0.0	7.23543476803297e-07	7.02506040834466e-07	0.0	4.50787755903935e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.11106448384076e-08	0.0	0.0	0.0	0.0	1.15726480103728e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.52857060871264e-08	0.0	5.19970616203204e-08	0.0	2.34337017456333e-07	1.25825915301024e-07	0.0	1.37279944627594e-07	0.0	9.21820824643808e-08	4.85929848976991e-08	0.0	1.23429774289128e-08	0.0	1.23220409567896e-08	2.95944681213086e-07	3.61933068916493e-07	4.4583244059785e-07	8.12408791637835e-07	0.0	0.0	7.32784819378713e-08	0.0	2.84513601577085e-07	1.52801691196349e-07	6.84497674452105e-08	3.45232693676474e-07	3.38504747868258e-08	0.0	6.00375826022713e-07	2.4798587668286e-07	7.41887163701864e-07	9.66433131009321e-08	1.10797983398081e-07	1.51418126021645e-07	3.61982809239423e-07	1.45685597967341e-07	0.0	0.0	0.0	0.0	1.33890887771096e-07	2.12176177986799e-07	1.06445075127921e-07	1.44343419378427e-07	5.34854744852796e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Adlercreutzia	0.0	0.0	0.0	3.15779593187095e-06	8.00293841715092e-07	0.0	8.60351213435566e-07	1.03508924001793e-07	0.0	0.0	2.66175128821623e-07	2.57041717608171e-07	7.22179204540915e-07	2.2595727848978e-07	2.92500583208002e-07	0.0	2.24499591641255e-07	0.0	0.0	0.0	0.0	0.0	0.0	4.53924789915704e-08	7.4301340234703e-08	7.09145437205863e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.1516172364196e-07	9.94465374025703e-07	7.56757866538287e-07	0.0	6.90491704143314e-07	1.119745796255e-06	1.62364536434411e-06	0.0	0.0	1.1190486663109e-07	5.42771919383571e-07	0.0	5.96386793906049e-07	4.50893537202071e-07	0.0	2.28679818332424e-07	2.67454499878571e-07	1.60177483947102e-07	4.25257819830015e-07	7.15691757876468e-07	0.0	0.0	1.94612736284825e-07	2.40955038985137e-07	2.72916054024456e-07	0.0	0.0	0.0	0.0	1.39077685008606e-07	1.08020145071674e-07	3.92706537159043e-08	9.53124245937847e-07	1.25976035857111e-06	2.06811107527418e-06	0.0	0.0	0.0	0.0	5.27207679959641e-07	1.60920270729756e-06	7.50050592960864e-07	2.56052316272865e-06	1.47924313457791e-06	1.42106658665247e-06	3.78061509012451e-07	1.39333402712734e-06	4.49858874792122e-07	1.43720962264468e-07	2.12174839186256e-06	1.41644145548207e-06	1.53090327233842e-06
Akkermansia	0.0	0.0	0.0	0.0	3.16935327520411e-05	0.0	0.0	1.43831900181105e-05	8.75393866112632e-06	2.92044827991987e-06	5.13837624768841e-06	5.28582020825198e-06	6.377937437985013e-07	0.0	2.26196313377994e-06	0.0	0.0	0.0	0.0	7.15652325203369e-06	0.0	0.0	0.0	0.0	0.0	1.78999963881471e-08	8.01711803227509e-07	1.57680947684671e-06	4.59640222853105e-05	5.79257119783658e-06	6.50068259914463e-06	4.44228363998751e-08	1.35191272203803e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.22890203059092e-06	7.57965130189643e-06	6.2379335006456e-08	0.0	0.0	9.11109999824843e-06	6.00888939055546e-06	3.47287668461861e-06	0.0	2.67445714030405e-05	0.0	0.0	5.94050473649527e-08	0.0	6.79058644757016e-07	5.16681957161317e-06	5.5668824122724e-07	0.0	0.0	1.32387843385383e-06	0.0	0.0	0.0	0.0	1.20048093922728e-05	2.51055825581001e-07	2.73427351958212e-07	6.7387202508859e-07	2.4301431045004e-06	5.7045809252912e-08	1.02009209221693e-05	1.17777643612294e-05	0.0	0.0	0.0	0.0	4.88934655338234e-06	0.0	1.34000520167125e-07	1.2772007847897e-05	4.88740492771815e-06	1.85015017838716e-07	4.58399195526868e-06	0.0	1.55810750750941e-07	1.42712964565328e-06	1.04138833682746e-05	3.21550381423488e-06	5.10000403075392e-07
Alistipes	0.0	0.0	0.0	0.0	2.5305999743854765e-05	0.0	1.4431916638080617e-05	1.9313976815012398e-05	7.40708457372445e-06	1.0981643664110019e-05	1.4572944585184153e-05	3.2558726811905e-05	1.6251562142090192e-05	6.926261988225525e-06	1.824154631389376e-05	1.7677332948058279e-06	8.580564294930504e-07	0.0	8.22845958131152e-08	0.0	0.0	1.4849603728274667e-06	1.520876127308376e-06	9.995894677757021e-07	3.0720872195553225e-06	2.469588937275932e-06	9.700403906388957e-06	4.787110849367804e-06	9.76476563771373e-07	1.0609223313544144e-05	1.2344579577305212e-05	1.381501745386229e-06	1.5357424105492057e-05	0.0	0.0	0.0	0.0	6.30245807027006e-08	1.0080774192588852e-05	6.750771515360022e-07	1.3596813991623693e-06	0.0	4.27095325561959e-06	1.69679891241319e-06	9.09161647696634e-07	0.0	1.14836380518921e-06	1.66697402226855e-06	2.7236628180732542e-06	4.55427969627782e-06	5.274165992480657e-06	6.226114687946342e-07	0.0	3.840685204801751e-06	1.5776433696445303e-05	1.7196854052503976e-05	2.4055828112353815e-05	2.4157431453386236e-06	1.4220057496140894e-05	0.0	6.579955950015889e-06	9.870411027821332e-06	1.4759668689294419e-05	2.9595230351062257e-05	3.274567321163993e-05	2.0075340172635137e-05	2.3914466430697473e-05	6.167903632737449e-06	1.4302206400776835e-05	2.5425892334733744e-05	1.08959489590748e-05	6.4063003373412355e-06	1.0396623403241115e-05	4.851239679307195e-06	3.253209996481459e-06	2.102262114731736e-06	1.625928422350453e-07	2.6819024093748686e-05	2.3797194798720424e-05	1.0204676918148812e-05	1.592938715578206e-05	1.5634153867261e-05	3.6428952855028635e-05	2.1313830823930067e-05	4.326757918752806e-05	9.257356360978603e-06	5.86918215129698e-06	1.8042550575036186e-05	2.293709075990414e-05	4.131519669079975e-05
Allisonella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.04092701946129e-07	5.22954080832635e-08	5.0122210257267e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.35766857197586e-07	3.74989726594734e-07	4.78688670360034e-07	0.0	0.0	0.0	0.0	0.0	5.17880025526248e-07	4.64728908335841e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.41231389827626e-07	1.35157457779406e-07	1.58673328143389e-07	0.0	0.0	0.0	0.0	0.0	4.6793392023895e-08	0.0	0.0	2.01559185665424e-07	1.97792275217973e-07	1.12450733798446e-07	0.0	0.0	0.0	0.0	0.0	0.0	3.64146396649588e-07	4.7283438913357e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.46781818730495e-07	2.82943092594969e-07	0.0	0.0	0.0	0.0	0.0	1.09777205189852e-07	1.63397563837315e-07	0.0
Anaerococcus	0.0	0.0	0.0	8.48575483901575e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
