,,0
Acetic_acid,Acetic_acid,1.0
Acetic_acid,Alanine,-0.32160028338244734
Acetic_acid,Butyric_acid,0.45250767873327247
Acetic_acid,Ethanol,0.19619255886916825
Acetic_acid,Formic_acid,-0.017914576244996684
Acetic_acid,Fumaric_acid,-0.306176780480303
Acetic_acid,Glutamic_acid,-0.3296781041676304
Acetic_acid,Glycine,-0.5324157447903267
Acetic_acid,Isoleucine,-0.5119345270689096
Acetic_acid,Lactic_acid,0.07174325501345917
Acetic_acid,Leucine,-0.17605815146339648
Acetic_acid,Methanol,0.4603053375083623
Acetic_acid,N_trimethylamine,0.2553944111684862
Acetic_acid,N_methylamine,0.1415243182684365
Acetic_acid,Phenylacetic_acid,0.10842017328883989
Acetic_acid,Propionic_acid,0.44105870864485736
Acetic_acid,Succinic_acid,-0.07825576630058681
Acetic_acid,Tyrosine,0.1515502392574944
Acetic_acid,Uracil,0.16953351069196165
Acetic_acid,Valeric_acid,0.16333290455364033
Acetic_acid,Valine,-0.4314267801575531
Alanine,Acetic_acid,-0.32160028338244734
Alanine,Alanine,1.0
Alanine,Butyric_acid,-0.4337793072395716
Alanine,Ethanol,-0.3811805579041163
Alanine,Formic_acid,0.19396600310371684
Alanine,Fumaric_acid,-0.18174946284799612
Alanine,Glutamic_acid,0.5653068790278839
Alanine,Glycine,0.4847320271281937
Alanine,Isoleucine,0.5141299729653814
Alanine,Lactic_acid,0.09377562700146824
Alanine,Leucine,0.722455414760656
Alanine,Methanol,-0.4957027211664721
Alanine,N_trimethylamine,-0.32044829741293906
Alanine,N_methylamine,-0.3578817226125872
Alanine,Phenylacetic_acid,0.09235940268838784
Alanine,Propionic_acid,-0.32185700961631236
Alanine,Succinic_acid,-0.12152981596523278
Alanine,Tyrosine,-0.10491950951402443
Alanine,Uracil,-0.039212848710036684
Alanine,Valeric_acid,-0.21071250567217947
Alanine,Valine,0.7571479111053935
Butyric_acid,Acetic_acid,0.45250767873327247
Butyric_acid,Alanine,-0.4337793072395716
Butyric_acid,Butyric_acid,1.0
Butyric_acid,Ethanol,0.30880674152318205
Butyric_acid,Formic_acid,-0.043485952441128455
Butyric_acid,Fumaric_acid,-0.15789685635210424
Butyric_acid,Glutamic_acid,-0.38000675461688943
Butyric_acid,Glycine,-0.41603820659770296
Butyric_acid,Isoleucine,-0.4095802424274159
Butyric_acid,Lactic_acid,0.09794021674656089
Butyric_acid,Leucine,-0.4755471944098256
Butyric_acid,Methanol,0.31353663422943556
Butyric_acid,N_trimethylamine,0.42665337566134404
Butyric_acid,N_methylamine,0.28874091064742785
Butyric_acid,Phenylacetic_acid,0.24933661488434009
Butyric_acid,Propionic_acid,0.5104685942173479
Butyric_acid,Succinic_acid,-0.0010934145919073604
Butyric_acid,Tyrosine,-0.1309724839794934
Butyric_acid,Uracil,0.2670430382004672
Butyric_acid,Valeric_acid,0.4521539184215518
Butyric_acid,Valine,-0.5083459299520793
Ethanol,Acetic_acid,0.19619255886916825
Ethanol,Alanine,-0.3811805579041163
Ethanol,Butyric_acid,0.30880674152318205
Ethanol,Ethanol,1.0
Ethanol,Formic_acid,-0.3199755613365225
Ethanol,Fumaric_acid,0.08810119602377023
Ethanol,Glutamic_acid,-0.3122708855874976
Ethanol,Glycine,-0.26918995415404157
Ethanol,Isoleucine,-0.34666495165561373
Ethanol,Lactic_acid,0.2527172165412567
Ethanol,Leucine,-0.4237931421983473
Ethanol,Methanol,0.3427096815796766
Ethanol,N_trimethylamine,-0.06418419190944755
Ethanol,N_methylamine,-0.13560032259405436
Ethanol,Phenylacetic_acid,-0.2756247422508793
Ethanol,Propionic_acid,0.2418999541512497
Ethanol,Succinic_acid,0.11976750729941407
Ethanol,Tyrosine,0.012253562053393816
Ethanol,Uracil,-0.3215902730360185
Ethanol,Valeric_acid,0.012573560156997999
Ethanol,Valine,-0.3760351188368204
Formic_acid,Acetic_acid,-0.017914576244996684
Formic_acid,Alanine,0.19396600310371684
Formic_acid,Butyric_acid,-0.043485952441128455
Formic_acid,Ethanol,-0.3199755613365225
Formic_acid,Formic_acid,1.0
Formic_acid,Fumaric_acid,0.007640525402037529
Formic_acid,Glutamic_acid,0.44842891262590545
Formic_acid,Glycine,0.14585745650100532
Formic_acid,Isoleucine,0.030955769793008018
Formic_acid,Lactic_acid,0.029106230074334393
Formic_acid,Leucine,0.20464487905301082
Formic_acid,Methanol,-0.07329683050209379
Formic_acid,N_trimethylamine,0.024925224649291883
Formic_acid,N_methylamine,-0.05193217502733082
Formic_acid,Phenylacetic_acid,0.17276762738033968
Formic_acid,Propionic_acid,-0.16805776738527825
Formic_acid,Succinic_acid,0.06535285633183616
Formic_acid,Tyrosine,-0.03950077200205867
Formic_acid,Uracil,0.04370380529965467
Formic_acid,Valeric_acid,0.02650199430139545
Formic_acid,Valine,0.2008008883801516
Fumaric_acid,Acetic_acid,-0.306176780480303
Fumaric_acid,Alanine,-0.18174946284799612
Fumaric_acid,Butyric_acid,-0.15789685635210424
Fumaric_acid,Ethanol,0.08810119602377023
Fumaric_acid,Formic_acid,0.007640525402037529
Fumaric_acid,Fumaric_acid,1.0
Fumaric_acid,Glutamic_acid,0.15296284691166093
Fumaric_acid,Glycine,0.08728378356183246
Fumaric_acid,Isoleucine,0.07092541035139036
Fumaric_acid,Lactic_acid,-0.139646346307849
Fumaric_acid,Leucine,-0.1144148572309325
Fumaric_acid,Methanol,0.009344141363754603
Fumaric_acid,N_trimethylamine,-0.026488256635843293
Fumaric_acid,N_methylamine,-0.03962960933781504
Fumaric_acid,Phenylacetic_acid,-0.07368683550891351
Fumaric_acid,Propionic_acid,-0.035593943476337646
