from,to,value
Actinomyces sp. oral taxon 897,Phenylacetic_acid,-0.4717875460243525
Campylobacter rectus,Uracil,0.4463162037487292
Lactobacillus oris,Ethanol,0.5160888020694584
Neisseria cinerea,Lactic_acid,-0.41644517578633977
Olsenella profusa,Phenylacetic_acid,-0.4142477014353764
Porphyromonas endodontalis,Uracil,0.40522095654902446
Prevotella buccae,Glycine,-0.42557919414260353
Prevotella sp. F0091,Acetic_acid,0.4432524109493525
Prevotella sp. oral taxon 306,Propionic_acid,0.40410070733886233
Selenomonas flueggei,Ethanol,0.4877844826735132
Treponema vincentii,Glycine,-0.44623116121918277
Veillonella infantium,Uracil,0.4052910287991036
Actinomycetaceae,Valeric_acid,0.4335709863778626
Alloprevotella,Glycine,-0.4130395113511545
Bacteroidales,N_methylamine,0.41177151024574166
Desulfovibrio,Glycine,-0.4048082968411717
Gemella,Phenylacetic_acid,-0.48944405154030246
Peptostreptococcus,Fumaric_acid,-0.4323030411377718
