species,Unnamed: 0,id,Days after treatment,Acetic_acid,Alanine,Butyric_acid,Ethanol,Formic_acid,Fumaric_acid,Glutamic_acid,Glycine,Isoleucine,Lactic_acid,Leucine,Methanol,N_trimethylamine,N_methylamine,Phenylacetic_acid,Propionic_acid,Succinic_acid,Tyrosine,Uracil,Valeric_acid,Valine,age_at_baseline_years,MELD,IL-17A,IL-17E,IL-17F,IL-21,IL-22,IFNgamma,IL-10,IL-1beta,IL-6,TNF-alpha,IL-12,IL-23,IL-8,FABP2,DLactate_faecal,DLactate_plasma,faecal_ammonia,endotoxin,E_faecalis,E_coli,EC2.9.1.1,INR,CRP,Sodium,Potassium,Creatinine,Urea,Haemoglobin,MCV,Platelets,Neuts,Lymphs,neut/lymph,WCC,Bilirubin,ALT,AST,ALP,GGT,Albumin,Ammonia,Lactate,Ascites,HE grade,Calprotectin/(µg/g),N/L ratio,Calprotectin (µg/g),Height (cm),Weight (kg),BMI,Alcohols units/week,Smoking / day,Hospitalisation in last 12 months,MELDNA,MELDPLUS
Acetobacter sp. 46_36 & CAG:267,0.03842477023894075,-0.31989597899326483,0.04937067382211291,-0.14239095244789346,0.02740373211010767,-0.16949463624375913,-0.21754568852966127,0.1672602616555719,0.038163800797047856,0.08268165818159087,0.057630380706259525,0.07359368836421483,-0.010450090185981224,0.10843149468206728,-0.12155553244616611,-0.16655469472314702,-0.053489737151920895,-0.0250226526189386,-0.09194718065764078,-0.1313589469923705,-0.054637254704003504,-0.045386263286766745,-0.034959480794641784,0.08595580568698369,-0.07659707623412366,0.1839184281987033,-0.16735180824003162,-0.19682059016102246,-0.1717083328393247,-0.1732045253870053,-0.1386060037996755,-0.059117649163011585,-0.0598681778918478,0.002756781567187069,-0.10492787125478684,-0.1525123963236896,-0.011605710054454203,0.18130093096796934,0.35691812709988624,0.05387636075132259,-0.017391547911513483,-0.18267042044123047,-0.12895611553175065,0.0144645946426482,-0.06869094000652588,0.02067949369839955,-0.12188594893962813,0.27146637448266414,-0.25722983429898233,0.057812016481934854,0.007573699215600037,0.0003404921884674207,-0.1117985795522283,0.15930685010039156,-0.046799990349607204,-0.04653700548472252,0.10853952989901437,0.06947643651593366,0.016719142905790168,0.07712409954686023,-0.17392674553869827,-0.13849648098771955,-0.27110424087777046,-0.18067568525633693,-0.107019816106596,0.17366509434091057,-0.09509735392292232,-0.019192397241907758,-0.10008870648173834,0.14044381994094346,-0.11192445276771183,0.03728939166314716,-0.059732213270016564,0.08201875294211132,-0.015747553940459937,-0.003955812045873486,,-0.020807617570214244,,0.0899914184753712,-0.08859138789367826
Acidaminococcus intestini,-0.15724922949760262,0.36059208198284826,0.046205054308495724,-0.039278662405365206,-0.18193601487358083,-0.07357626807573638,0.2202609890490724,-0.10430398337249085,0.12431589914335142,-0.050329374147721956,-0.23850726178742912,-0.19732800314047597,-0.3078814136507039,-0.1582350126972108,0.01686687608064469,0.05430227056411909,-0.04299066212403341,-0.02479815916371081,-0.0012641970459748519,0.026094899289648376,-0.127485242107664,-0.009230348044277761,0.08345135585066328,-0.12976079679041871,-0.17820560208274006,0.03790238419330144,0.09423677085544906,0.09748404984011443,0.10886251992479447,0.19112922982464697,0.11340773063867277,0.09463121044860894,0.10156770187045429,0.014462812358201824,0.025910281815255454,0.13731953292885418,-0.17451071341076235,-0.1296597447493724,0.10066189625090533,-0.23431200495928223,0.07354186608608743,-0.4622888561177539,0.0038459163948776384,0.15269913122760653,-0.08205092497901588,-0.012005391942380539,-0.07316426614313011,0.1382384610232049,-0.36097744362050016,-0.018692678482955184,-0.1418302785446609,-0.07035865245409638,-0.059853360553555876,-0.08131858149233062,-0.2849035857738409,-0.29160687988793,-0.4301085465308883,-0.140229339575936,-0.08661613965319129,-0.3382701025495272,-0.13657391416615583,-0.3133092818963399,-0.2611792722716567,-0.0526393179723925,0.06730447701778247,0.031978569416730634,0.10144426374588578,-0.08356420720497755,-0.07905880830428258,-0.06489445685367956,-0.06877380403499786,-0.12292960702236698,0.12077193461645538,-0.016611635480440444,-0.19392367490928628,-0.2240482215427216,,0.22641715457484943,,-0.01840691540730634,-0.3252778584681721
Acidaminococcus massiliensis,0.015342790641262243,0.26168755498523005,-0.07890712664005213,0.14438393750955542,-0.024833629102977636,0.10451291395697587,-0.0400256700638658,0.04282889854646092,0.06910081777840296,0.032088568351484485,-0.2074290704325759,-0.02350911348695251,-0.10824694906790525,-0.004951973265301306,0.17533565508998827,0.24068316049735358,0.004101899399232163,0.23073927336945935,0.20709810328038733,0.04274727870376735,-0.08349693559890045,0.2340918071893599,0.21287181572089425,-0.012246721201468422,-0.03144793280781122,-0.3468820185206352,0.12195234462921813,0.15531741264923107,0.1179842640013694,0.13050563742893972,0.12245951146676357,0.19167151264158153,0.1165481967265289,0.0945131019551647,0.1629888079698622,0.15751390530355786,-0.14318678261020354,-0.18944189528238328,0.0029098396043773216,-0.018819482116622162,-0.15800051150521538,-0.22996312602161778,-0.03113906277931056,-0.2765481327900421,0.14730595326937515,0.20984448618833082,0.07128348185312008,-0.15371726227905969,-0.17087468846227602,0.0032475699629314204,0.056640308051091,-0.1325500978204383,-0.00037800202397544896,0.33201717641701595,-0.19803198482801895,-0.08242273069185133,-0.050319414107383664,0.22583613262293023,0.004842820947216048,0.061996535904627316,-0.12354086427075252,-0.006297187000063819,-0.18131629004435984,0.007407742129075211,0.08492698832248012,0.006025922560902605,0.31117957754275866,0.015202446307919318,-0.08890701955555456,-0.18109415293139136,-0.09942050267958334,-0.1654654380111284,-0.1327809160940656,-0.07323115083152394,-0.16185294030072458,-0.13455349009949874,,0.20522198114395376,,-0.25817966618369437,-0.14995121493726252
Acidiphilium sp. CAG:727,-0.18356164383561643,0.00822899414084394,-0.06798489379651848,-0.09042703029693434,-0.041105022492937696,-0.008221004498587538,0.07946382372582411,0.013702689291127392,-0.04658914358983314,-0.008220395557843874,0.07398575206112809,-0.13426745528187584,-0.13974672448334582,0.024664840724029306,-0.04658258652636509,0.13974672448334582,0.013704212404486302,0.03562699215693122,-0.09865205398305046,0.13974775957909524,-0.14523774614171317,0.04111263721345891,0.041103195589515605,-0.035624352827212664,0.005500426657326988,0.19364084990422953,-0.19452630963911227,-0.18356164383561643,-0.11781170865467364,-0.13978400242705255,-0.2001245145535813,0.19999999999999998,0.16164862350292428,-0.05753424657534246,0.16712328767123286,-0.002739807178015666,0.11780821917808218,0.07945205479452054,0.16164383561643833,-0.08493150684931505,0.052054794520547946,-0.08493528043690216,-0.10136986301369863,0.08493150684931505,-0.09024015400281765,-0.053699223518749235,0.04391242060041017,0.20008150110550002,-0.11192817116428577,-0.0027537290832580184,0.030345777070757855,-0.18912373742292435,-0.1425037454186015,-0.07400055343282028,-0.15069385847150454,-0.183609234773539,-0.1945277501425882,-0.1890746997117718,-0.058516180656303436,-0.19452630963911227,-0.043864208135955575,-0.12887213411849532,-0.0904860321469588,-0.11508212827204581,-0.12330593336765809,-0.10440921456411918,0.13978400242705255,-0.0585214523051473,-0.0435515028854656,-0.08870978425954552,-0.04870157981866347,0.030320747369523237,0.1490541301246945,-0.11819481151517626,0.19481360184030455,0.1949062681840842,,0.2075530785002821,,0.16445420505733008,-0.06849315068493149
Acinetobacter sp. N54.MGS-139 / Proteobacteria bacterium CAG:139,-0.236841073574522,-0.1724301001120796,-0.17582875445639462,-0.18417504255302225,0.12618436767832084,-0.10581107574812132,-0.12279417196500168,0.22017790642200838,0.033510045612170206,0.16553157173820737,0.1127416534903297,0.12470224124913387,0.004811208290898407,0.21714336154121677,-0.07095501179173866,0.04113366367623954,0.10132170947312177,0.002037480134245795,-0.016862150129463006,0.03731964884098167,-0.06211686667228917,0.09958749108248212,-0.05535220742297233,0.19051195326218484,-0.06020910781386643,0.10042488641031724,-0.2309539735082347,-0.26267040200094743,-0.14314899127372852,-0.1881207340363238,-0.23447336711945058,0.15137893321057738,0.12511993273001942,-0.19879048572485494,0.11263494057093917,0.003597143892134261,0.08325191259591157,0.2411748535118417,0.3060948769728909,-0.13222362588762426,-0.003597037347975357,-0.2536674099147419,-0.20546450682832734,-0.05646915258327579,0.004577670169407265,-0.0942867581943871,0.025353619086492262,0.25063791290719595,-0.1965269461675224,0.054797604264065145,0.025004600433971357,-0.12963666755162598,-0.1578350068793592,0.10743164477211316,-0.17752214247997603,-0.09792547075901481,0.06643930628865707,0.01725151022266483,0.07497573123470366,0.06331840031817056,-0.1793186844422691,-0.11133885491465631,-0.20220858639762093,-0.15477761987070635,-0.0965275753498266,0.027859478383725322,0.0518101583713775,0.03277012338160848,-0.0764690763197034,0.12499209829248621,-0.08551174075065883,-0.005101440171390637,-0.029122979710131454,0.04321913399378874,0.07908042944057588,0.047418718738524164,,0.04907424623079945,,0.05631999436186606,-0.09920022276524809
Actinomyces oris,-0.013383612605519608,0.3283141849376547,-0.046087369074366294,0.12547563686624058,0.0778025208657152,-0.03406766058925299,0.054648495318671796,0.029901597296423305,0.20543118828904652,0.06247145387411675,-0.03307221653954955,0.04762742217299958,-0.10203510492911294,0.11288855043652359,0.009923047568188065,0.13945064851191727,0.16823722842532554,-0.013804437143281749,-0.13033886145441265,0.0720422871913363,0.01753883326336131,0.17049813666093086,0.01864420156834519,0.0785079218379162,0.46328488268029805,-0.17033378259497295,0.1806921362519634,0.17908395645685096,0.154437038302818,0.15087264707488232,0.03220482073719059,0.03813127471680376,0.07871720758745605,-0.0778493490119865,0.044542586144597586,0.09372012070125343,0.05348636558636997,-0.06784770318462813,-0.04191394845920212,-0.16969138521513302,0.11186135613643275,-0.006283364362686191,0.09919901606653994,0.14773264357493918,-0.039340180032756376,0.06483732257254039,0.07498320883719176,-0.10703235796216624,0.3182236916282902,-0.11428576554457129,0.2596817135478606,0.05490481761867318,0.20613053268449105,-0.2487727057561772,0.0034462840471153728,0.21937179614794983,-0.019843743563983683,0.03557307246789164,0.02371264539513493,0.02444384882322755,-0.1560889493978706,-0.002983691060052562,0.2570985267056088,0.4961981252163845,0.4827631083959522,-0.10765030814360739,0.23638692349643056,0.00031954469963804493,-0.12464907746835954,-0.07040839165802393,0.066956178417423,-0.05403826426991117,0.23534705382163124,-0.1528648072599865,-0.24544159181474615,-0.07911186290796199,,-0.1900837376312507,,-0.06519898772511123,0.23787568224972033
Adlercreutzia equolifaciens,-0.12815847867969912,0.07795639405205008,0.09416500064970149,-0.005049516519804956,-0.10328074283231843,0.16872825296212182,-0.0095253041457192,0.03343909006281515,0.05540788720270181,-0.19749873930229492,-0.04786686795587977,-0.03345031248842713,-0.09901219158827851,-0.021936935215100744,-0.2273506238796764,-0.004778580675109966,0.21343489379364142,-0.0028675732307321235,-0.0828507971729603,-0.18159537501157783,-0.19700361635031727,0.14527466121308022,0.297061304661964,-0.05934640355082939,0.09158271337802344,0.19210816960848953,0.00866413290089658,-0.013425822980860737,-0.02417675320507538,0.037601528979670173,-0.023824556810545502,0.10275612084521171,0.0929005279612679,0.06975694502511273,0.02468567689244857,0.07759495495067671,0.011005034021085136,-0.16384918959323283,0.141552449174247,-0.32725244437808587,0.21761618648930145,-0.09590413408890291,0.14873518483779172,0.10546358218180284,-0.2741346779714593,0.0009604855853560593,-0.04296451907362703,0.11158489688591877,0.04559535893917304,0.1799579341055202,-0.026829200150758657,-0.10787576784065107,-0.0017284581954353014,-0.035608603153172824,0.13061885786599345,0.1470054752056477,-0.04074083838332945,-0.10404871264153302,-0.12588156885566926,-0.0896514781234317,-0.03126767005786736,-0.25998479947195374,-0.030045896427980143,-0.15878753143632557,-0.043373583927748136,0.270263541948463,-0.04234155223028537,-0.12768457570489294,-0.014571243079046257,-0.2169472078204568,-0.11890456991163267,0.07353117078900921,0.10947925473988496,0.3320253603174059,0.18323631982065272,-0.021782429418376773,,-0.029125873849342437,,-0.010842465988301339,-0.10731102638794739
Akkermansia muciniphila,-0.17110420851582753,-0.18542678825439818,-0.14115740044906716,-0.12371840111844454,0.04531044159969957,-0.012262413199918692,-0.06596286421382455,0.35763438904437744,0.12028687139462862,0.16082915628683256,0.0740660828029088,0.23483063565154444,0.06570627068812476,0.1629243695451782,-0.07881145235525003,-0.08980773399492643,-0.052743644569482696,-0.05321438397723361,-0.1837437385987817,0.03377895504435484,0.21968782273187668,-0.027233466808469428,-0.05278651781053634,0.20106508459866682,-0.14815769239254517,0.10145264714612504,-0.28698417819888966,-0.26612137903682637,-0.2488112507922302,-0.21684270114655255,-0.23717738356444956,-0.09232333752840732,-0.16432867981541788,-0.1282594361574678,-0.019864727646048738,-0.11866044405094577,-0.04458568483656511,0.00527771361813841,0.16027390036193936,-0.16489189977781046,0.16694434396264204,-0.23534517240951036,-0.11107021610950314,0.2428114772233817,-0.041398328877506274,0.049069746275245116,0.11931458644934498,0.05956346931047943,-0.2847025997571557,0.2717639870309537,0.16353398636337355,0.29404032681568293,0.12574573056986169,0.04390590351090612,-0.18377794295564726,0.029300737779475065,-0.08134943810087625,0.2154624687922777,0.1100359282133036,0.004902188229131736,-0.1803019664541387,-0.087171631473134,-0.17867423334333404,-0.13316809446757213,-0.18964094360112324,0.1981622370028677,-0.18815155917036422,0.08939104317496997,-0.17365070887519446,0.09676151102527801,0.015665787586415455,-0.2771101252727729,-0.19976698389061706,0.10306008850070121,0.11539450342549734,0.13498627607012312,,0.1121336182722387,,-0.11430793719462427,-0.16188653507859277
Akkermansia sp. CAG:344,0.3734281236909828,0.24122680633538135,-0.02326330690311303,-0.2945732530228449,-0.04735063696033381,-0.030772641124778188,-0.25499961889733913,-0.1893533007771535,-0.0996229964988856,-0.23268636136749177,0.010524239511591581,-0.10496588401671741,-0.04970921360855416,-0.22373515220488663,-0.29600084030030727,-0.03764571331831531,-0.017045168024966563,-0.10455879602900191,-0.1518805954349059,-0.21001612880017523,-0.34672477549707237,0.0026791291326370707,-0.0518197524648908,-0.17957386328743075,0.18068688796959478,-0.0361102617983687,0.0006958887058872318,-0.06096226244229665,-0.08567866097029767,-0.054532284500859715,0.0018357034874259418,-0.02553625036929133,-0.039075205212395166,0.21059498962684772,-0.012968450848153734,0.03494204805015585,0.10368434604938519,0.004280643125488143,0.14805120878843472,-0.07083093723406242,0.2795070178736223,0.16688923587614854,0.32543431209683993,-0.060371828907746575,-0.1158946267258052,-0.05554224216278722,-0.18151731368520535,-0.2822789521560366,0.11559295988517149,-0.00680349535787197,-0.0791566362408294,-0.04868986882269886,0.0810164280544768,-0.047843187112593034,0.10392245835103121,0.18976813410342921,-0.024503898916429238,-0.17661318971957496,-0.07605464644948207,-0.09928012203991175,0.17249794329515297,0.05909150387914392,0.12289104687722144,-0.07744031593088004,0.11810419864569507,0.24730003090567443,-0.02272002723691525,-0.09455888573591557,0.1336718455656491,-0.15999685367769562,-0.12080153499919623,0.10300120370487904,0.007605698934299666,0.1338123924922114,0.018035352995894715,-0.09343122538197063,,-0.2799791308176296,,-0.02757243801078266,-0.0054615101945883196
Alistipes finegoldii,0.16568101405126404,0.008183060331992212,0.045804082660369075,-0.35630583745976285,0.15601417494034836,-0.19453682954087692,-0.21598909469172,0.1167444861147758,-0.0745605140833076,0.10827790745259556,0.11752064615304175,0.12823427811940388,-0.17226577155543,0.08898825696051986,-0.2813185629936997,-0.1456127481824834,-0.05309655986828499,-0.07232764911421523,-0.22637856009343152,-0.10068803704487278,-0.11275132744202854,-0.027192447192331,0.08451250909237447,0.12094361734147219,0.0008618261923507541,0.11416632501655713,0.0454181016081905,0.011590287541154857,0.016364253622913248,0.06488100706027569,-0.01558360818972595,0.052113366944303685,0.0911624580105419,0.09126278263887119,0.0002232203526444639,0.060391479529680894,-0.024296676845532033,-0.043493627172955934,0.10675084095312555,-0.08075425526822415,0.3524649368256085,0.03767440104292498,0.06550658810297152,-0.04548543955039883,0.05095942766125121,0.1964683095854298,-0.02282556938265232,-0.07417371255621305,-0.06146148957112353,-0.0963890479869444,0.04851505707330198,-0.025973593791727916,-0.008948370568838555,-0.0930149948980034,-0.01820212241558182,0.15304863606616573,-0.006061515535727372,0.010458873813707793,-0.002029299308601338,-0.03516683254955544,0.09726727922348445,-0.04935474361052161,-0.01861141372413126,0.1719515570308773,0.1023015852014452,0.201924224674359,-0.14109944188326837,-0.03579713050481022,-0.14475559983944356,-0.2384718509330457,0.009739592414593939,-0.03242610550500471,-0.007144693590415857,-0.08155329498837752,-0.1522592712816519,-0.14761756846936983,,-0.04454689507888989,,0.1537618485684891,-0.12089957715151312
