	index
0	K07397
1	K03422
2	K06394
3	K03781
4	K06177
5	K01847
6	K00870
7	K06287
8	K07016
9	K09929
10	K12771
11	K07583
12	K16726
13	K06171
14	K01588
15	K12189
16	K03219
17	K09941
18	K02511
19	K05838
20	K02653
21	K03974
22	K18916
23	K14193
24	K18434
25	K10846
26	K20215
27	K04514
28	K13303
29	K06118
30	K02336
31	K02259
32	K08276
33	K11170
34	K16695
35	K03432
36	K12272
37	K03531
38	K03829
39	K05303
40	K19664
41	K17807
42	K11373
43	K12877
44	K12896
45	K20165
46	K15975
47	K18720
48	K00285
49	K13004
50	K14416
51	K03936
52	K07353
53	K06880
54	K10776
55	K18687
56	K13933
57	K18476
58	K18547
59	K03570
60	K11081
61	K12953
62	K08123
63	K11848
64	K15328
65	K13950
66	K05550
67	K03364
68	K18313
69	K18784
70	K07000
71	K11267
72	K03925
73	K07169
74	K13929
75	K10560
76	K11136
77	K15449
78	K17881
79	K19183
80	K19349
81	K00942
82	K18457
83	K20307
84	K14481
85	K08984
86	K09690
87	K02463
88	K03247
89	K12818
90	K16296
91	K17105
92	K13798
93	K01128
94	K01193
95	K19174
96	K07235
97	K11835
98	K14696
99	K18608
