,name1,name2,Site
0,gut Acinetobacter,gut Acinetobacter,Oral
3,gut Allisonella,gut Allisonella,Oral
8,gut Anaeromassilibacillus,gut Anaeromassilibacillus,Oral
10,gut Azospirillum,gut Azospirillum,Oral
12,gut Bacteroides,gut Bacteroides,Oral
17,gut Barnesiella,gut Barnesiella,Oral
19,gut Bifidobacterium,gut Bifidobacterium,Oral
22,gut Bilophila,gut Bilophila,Oral
24,gut Butyricicoccus,gut Butyricicoccus,Oral
27,gut Butyricimonas,gut Butyricimonas,Oral
29,gut Catenibacterium,gut Catenibacterium,Oral
37,gut Cloacibacillus,gut Cloacibacillus,Oral
43,gut Clostridium,gut Clostridium,Oral
44,gut Collinsella,gut Collinsella,Oral
46,gut Coprobacter,gut Coprobacter,Oral
49,gut Cryptobacterium,gut Cryptobacterium,Oral
56,gut Dakarella,gut Dakarella,Oral
59,gut Desulfovibrio,gut Desulfovibrio,Oral
60,gut Dorea,gut Dorea,Oral
61,gut Drancourtella,gut Drancourtella,Oral
62,gut Duodenibacillus,gut Duodenibacillus,Oral
63,gut Enterococcus,gut Enterococcus,Oral
64,gut Escherichia,gut Escherichia,Oral
71,gut Eubacterium,gut Eubacterium,Oral
76,gut Faecalicoccus,gut Faecalicoccus,Oral
80,gut Faecalitalea,gut Faecalitalea,Oral
82,gut Flavonifractor,gut Flavonifractor,Oral
83,gut Fusicatenibacter,gut Fusicatenibacter,Oral
86,gut Fusobacterium,gut Fusobacterium,Oral
88,gut Gemella,gut Gemella,Oral
89,gut Gemmiger,gut Gemmiger,Oral
90,gut Gordonibacter,gut Gordonibacter,Oral
92,gut Holdemanella,gut Holdemanella,Oral
93,gut Klebsiella,gut Klebsiella,Oral
94,gut Lachnospira,gut Lachnospira,Oral
97,gut Libanicoccus,gut Libanicoccus,Oral
101,gut Marvinbryantia,gut Marvinbryantia,Oral
102,gut Mediterranea,gut Mediterranea,Oral
104,gut Megamonas,gut Megamonas,Oral
109,gut Megasphaera,gut Megasphaera,Oral
111,gut Merdimonas,gut Merdimonas,Oral
113,gut Methanosphaera,gut Methanosphaera,Oral
116,gut Mitsuokella,gut Mitsuokella,Oral
118,gut Negativibacillus,gut Negativibacillus,Oral
119,gut Odoribacter,gut Odoribacter,Oral
121,gut Olsenella,gut Olsenella,Oral
127,gut Paraprevotella,gut Paraprevotella,Oral
136,gut Parasutterella,gut Parasutterella,Oral
143,gut Phascolarctobacterium,gut Phascolarctobacterium,Oral
144,gut Prevotella,gut Prevotella,Oral
145,gut Prevotellamassilia,gut Prevotellamassilia,Oral
147,gut Proteus,gut Proteus,Oral
149,gut Raoultella,gut Raoultella,Oral
150,gut Romboutsia,gut Romboutsia,Oral
152,gut Roseburia,gut Roseburia,Oral
154,gut Ruminiclostridium,gut Ruminiclostridium,Oral
155,gut Ruminococcus,gut Ruminococcus,Oral
158,gut Sellimonas,gut Sellimonas,Oral
159,gut Senegalimassilia,gut Senegalimassilia,Oral
164,gut Slackia,gut Slackia,Oral
165,gut Streptococcus,gut Streptococcus,Oral
166,gut Subdoligranulum,gut Subdoligranulum,Oral
167,gut Succinatimonas,gut Succinatimonas,Oral
170,gut Turicibacter,gut Turicibacter,Oral
171,gut unclassified Actinobacteria,gut unclassified Actinobacteria,Oral
172,gut unclassified Bacteria,gut unclassified Bacteria,Oral
180,gut unclassified Bacteroidales,gut unclassified Bacteroidales,Oral
181,gut unclassified Burkholderiales,gut unclassified Burkholderiales,Oral
182,gut unclassified Christensenellaceae,gut unclassified Christensenellaceae,Oral
183,gut unclassified Clostridia,gut unclassified Clostridia,Oral
184,gut unclassified Clostridiales,gut unclassified Clostridiales,Oral
