"","FMT102","FMT103","FMT104","FMT105","FMT106","FMT107","FMT108","FMT109","FMT110","FMT111","FMT112","FMT113","FMT114","FMT115","FMT116","FMT117","FMT118","FMT119","FMT120","FMT121","FMT122","FMT123","FMT124","FMT125","FMT126","FMT127","FMT128","FMT129","FMT130","FMT131","FMT132","FMT133","FMT134","FMT135","FMT136","FMT137","FMT138","FMT139","FMT141","FMT142","FMT143","FMT144","FMT145","FMT146","FMT147","FMT148","FMT149","FMT150","FMT151","FMT152","FMT153","FMT154","FMT155","FMT156","FMT157","FMT158","FMT159","FMT161","FMT163","FMT164","FMT165","FMT166","FMT167","FMT168","FMT169","FMT170","FMT171","FMT172","FMT173","FMT174","FMT175","FMT177","FMT178","FMT180","FMT181","FMT182","FMT183","FMT184","FMT185","FMT186","FMT188","FMT189","FMT190","FMT191","FMT192","FMT193","FMT194","FMT195","FMT196","FMT201"
"msp_0003",0,0,0,0,2.25346111178505e-07,0,0,7.30168941167273e-08,0,0,9.73941717269204e-08,1.48538297630315e-06,2.29116787099502e-07,3.36996472358708e-07,1.45384389852653e-07,7.46209222574195e-07,1.05908592132603e-07,0,0,0,0,1.65972556394108e-06,2.52269722207825e-07,0,0,0,1.8346214334557e-06,1.52004561139356e-07,2.20749898164912e-07,3.82186353420243e-07,0,3.56648167106166e-08,1.36077006376738e-08,1.32054160026954e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.24486206313121e-08,0,9.73939718159021e-08,0,0,8.36756375531716e-08,0,0,0,0,0,0,0,0,0,0,0,0,3.36963325999851e-08,3.6241353129021e-08,3.89881603988271e-07,4.88674306298665e-07,8.92410606783172e-08,0,8.06481304897372e-07,0,1.62182359874716e-06,5.47121668615078e-08,2.87831888926888e-08,0,6.92042451128608e-07,0,2.62169100072833e-06,0,3.23324863810413e-08,0,0
"msp_0005",2.21939394092073e-07,3.78881193092723e-07,1.8500223994268e-05,3.15026891452095e-06,2.77312745879185e-06,4.65152413351104e-05,6.25893302504051e-08,3.60337101674011e-07,0,0,0,1.50856608004419e-06,1.60890545978867e-06,8.29465161830166e-08,1.79078397097266e-07,2.92966271291163e-06,3.89831322284857e-05,7.66644389563473e-06,2.87475003962458e-06,2.20137592535578e-07,5.739559993803e-06,3.45862458774407e-05,3.9755814380062e-05,0,0,0,0,0,0,3.27587561215031e-08,0,1.88859508698452e-06,7.79234614581091e-08,0,5.02195849495772e-06,9.11549226761233e-08,5.79822593126143e-08,2.04222750029115e-07,7.38820794688539e-08,7.4602779185259e-08,0,0,0,0,0,0,1.30689142004015e-08,3.95414915622553e-07,8.73991810130504e-08,5.0511770023234e-07,5.44556598476693e-06,7.05728827854547e-07,3.09386592565323e-06,1.009299527461e-07,3.60413476194218e-07,1.51136308566033e-07,1.8067468585941e-07,9.61833407990658e-05,3.99480668447981e-05,4.84736698604124e-05,3.93896523825789e-05,8.50849003473575e-05,8.59953394463397e-05,3.39112657866419e-07,2.35659552374014e-07,1.14439470894343e-07,3.59036254754358e-07,3.83339968939174e-05,2.82583235214339e-05,4.10780952341111e-05,5.13978972053148e-05,7.47171338297829e-06,6.94654205055358e-06,4.19321351379078e-07,9.87970434499084e-08,7.00234119036311e-08,5.70592178251826e-08,2.78782429813274e-08,4.59765449468387e-07,3.67410896726029e-08,4.61846885627847e-07,5.86563127624949e-07,6.68920407627596e-08,6.39702119300363e-08,3.02943194724417e-07,7.77134030824081e-08,0,9.56395219926189e-07,4.86182256243425e-07,7.78959922681449e-08
"msp_0006",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.45428863378086e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"msp_0007",0,0,0,0,3.79059265154652e-07,0,0,1.72556992926198e-06,1.59120560103328e-06,3.22948643999828e-06,2.36304467551403e-06,3.79445925068706e-06,1.88609660187685e-06,9.41937473137857e-08,6.69702755735498e-08,7.39664389748079e-07,8.82774262265731e-07,0,0,0,0,1.73784899977745e-06,1.80811974396487e-07,0,5.37666595174122e-08,0,2.601062841268e-06,0,0,4.6314253171432e-08,1.34308058188295e-06,1.28615939796765e-06,1.32715166745513e-07,6.93234256389287e-07,0,0,0,2.67355693910299e-07,6.34776933053254e-08,0,0,0,3.26966492172679e-07,3.60915356263757e-07,3.6681833357936e-07,2.93814689195112e-05,7.47434104353586e-07,2.96923361215786e-07,1.43338231004357e-07,9.01180334549469e-07,2.09877983876551e-07,5.27351972314026e-07,0,7.86407070487999e-08,2.28631441953436e-07,1.68877831912826e-07,5.53822273760294e-08,0,5.40728686130811e-07,0,2.03297003267451e-08,1.37470783957857e-07,1.75249415114226e-07,9.06815133048589e-06,1.2712223460892e-05,3.08495544318912e-06,3.36656552964109e-06,2.19250235905138e-08,0,7.13910027878933e-08,5.58587944761141e-08,1.49107544312858e-07,0,8.44179025649723e-07,4.97649865509768e-07,6.41009437063822e-07,4.6989503542725e-07,1.51543858428989e-06,2.25327535195768e-07,1.98636311346442e-06,0,0,0,1.59126935130615e-06,3.53926692055587e-07,3.75923243567733e-06,5.51007211476679e-07,0,0,7.1981275357524e-08
"msp_0009",0,0,0,3.21939110505605e-06,0,0,0,0,0,0,0,0,0,0,0,3.54234693472353e-07,0,4.46871796648321e-07,2.91886209448022e-07,1.44613756751228e-07,9.84546540371529e-07,1.86197134213029e-07,1.8076458478713e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16904975651324e-07,0,0,0,0,0,0,0,6.37528100244093e-07,0,0,8.6088031992117e-06,0,0,0,0,0,0,3.35214868507347e-06,0,0,1.31663027585206e-07,1.74991242551145e-07,8.44281480768404e-08,0,0,0,0,0,0,3.39376854783929e-08,7.23231646782328e-08,0,0,0,0,0,0,0,0,3.43346185913778e-08,0,0,0,0,0,0,3.23811627019669e-08,0
"msp_0010",0,0,0,0,2.64309887179451e-07,0,0,4.46011185851729e-08,0,6.30708392753922e-08,1.50439043844841e-07,1.52060568913765e-06,8.99881037125048e-08,0,0,6.07569861985514e-06,1.81374298377251e-06,0,0,0,3.08019924479093e-08,3.70325653001104e-05,5.51841348048481e-08,0,0,3.62392040786891e-08,0,0,0,0,0,1.13369688459639e-07,0,5.82063563461595e-07,0,0,0,1.06921010006492e-07,1.1680971846425e-06,1.19094738799637e-07,0,0,0,0,0,0,0,0,0,0,2.90729177088165e-07,1.09583963485532e-07,0,0,0,0,0,0,2.55162643327394e-08,0,4.47226694137401e-08,0,0,0,0,0,1.10501515902655e-06,0,1.34938489035458e-06,1.767519017903e-07,8.36986479530091e-08,1.8631739093192e-06,1.37086568684606e-07,1.02776494393276e-06,5.13160770281334e-07,5.19744525139511e-08,4.50550649422261e-07,0,0,0,0,4.51502454684054e-08,0,1.36822222893262e-07,8.86701144213898e-08,0,0,2.87430981378318e-08,2.31260441080549e-08,0
"msp_0011",0,0,0,0,2.57892562788771e-07,0,2.88571519362022e-05,5.89922673616537e-08,6.04640310606194e-07,5.80938295849059e-08,2.60944329462352e-07,0,0,0,5.39347593230346e-08,3.73755371077171e-07,0,3.75071483455529e-06,8.60494860792057e-06,6.87735941920499e-06,1.43469733582675e-05,4.05429720017048e-06,4.18243779652433e-08,0,0,0,4.81117745345938e-07,1.35831893286735e-07,0,1.23474497998425e-07,2.78654192908812e-07,1.53185591942195e-06,7.71430680359979e-08,1.76853685710857e-07,2.42510773396455e-06,0,0,1.29451992046863e-07,8.061142807067e-06,3.84381215263333e-08,9.49913376797657e-08,2.17603613590497e-05,6.01439891011332e-07,8.58675168644592e-08,0,0,1.12318606554485e-07,3.93875916678516e-07,4.39592616326147e-08,2.61676724128295e-06,6.52969786959069e-07,2.45026683080968e-07,0,2.38096692397609e-07,3.47580244018721e-07,4.74278244833726e-07,1.10290043884649e-06,9.02721476302187e-08,3.86443539393886e-07,0,5.43600610741314e-07,4.0231714575631e-07,3.01962857948924e-07,6.00794435116106e-06,7.93406545175395e-06,3.56092012319801e-06,2.82119037324761e-06,0,0,0,5.65769120393526e-08,3.8013043228687e-07,7.95002546491828e-08,1.66912067428668e-06,1.17615685473578e-06,3.37918513973356e-07,1.55986198760453e-07,4.16078952266612e-08,6.30317582070054e-07,6.27792074632758e-08,6.19082108765383e-07,2.60877632129477e-07,8.5609624446869e-07,3.42543903196377e-08,7.77619701116899e-07,9.1816312568859e-08,1.00710107947015e-07,5.23641965601164e-07,2.86388234801097e-07,9.2309484990963e-07
"msp_0012",4.71493099106663e-08,0,0,0,1.00475169687477e-07,0,0,1.26645830372957e-07,7.69897963025106e-07,9.61786333977838e-07,4.70415382090268e-07,5.63935079730825e-07,6.63424811161107e-07,1.26307821568131e-07,2.813643695364e-07,8.9988113275508e-07,2.24272116586102e-07,0,0,0,0,2.17459836097599e-06,1.49976720614461e-07,0,4.28645936548314e-08,7.47500443700033e-08,9.81659443480606e-07,3.75049913478966e-07,3.55354201857396e-08,1.96190449254094e-07,0,1.15410736819891e-06,1.05072493341426e-07,1.16655896104073e-07,0,0,0,0,1.0245644681526e-06,0,6.30573214678739e-08,0,0,0,0,0,0,0,0,2.78445513845205e-06,8.00191559539981e-07,6.11132793685768e-07,0,1.56688708670601e-07,1.65732099719273e-07,6.29743500002472e-08,4.39889760988366e-07,1.26707134051546e-07,1.1223819792993e-06,0,1.37438056831441e-07,8.13147752294277e-08,1.83981307740686e-07,3.11605081666656e-06,1.05794605179227e-06,2.78784815153849e-06,1.80631877766176e-06,1.77904604289188e-07,2.59517027361083e-07,1.66229383818642e-07,3.77158639775554e-07,1.39712465076359e-06,3.06630689721077e-07,3.38400093242545e-06,2.74531956188972e-06,5.89009852545689e-07,7.0356782782953e-08,1.49052557779604e-07,4.11837980565638e-07,8.13285495804859e-07,6.26268413675124e-07,3.40887281541293e-07,3.19857195628691e-07,1.73853441481667e-07,5.71830142828685e-07,1.43583793966962e-06,0,7.72289818569993e-07,5.82682816523984e-07,3.80876560740272e-07
"msp_0013",0,0,0,6.6554729346975e-06,0,0,0,0,0,7.34266199740035e-07,0,1.74567962840768e-06,6.30755486331466e-07,5.82475592455636e-08,7.41646867024609e-07,0,0,0,0,0,0,0,0,0,0,0,0,5.1057895586198e-06,2.22396062582956e-06,1.25377074286201e-06,0,0,0,0,3.07001059995996e-07,0,0,0,2.9479520882339e-06,1.10472153400454e-05,1.22515128246173e-05,9.20620117170849e-06,8.30864304599752e-06,8.66202313065582e-06,1.82474326453243e-06,0,2.03408051476372e-05,3.88684297592877e-06,4.02917099411148e-06,5.23773002747482e-06,0,0,0,4.26266339774141e-06,5.97473984947386e-06,1.36617334125604e-05,5.5944843462244e-06,0,0,0,4.99786950240596e-08,1.35101622410924e-08,3.00907920516267e-06,2.5404253527687e-06,1.07643579835233e-05,3.44227842665671e-06,1.01145779432113e-05,2.43279299929076e-06,0,0,3.80811753974922e-08,0,0,0,0,1.14188838363571e-08,0,6.67863450639549e-07,2.15476398913459e-07,1.04195460815274e-06,0,0,1.65374294753244e-06,8.13492755145634e-07,1.95146382458978e-07,2.33136537244713e-06,2.02508021654113e-06,0,0,1.42477458197973e-06
"msp_0014",0,0,0,0,0,0,0,2.13472307960267e-08,0,0,0,0,1.26485641976279e-07,0,4.14598964532913e-08,5.82360255386137e-08,0,0,0,0,0,1.75247696745825e-06,7.74057869123771e-08,0,0,0,0,0,4.23625901293127e-08,6.63217685778349e-08,0,0,0,0,0,0,0,0,0,1.43645280402177e-07,0,0,2.50337235706187e-08,0,0,0,0,5.65814733224336e-08,0,1.5151648586048e-07,3.28092865436694e-08,0,0,0,5.2105185633017e-08,0,0,0,0,6.3933336360629e-06,0,0,0,2.03171231027683e-06,5.22232448694128e-07,5.3539491972759e-07,0,0,4.03442241487629e-08,0,3.40810504391571e-08,1.39982642297178e-07,9.35451693044533e-08,0,0,0,0,0,0,0,5.54415193293866e-08,4.47791251834569e-08,0,0,0,0,0,3.7023278191586e-08,0,0
"msp_0015",1.88622105235302e-06,4.04614371154501e-07,5.05110844254993e-08,0,1.13502450651151e-06,0,0,5.55486479460365e-06,2.99307452985589e-06,1.20263249347991e-06,2.27101966824198e-06,0,1.14751225364403e-06,0,0,8.83313670227726e-08,3.63778352334742e-08,3.27637793430308e-07,7.38256309692664e-08,9.26284608107806e-07,2.63972322040521e-06,0,0,7.045541245125e-06,2.84914880226381e-05,1.05775364340326e-05,4.36259889776492e-07,9.32905772484679e-07,2.76528475159844e-07,7.32291890943275e-07,3.13762933867925e-07,0,0,5.23231846096046e-06,0,1.09973068357838e-07,1.03076605792692e-07,2.9205489085392e-06,3.75671079571276e-06,1.92942785422429e-05,1.5184605894249e-05,3.14346586179491e-08,4.43934213913901e-06,1.12646997360319e-05,5.50611595543189e-06,0,1.75986064012434e-06,2.34796161620227e-06,6.53431651773865e-07,0,4.57189042436617e-08,9.27541723750325e-07,0,9.11362160052546e-06,4.71107302038514e-06,1.28363678257058e-06,4.24670119917212e-07,4.60314626449648e-08,7.74531904552113e-06,1.06995790342213e-05,0,0,0,3.43271036404134e-07,1.33985076834303e-06,1.67991967315449e-07,2.15439956643677e-06,4.04375117573812e-07,2.21626420502037e-07,3.55092739567285e-06,0,0,0,5.68444285228708e-07,8.72447468597984e-07,7.93414954554434e-07,3.45465396082626e-06,7.08366300690097e-06,6.6840759198553e-06,2.60013860374357e-05,9.964043771432e-06,4.92241684139372e-06,3.49310964256982e-08,7.7356778318961e-06,5.09680869623683e-06,2.78852678520318e-05,4.04634280865873e-06,8.65409929831296e-06,5.52766005325588e-06,0
"msp_0016",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.90375282851847e-08,6.03645922037916e-08,1.662705174168e-07,6.74046449902235e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"msp_0017",0,0,0,0,0,0,2.1470862777286e-05,1.36184840049454e-05,2.90061416651553e-06,0,3.83473780250451e-06,0,0,0,0,2.83308552412407e-07,0,2.13258771464031e-07,0,0,0,0,0,9.32009765625876e-07,3.24390847048534e-07,7.58894520156546e-07,0,0,0,2.74984381504622e-07,0,0,0,9.29591856956414e-07,0,0,0,0,4.13190033267928e-07,1.27034655651505e-06,3.03200605210282e-06,0,2.83923863725094e-06,1.30878801861817e-05,1.67524992385864e-05,0,4.39904498113987e-06,7.70996961255455e-07,7.86150913023963e-06,0,0,0,0,4.40788554433871e-06,3.7002108780943e-06,1.55385699352756e-06,7.00664767841726e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,6.32837599685572e-08,0,0,6.24955371848433e-07,1.34753698865687e-06,1.63571158696164e-06,5.11660118911403e-07,1.50231846918655e-06,0,5.4659824950256e-07,1.45834310666441e-07,1.19154214935933e-07,0,1.40147049295011e-06,0,7.76892066817451e-07,9.43151854325807e-07,7.52480647688095e-08,6.53232230663272e-08,0
"msp_0018",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.06341215973546e-08,1.04719659453118e-08,0,0,0,2.24323564872343e-07,0,1.61959402203293e-06,0,0,0,0,0,0,0,0,0,1.5050440443139e-06,0,0,0,4.14851018080413e-07,2.94597368844047e-07,2.40222844358256e-07,5.39688743051504e-08,0,5.03536738669272e-08,0,0,4.50844460484998e-08,1.09502140698381e-08,0,0,0,0,0,0,0,3.3184458962345e-08,0,0,0,0,0,0,0,0,0
"msp_0019",0,0,0,0,0,0,0,0,0,0,0,4.06682746232686e-06,3.53311420894018e-07,6.75303440391771e-08,1.34748683392871e-07,0,7.11884379991985e-07,0,0,0,0,5.27977451790147e-07,1.57177683421818e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.81906255342588e-06,1.06982218671531e-06,1.52310645993943e-06,4.6654186322422e-06,2.46664684907952e-06,3.05193788582416e-06,2.26083905724023e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.46144266847574e-07,0,0,0,0,0,1.37840744938071e-06,3.56436774043623e-07,0,0,0
"msp_0020",0,0,0,0,0,0,1.03725497874439e-06,0,0,0,0,6.42251964558919e-08,0,0,0,1.62991445616142e-07,0,0,3.98771229462031e-07,0,0,5.67172538020642e-08,1.54470565728984e-07,0,0,0,0,0,0,0,0,0,0,0,3.51099310842441e-07,0,0,0,0,0,0,1.43766474661981e-06,0,0,0,1.65082174665472e-06,0,0,0,0,0,0,7.85979594151479e-08,0,0,0,0,0,0,1.3673333592015e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"msp_0021",0,0,0,0,0,0,0,1.36662967658304e-07,0,3.34882694461032e-07,9.2918825413408e-08,1.8814806590323e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.59166355185864e-07,0,0,3.72716009034439e-07,4.83518767536155e-07,0,0,0,0,0,2.41934679625907e-07,1.7989593931325e-06,0,1.81821038021914e-08,0,1.75782068079111e-06,1.0291199866494e-06,5.99916765790294e-07,0,1.94020917071215e-06,1.32884497863177e-06,1.43518955467799e-06,1.80352843979644e-06,4.82020225305976e-07,9.29500496610713e-08,0,1.11607913105499e-07,4.12261095615915e-07,5.25738237389367e-07,1.45056879736502e-07,0,1.12988559433971e-07,0,5.12102967019887e-07,3.41629132983434e-07,1.80821762622033e-07,0,0,0,0,0,0,0,0,0,0,5.76167536703644e-08,1.61694551867787e-07,1.64432881999716e-07,0,1.64025324606643e-07,2.69169857564882e-07,0,2.39932424348021e-07,2.15060492074368e-07,4.19074985366891e-07,2.04551619531402e-07,4.36858364455807e-07,0,2.27098611946271e-06,1.96124683954424e-07,1.63118779061604e-07,3.25116873223744e-07
"msp_0022",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.62295535442947e-08,4.45397634920432e-08,0,0,0,3.2941426471121e-06,0,2.41300818566963e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.52815489938875e-06,4.97403141524916e-07,1.29235981132376e-07,0,0,0,0,0,1.15656147245376e-07,1.61147133546794e-06,0,2.98973815308511e-07,1.16402564641497e-07,4.71834349306115e-08,0,0,0,0,0,0,4.32398411759886e-08,2.19852721874353e-08,2.24824622650034e-07,0,5.07751384739377e-07,5.8293447800463e-06,3.0794511609982e-07,0,0,0,0,2.27514395235925e-07,2.31627429963508e-07,0,0,0,0,0,2.57607148642107e-07,3.48330717794075e-07,0
"msp_0023",0,0,0,0,1.19309085577891e-07,0,0,4.0228789556572e-07,0,1.39306001211021e-06,8.59269794221789e-07,0,4.91031861197762e-07,1.93891858849021e-07,2.47290786258687e-07,2.32432797581884e-06,9.11444283149143e-07,0,0,0,0,1.60190738174958e-06,1.47437514688274e-07,5.57774301521786e-08,3.49736379194123e-07,5.08771639301922e-08,8.88110186693809e-07,7.53571684727196e-08,6.09980011770705e-08,3.4742541334184e-08,3.47832244177638e-07,3.76492421962627e-06,3.73002400358363e-07,0,0,0,0,0,0,0,0,0,5.70585197474042e-07,1.55690490537296e-07,4.06270991037097e-07,0,8.14631505800199e-08,3.76874418161758e-07,5.98579872514397e-07,3.04393142255974e-06,5.6318137228166e-07,6.14035222963505e-07,0,5.78524867405046e-07,7.6653247790135e-07,8.86954536430451e-07,5.96649764543278e-07,5.16978448261461e-07,3.31862929189127e-06,0,8.28426472085868e-07,3.57903196259581e-07,4.15838203413641e-07,0,0,0,0,1.87450673642521e-07,1.20825226927808e-07,3.35809136490952e-07,3.23367801595367e-07,5.43586679417708e-07,3.29013261049739e-07,0,0,0,0,1.83887047766945e-07,0,2.78780500837072e-07,4.39332597209933e-07,6.06900186833157e-07,0,2.26909965384623e-07,0,7.47192910966717e-07,6.67377928523561e-07,7.09488162305442e-07,6.83740687716195e-07,0
"msp_0024",0,0,0,0,0,0,0,0,0,0,0,0,0,4.56993859761322e-07,0,1.2765749369198e-07,0,0,6.13232317634463e-08,1.14556272544571e-07,3.77244882820633e-07,0,1.21582015249399e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64625310011375e-06,0,0,0,0,0,0,0,6.17515013938495e-07,0,0,2.35947472823518e-06,0,0,0,0,0,0,1.29483118306977e-06,0,0,2.81099924864574e-07,1.83885686809662e-07,2.96231579495382e-07,9.95133179869843e-08,4.73503604902234e-08,0,1.0600252371081e-06,8.19849488095156e-09,0,7.99849628705741e-08,1.0898264250727e-07,0,9.13487506416092e-08,0,0,0,0,0,0,9.24365699028922e-08,0,0,0,0,0,0,5.24211594712991e-08,0
"msp_0025",0,0,0,0,3.16935327520411e-05,0,0,1.43831900181105e-05,8.75393866112632e-06,2.92044827991987e-06,5.13837624768841e-06,0,1.62946385383072e-08,0,0,0,0,0,0,7.15652325203369e-06,0,0,0,0,0,1.78999963881471e-08,8.01711803227509e-07,1.57680947684671e-06,4.59640222853105e-05,5.79257119783658e-06,6.50068259914463e-06,0,0,0,0,0,0,0,0,0,0,2.22890203059092e-06,7.57965130189643e-06,6.2379335006456e-08,0,0,9.11109999824843e-06,6.00888939055546e-06,3.47287668461861e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.20048093922728e-05,2.51055825581001e-07,2.73427351958212e-07,0,0,0,0,0,0,0,0,0,4.88934655338234e-06,0,1.34000520167125e-07,0,0,1.85015017838716e-07,4.58399195526868e-06,0,1.55810750750941e-07,1.42712964565328e-06,0,0,5.10000403075392e-07
