,name1,name2,Site
0,gut Acinetobacter,Acinetobacter,Gut
3,gut Allisonella,Allisonella,Gut
8,gut Anaeromassilibacillus,Anaeromassilibacillus,Gut
10,gut Azospirillum,Azospirillum,Gut
12,gut Bacteroides,Bacteroides,Gut
17,gut Barnesiella,Barnesiella,Gut
19,gut Bifidobacterium,Bifidobacterium,Gut
22,gut Bilophila,Bilophila,Gut
24,gut Butyricicoccus,Butyricicoccus,Gut
27,gut Butyricimonas,Butyricimonas,Gut
29,gut Catenibacterium,Catenibacterium,Gut
37,gut Cloacibacillus,Cloacibacillus,Gut
43,gut Clostridium,Clostridium,Gut
44,gut Collinsella,Collinsella,Gut
46,gut Coprobacter,Coprobacter,Gut
49,gut Cryptobacterium,Cryptobacterium,Gut
56,gut Dakarella,Dakarella,Gut
59,gut Desulfovibrio,Desulfovibrio,Gut
60,gut Dorea,Dorea,Gut
61,gut Drancourtella,Drancourtella,Gut
62,gut Duodenibacillus,Duodenibacillus,Gut
63,gut Enterococcus,Enterococcus,Gut
64,gut Escherichia,Escherichia,Gut
71,gut Eubacterium,Eubacterium,Gut
76,gut Faecalicoccus,Faecalicoccus,Gut
80,gut Faecalitalea,Faecalitalea,Gut
82,gut Flavonifractor,Flavonifractor,Gut
83,gut Fusicatenibacter,Fusicatenibacter,Gut
86,gut Fusobacterium,Fusobacterium,Gut
88,gut Gemella,Gemella,Gut
89,gut Gemmiger,Gemmiger,Gut
90,gut Gordonibacter,Gordonibacter,Gut
92,gut Holdemanella,Holdemanella,Gut
93,gut Klebsiella,Klebsiella,Gut
94,gut Lachnospira,Lachnospira,Gut
97,gut Libanicoccus,Libanicoccus,Gut
101,gut Marvinbryantia,Marvinbryantia,Gut
102,gut Mediterranea,Mediterranea,Gut
104,gut Megamonas,Megamonas,Gut
109,gut Megasphaera,Megasphaera,Gut
111,gut Merdimonas,Merdimonas,Gut
113,gut Methanosphaera,Methanosphaera,Gut
116,gut Mitsuokella,Mitsuokella,Gut
118,gut Negativibacillus,Negativibacillus,Gut
119,gut Odoribacter,Odoribacter,Gut
121,gut Olsenella,Olsenella,Gut
127,gut Paraprevotella,Paraprevotella,Gut
136,gut Parasutterella,Parasutterella,Gut
143,gut Phascolarctobacterium,Phascolarctobacterium,Gut
144,gut Prevotella,Prevotella,Gut
145,gut Prevotellamassilia,Prevotellamassilia,Gut
147,gut Proteus,Proteus,Gut
149,gut Raoultella,Raoultella,Gut
