	Healthy	Healthy	Healthy	Healthy	Healthy	Healthy	Healthy	Disease	Disease	Disease	Disease	Disease	Disease	Disease	Disease	Disease	Disease	Disease	Disease	Disease	Disease	Disease	Disease	Disease
k_Archaea	1.28903458474865e-06	1.2274772652941564e-06	1.4898011949549e-06	0.0	2.57233867692014e-07	1.242286990837799e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.13045892997151e-06	0.0
k_Bacteria	0.00037011383866379237	0.0003631247551505742	0.0003880978153914171	0.0003643103959490076	0.00035382512118004646	0.0003817131788088536	0.00031324101781498524	0.0004226804980847235	0.0003509922927477886	0.0003822133729554729	0.0004417443473466984	0.0004897562249388645	0.0003497410110204232	0.0003542056898452062	0.00044702973932242575	0.0004918240553023436	0.0003471860554016524	0.0003557483969906238	0.00038215578442093914	0.000383151988890893	0.0003666765529104471	0.00039762535279434433	0.0003900796333556355	0.000351816243781171
k_Eukaryota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.45428863378086e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k_Archaea|p_Euryarchaeota	1.28903458474865e-06	1.2274772652941564e-06	1.4898011949549e-06	0.0	2.57233867692014e-07	1.242286990837799e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.13045892997151e-06	0.0
k_Bacteria|p_Actinobacteria	4.706512210905675e-05	2.0687880120524624e-05	0.00012009631292755835	3.4648674572942445e-05	4.407903557616699e-05	2.4282096352924956e-05	2.3485051926281827e-05	0.00013399208811212902	1.8596831322232745e-05	0.0002657974335290794	0.00030651063665848035	0.0004169853464151899	2.6016521039983277e-05	3.3154578450804896e-05	0.0002636841213988848	0.00029876588848263316	5.487399987419948e-06	0.00012516156808979812	0.00018899435520541646	3.565253892503835e-05	0.00011178531118914901	0.00015731695531097262	0.00019241692296986703	6.242978439724642e-05
k_Bacteria|p_Bacteroidetes	4.7778755318101666e-05	5.437419744181362e-05	3.8415407479596374e-05	6.923560361048364e-05	4.0208966575001406e-05	6.816629181262067e-05	5.05927274722586e-05	0.0	3.294617177896035e-05	5.803809129936088e-05	4.2076897423210954e-05	6.87735941920499e-06	0.00014549295464067228	4.509305786773811e-05	3.2743835540854015e-05	8.512133475629616e-06	5.83631816619823e-05	5.536273930248459e-05	8.090252203482053e-05	3.8489976782318885e-05	1.97845988879642e-07	9.120880679746386e-05	1.3191185730665895e-05	7.259504494500177e-05
k_Bacteria|p_Firmicutes	0.00026841036083875857	0.00028616972599290145	0.00022769597990416409	0.00024568591554705244	0.0002635850378074176	0.00028543290952123764	0.00023496530388630925	0.00027677653225105243	0.0002787187195347235	5.1294564080628006e-05	8.8001810426892e-05	5.4341125816244705e-05	0.00017286558761585337	0.0002699663700913383	0.00013871309029863022	0.00017880306917987445	0.0002808753017609968	0.00017360136813524932	0.00011115156170726304	0.00029628611514559986	0.00020479474550300704	0.0001463300757827119	0.00014539790456240297	0.0002042769754398875
k_Bacteria|p_Fusobacteria	0.0	0.0	0.0	3.71754932273157e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.83026540619105e-07
k_Bacteria|p_Proteobacteria	1.9702538444930438e-06	1.8929515953345287e-06	1.152633966571036e-06	1.931018877404741e-06	1.0037649257879996e-06	3.6468661042316576e-06	2.7708048844822795e-06	1.1911877721542093e-05	6.347380093761504e-06	1.7974638381525939e-06	5.155002838115078e-06	4.395870036191194e-06	5.365947723914326e-06	5.189971632097422e-06	5.3880094849121215e-06	5.7429641642064625e-06	2.31269960662378e-07	1.6227214630917821e-06	1.1073454734391439e-06	1.2663952990570911e-05	4.9898650229411434e-05	2.0540427002411393e-06	3.878009480245007e-05	1.2231412458416185e-05
k_Bacteria|p_Synergistetes	0.0	0.0	0.0	0.0	6.09113679542846e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.15472202954803e-07	2.00979382913043e-08	0.0
k_Bacteria|p_Verrucomicrobia	4.88934655338234e-06	0.0	1.34000520167125e-07	1.2772007847897e-05	4.88740492771815e-06	1.85015017838716e-07	1.42712964565328e-06	0.0	1.43831900181105e-05	5.28582020825198e-06	0.0	7.15652325203369e-06	0.0	8.01711803227509e-07	6.50068259914463e-06	0.0	2.22890203059092e-06	0.0	0.0	5.94050473649527e-08	0.0	0.0	2.73427351958212e-07	0.0
k_Archaea|p_Euryarchaeota|c_Methanobacteria	1.28903458474865e-06	1.2274772652941564e-06	1.4898011949549e-06	0.0	2.57233867692014e-07	1.242286990837799e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.13045892997151e-06	0.0
