index,ARM,Pielou Evenness,Richness,Shannon Diversity
FMT194,DONOR_d0,0.7813269586890663,156,5.692281158490217
FMT190,DONOR_d0,0.8083777836966394,231,6.347179488242125
FMT189,DONOR_d0,0.7888682490060327,206,6.063636211862973
FMT188,DONOR_d0,0.7682914258864846,188,5.804125840841553
FMT186,DONOR_d0,0.7004438149536927,228,5.486499363634237
FMT185,DONOR_d0,0.7958604218851358,229,6.23891203403839
FMT184,DONOR_d0,0.7787366309287999,228,6.099758380066491
FMT183,PLACEBO_d90,0.7174621720920529,98,4.745804092517582
FMT182,PLACEBO_d30,0.7487218635531606,124,5.206758821027375
FMT181,PLACEBO_d7,0.7767722020741764,129,5.446126434437605
FMT180,PLACEBO_d0,0.797408853708022,132,5.617262239785155
FMT178,FMT_d30,0.6620319106021685,191,5.016499684476457
FMT177,FMT_d7,0.664547279261009,222,5.179757857411803
FMT175,FMT_d90,0.7320696644922113,199,5.590541223814349
FMT174,FMT_d30,0.7245723884147891,203,5.5540907535165305
FMT173,FMT_d7,0.6276858418512803,197,4.784254012929558
FMT172,FMT_d0,0.643896719571104,189,4.8693030895573814
FMT171,PLACEBO_d90,0.8009279953847193,190,6.062909277732281
FMT170,PLACEBO_d30,0.789753753671112,185,5.947936778771779
FMT169,PLACEBO_d7,0.7742120721675176,167,5.716553000548531
FMT168,PLACEBO_d0,0.7452498091900712,159,5.4499246270549895
FMT167,FMT_d90,0.6699549431575093,155,4.874675512342468
FMT166,FMT_d30,0.6194511046802625,148,4.46590385147969
FMT165,FMT_d7,0.6698450710192178,168,4.951707389057839
FMT164,FMT_d0,0.6003540293307691,74,3.727870347996846
FMT163,FMT_d90,0.7643737546074222,142,5.465079050229396
FMT161,FMT_d7,0.6265896957258931,144,4.492601125031212
FMT159,PLACEBO_d90,0.8286261334849543,259,6.642936854315846
FMT158,PLACEBO_d30,0.8165576990856233,248,6.495060237284862
FMT157,PLACEBO_d7,0.7962740733296206,245,6.319739020231983
FMT156,PLACEBO_d0,0.8007418337475884,228,6.27212271348545
FMT155,FMT_d90,0.5249826548849478,60,3.1010151069974903
FMT154,FMT_d30,0.6026986320547625,120,4.162773513725158
FMT153,FMT_d7,0.6419497961827011,173,4.772658075425552
FMT152,FMT_d0,0.6636434761236506,98,4.389809034497948
FMT151,FMT_d90,0.7374528474991725,143,5.280067505034929
FMT150,FMT_d30,0.7249479464090803,150,5.240517264638566
FMT149,FMT_d7,0.7806186961597489,132,5.4989857526889985
FMT148,FMT_d0,0.5942760748288853,52,3.387634940495566
FMT147,FMT_d90,0.7563723311596009,128,5.294606318117206
FMT146,FMT_d30,0.7631663967830982,142,5.456446747102723
FMT145,FMT_d7,0.785506077403941,165,5.786290867405744
FMT144,FMT_d0,0.6074468541004777,109,4.11131227605791
FMT143,FMT_d90,0.7634694841780723,208,5.87905073955352
FMT142,FMT_d30,0.7489763543518296,205,5.751749008245015
FMT141,FMT_d7,0.7590379720297097,203,5.81828102950673
FMT139,FMT_d90,0.5035747633633803,77,3.1557955492792518
FMT138,FMT_d30,0.4929114986256632,76,3.079675313955991
FMT137,FMT_d7,0.4894728525536839,60,2.8912625895550303
FMT136,FMT_d0,0.5046631112592753,57,2.943644422181537
FMT135,FMT_d90,0.7432686784644689,102,4.9594047660799845
FMT134,FMT_d30,0.5826285337093025,160,4.26596422984917
FMT133,FMT_d7,0.6328548150927452,122,4.386150496219746
FMT132,FMT_d0,0.5504809545113838,101,3.665218612363864
FMT131,FMT_d90,0.8266279346448536,253,6.598965490932695
FMT130,FMT_d30,0.7258914177215864,213,5.614559331890527
FMT129,FMT_d7,0.7647915764716335,217,5.935969002926564
FMT128,FMT_d0,0.804463873251657,213,6.222294459563732
FMT127,PLACEBO_d30,0.785259930189031,201,6.008064316887833
FMT126,PLACEBO_d7,0.7620818641865824,188,5.757215155249667
FMT125,PLACEBO_d0,0.765339354595913,171,5.677174456230444
FMT124,PLACEBO_d90,0.4939163760351067,111,3.3558732619830742
FMT123,PLACEBO_d30,0.6959317932430342,131,4.894782682096762
FMT122,PLACEBO_d7,0.45790631382907626,47,2.5434813059077888
FMT121,PLACEBO_d0,0.23293215321710806,43,1.2639515332388624
FMT120,FMT_d90,0.752481748342103,70,4.612173600674309
FMT119,FMT_d30,0.6041864851910879,55,3.4930194049398193
FMT118,FMT_d7,0.5423125982160673,133,3.826168548744833
FMT117,FMT_d0,0.5956256147803312,104,3.9909535264163365
FMT116,FMT_d90,0.6095739366661656,191,4.619003120513441
FMT115,FMT_d30,0.42556391827246287,164,3.1311086599786857
FMT114,FMT_d7,0.6349731252373856,180,4.757125374395837
FMT113,FMT_d0,0.5277665977487196,86,3.391567885821636
FMT112,FMT_d90,0.7885732848579724,177,5.888754238652575
FMT111,FMT_d30,0.7667561318973848,152,5.557392864480635
FMT110,FMT_d7,0.7525418487294511,99,4.988868286761535
FMT109,FMT_d0,0.792533608909311,184,5.96267570888666
FMT108,FMT_d90,0.7659652114551123,75,4.771058425381233
FMT107,FMT_d30,0.6424208305002463,20,2.7764966360798864
FMT106,FMT_d7,0.8077761415153143,255,6.45764797313554
FMT105,FMT_d0,0.7652915092709904,72,4.721791216442605
FMT104,PLACEBO_d90,0.5376461790250393,31,2.663604716419451
FMT103,PLACEBO_d30,0.516463652925208,25,2.398382931430392
FMT102,PLACEBO_d7,0.5239828144524854,34,2.665743097980791
