,Pielou Evenness,Richness,Shannon Diversity
DONOR_d0/PLACEBO_d90,0.19695655585683453,0.6038823882592786,0.34485361354614236
DONOR_d0/PLACEBO_d30,0.09450064844255811,0.459226611739294,0.2087898509181141
DONOR_d0/PLACEBO_d7,0.18387307775981507,0.6334988690253768,0.3304044684724747
DONOR_d0/PLACEBO_d0,0.21280294854294482,0.5145731728297582,0.2959465015812868
DONOR_d0/FMT_d30,0.2551222860144108,0.5526066313891843,0.3929078469391604
DONOR_d0/FMT_d7,0.1905985907026257,0.3469097352126863,0.2629260180958318
DONOR_d0/FMT_d90,0.12573676800518382,0.5663846731668399,0.25195508281153955
DONOR_d0/FMT_d0,0.28086430869372,0.9083367214730533,0.47745388801031136
PLACEBO_d90/PLACEBO_d30,-0.10245590741427629,-0.14465577651998457,-0.13606376262802825
PLACEBO_d90/PLACEBO_d7,-0.013083478097019381,0.029616480766098078,-0.014449145073667699
PLACEBO_d90/PLACEBO_d0,0.015846392686110117,-0.08930921542952028,-0.04890711196485556
PLACEBO_d90/FMT_d30,0.05816573015757612,-0.051275756870094356,0.04805423339301797
PLACEBO_d90/FMT_d7,-0.006357965154208764,-0.2569726530465922,-0.0819275954503106
PLACEBO_d90/FMT_d90,-0.07121978785165083,-0.03749771509243862,-0.09289853073460286
PLACEBO_d90/FMT_d0,0.08390775283688531,0.30445433321377485,0.13260027446416905
PLACEBO_d30/PLACEBO_d7,0.08937242931725678,0.17427225728608267,0.12161461755436054
PLACEBO_d30/PLACEBO_d0,0.11830230010038642,0.05534656109046412,0.08715665066317274
PLACEBO_d30/FMT_d30,0.16062163757185266,0.09338001964989016,0.18411799602104623
PLACEBO_d30/FMT_d7,0.09609794226006763,-0.11231687652660775,0.054136167177717534
PLACEBO_d30/FMT_d90,0.03123611956262554,0.10715806142754598,0.04316523189342534
PLACEBO_d30/FMT_d0,0.18636366025116163,0.44911010973375937,0.2686640370921974
PLACEBO_d7/PLACEBO_d0,0.028929870783129617,-0.11892569619561866,-0.034457966891187845
PLACEBO_d7/FMT_d30,0.07124920825459569,-0.08089223763619247,0.06250337846668562
PLACEBO_d7/FMT_d7,0.006725512942810724,-0.2865891338126905,-0.06747845037664299
PLACEBO_d7/FMT_d90,-0.05813630975463136,-0.06711419585853691,-0.07844938566093528
PLACEBO_d7/FMT_d0,0.0969912309339048,0.2748378524476766,0.14704941953783654
PLACEBO_d0/FMT_d30,0.042319337471466226,0.0380334585594262,0.0969613453578735
PLACEBO_d0/FMT_d7,-0.022204357840318885,-0.167663437617072,-0.03302048348545515
PLACEBO_d0/FMT_d90,-0.08706618053776093,0.05181150033708184,-0.043991418769747395
PLACEBO_d0/FMT_d0,0.06806136015077528,0.3937635486432952,0.18150738642902448
FMT_d30/FMT_d7,-0.0645236953117851,-0.205696896176498,-0.12998182884332857
FMT_d30/FMT_d90,-0.129385518009227,0.013778041777655648,-0.14095276412762087
FMT_d30/FMT_d0,0.025742022679309137,0.3557300900838691,0.084546041071151
FMT_d7/FMT_d90,-0.064861822697442,0.21947493795415374,-0.01097093528429216
FMT_d7/FMT_d0,0.09026571799109438,0.5614269862603671,0.21452786991447975
FMT_d90/FMT_d0,0.15512754068853618,0.34195204830621356,0.22549880519877194
