,Pielou Evenness,Richness,Shannon Diversity
DONOR_d0/PLACEBO_d90,0.6261174799167386,0.19309625665016728,0.2556231075464126
DONOR_d0/PLACEBO_d30,0.6170750774519738,0.13308040166544383,0.28397677175091174
DONOR_d0/PLACEBO_d7,0.17473582321524717,0.11508030439717147,0.13361440253771614
DONOR_d0/PLACEBO_d0,0.6261174799167386,0.07201546415513743,0.14385186965485364
DONOR_d0/FMT_d30,0.001520720223217322,0.0051326995736189285,0.0011732494065331129
DONOR_d0/FMT_d7,0.011159425282914755,0.02882803972078943,0.011159425282914755
DONOR_d0/FMT_d90,0.02774742810184505,0.01241689031025581,0.01005702368413777
DONOR_d0/FMT_d0,0.012659571362704137,0.0026855211958398497,0.004636403572904545
PLACEBO_d90/PLACEBO_d30,0.9307359307359306,0.7922077922077921,0.9307359307359306
PLACEBO_d90/PLACEBO_d7,0.7922077922077921,1.0,0.9307359307359306
PLACEBO_d90/PLACEBO_d0,1.0,0.8412698412698413,1.0
PLACEBO_d90/FMT_d30,0.6867905056759546,0.7538699690402476,0.8230134158926727
PLACEBO_d90/FMT_d7,0.8659700722394221,0.44453044375645,0.8000515995872033
PLACEBO_d90/FMT_d90,0.893188854489164,0.893188854489164,0.893188854489164
PLACEBO_d90/FMT_d0,0.7121781172552228,0.46032164006805465,0.7921473917958973
PLACEBO_d30/PLACEBO_d7,0.6991341991341992,0.8181818181818182,0.8181818181818182
PLACEBO_d30/PLACEBO_d0,1.0,1.0,0.9307359307359306
PLACEBO_d30/FMT_d30,0.0913312693498452,0.9043859649122807,0.23911248710010322
PLACEBO_d30/FMT_d7,0.2347044080790211,0.7909848149786229,0.2672121480171016
PLACEBO_d30/FMT_d90,0.5466460268317854,0.7790505675954593,0.44416924664602686
PLACEBO_d30/FMT_d0,0.1797026502908856,0.1797026502908856,0.1246498599439776
PLACEBO_d7/PLACEBO_d0,0.7922077922077921,0.9307359307359306,0.9307359307359306
PLACEBO_d7/FMT_d30,0.23911248710010322,0.9043859649122807,0.5466460268317854
PLACEBO_d7/FMT_d7,0.7333038478549314,0.42433289105115735,0.9698510983340705
PLACEBO_d7/FMT_d90,0.7180598555211559,0.7790505675954593,0.9043859649122807
PLACEBO_d7/FMT_d0,0.6819650937297996,0.7502693385046326,0.6164619694031459
PLACEBO_d0/FMT_d30,0.129858961128311,0.893188854489164,0.2192982456140351
PLACEBO_d0/FMT_d7,0.3369753405302497,0.6310425693757608,0.4849913194671678
PLACEBO_d0/FMT_d90,0.4439284485724114,0.893188854489164,0.4439284485724114
PLACEBO_d0/FMT_d0,0.2786037491919845,0.3826761473820297,0.2343244990303814
FMT_d30/FMT_d7,0.3261094520204889,0.359337590439034,0.3480712878701422
FMT_d30/FMT_d90,0.050846095833897806,0.8004371191037712,0.28024439903245457
FMT_d30/FMT_d0,0.6996756256347049,0.14975119727483352,0.5202691166630409
FMT_d7/FMT_d90,0.4714517068389269,0.29483451011677975,0.7766531265771661
FMT_d7/FMT_d0,0.25151283025221316,0.02046222276471748,0.06029808713337021
FMT_d90/FMT_d0,0.15723058857062677,0.2076174111548459,0.07598237857716891
