,0.0,7.0,30.0,90.0
Acetobacter sp. 46_36 & CAG:267,0.0,0.0,0.0,0.0
Acidaminococcus intestini,-1.9572761903487832,-0.9525294030323607,-0.8518730695977262,0.3755389834120854
Acidaminococcus massiliensis,0.0,-2.0593193210079654,0.0,0.0
Acidiphilium sp. CAG:727,0.0,0.0,0.0,0.0
Acinetobacter sp. N54.MGS-139 / Proteobacteria bacterium CAG:139,0.0,0.0,0.0,0.0
Actinomyces oris,0.6801229326723256,0.59123875661959,-1.243493449929631,0.1807458314822692
Adlercreutzia equolifaciens,2.475165166167022,2.7448382630040435,3.2837437957402242,2.225385513170452
Akkermansia muciniphila,0.4939211574561091,0.0,0.9701156827040742,4.356873049971192
Akkermansia sp. CAG:344,5.21236362277944,0.0,4.1292209279873,-2.641194948442903
Alistipes finegoldii,-1.505163608563739,-2.3719625776716198,-4.681140389005787,-1.3970575166138701
Alistipes ihumii,-1.0517635173797089,-0.23744195876211496,0.996307356991363,-0.4551088146224714
Alistipes indistinctus,-3.9324866479282576,-3.7064167080528403,-3.4570133798207228,1.5568975990114142
Alistipes inops == Tidjanibacter massiliensis,0.0,-2.266599079191526,-2.718925663086939,-1.72576192040975
Alistipes obesi,-0.6404881315974383,0.8941860193418252,0.2605975037205885,-2.455316050211829
Alistipes onderdonkii,4.497388714770362,0.18948859768840626,-0.6459808059423311,0.3279079530842394
Alistipes putredinis,0.3189686865566583,1.4670121691368454,0.5459699893252911,0.4666453156489388
Alistipes senegalensis,1.3205096606895026,0.5027967014721524,-1.5418488487018072,-1.0139264352383817
Alistipes shahii,-5.411469507575028,-1.029761631968809,-1.9208094443889927,-2.486011037779339
Alistipes sp. An31A,0.0,0.0,0.0,0.0
Alistipes sp. CAG:268,0.0,0.0,0.0,0.0
Alistipes sp. CAG:435,0.0,0.0,0.0,0.0
Alistipes sp. CAG:514,0.0,0.0,0.0,0.0
Alistipes timonensis,-2.579983324888021,0.0,0.0,0.0
Allisonella histaminiformans,-1.2061049691071914,0.23782545898517,-0.4469468767166239,0.0
Anaerococcus obesiensis == vaginalis,0.0,0.0,0.0,0.0
Anaerofilum sp. An201,0.0,0.0,0.0,0.0
Anaerofustis stercorihominis,0.0,0.0,0.0,0.0
Anaeroglobus geminatus,0.0,0.0,0.0,0.0
Anaeromassilibacillus sp. An172,0.0,0.0,0.0,0.0
Anaeromassilibacillus sp. An250,-0.12119022531395292,0.0,0.21328551377996238,-0.15813031617456577
Anaeromassilibacillus sp. Marseille-P3371 & Clostridia bacterium UC5.1-1E11,0.0,0.0,0.0,0.0
Anaerostipes caccae,2.493547776264209,0.0,0.0,0.0
Anaerostipes hadrus 1,1.2007656220531797,-0.12336053973121934,2.463068993320162,0.8052828062985501
Anaerostipes hadrus 2,0.0,5.333816082712865,3.5786803311274427,0.0
Anaerotignum lactatifermentans,0.0,0.0,0.0,0.0
Anaerotruncus colihominis,3.4782486871023988,-0.12985272975774573,-2.6462274633679193,-1.0080628877026654
Anaerotruncus sp. CAG:528,0.0,0.0,0.0,0.0
Atopobium parvulum,0.0,0.0,0.0,0.0
Atopobium parvulum 2,0.0,0.0,-5.435057772680422,0.0
Azospirillum sp. 51_20,0.0,0.0,0.0,-2.4515699313219725
Azospirillum sp. CAG:239,0.0,0.0,0.0,0.0
Bacteroidales bacterium 55_9,0.0,0.0,0.0,0.0
Bacteroidales bacterium H8 & H9 & Prevotella sp. CAG:279,-9.157551546302534,-0.8821575539366984,-4.794392800410425,-1.898195384304966
Bacteroides caccae,2.2405053280173304,1.6215605625764713,-0.5000267513001307,1.5742256066486902
Bacteroides cellulosilyticus,2.0298847887657154,-0.6441176533563354,-2.825893851632367,0.03129713034557467
Bacteroides clarus,-4.488295735020698,-1.661621726966078,3.413447370385787,1.664834785490561
Bacteroides congonensis,0.0,0.0,0.0,0.0
Bacteroides coprocola,0.0,0.0,0.0,0.0
Bacteroides coprophilus,0.0,0.0,0.0,0.0
Bacteroides dorei,-0.23507102259160043,-1.456610037240073,-4.332027803507673,-1.948769725477683
Bacteroides eggerthii,7.264411128949244,7.402223260060891,4.291113972591088,5.589734830492717
Bacteroides faecis,0.0,0.0,1.7657652559378334,3.1544778690322812
Bacteroides finegoldii,1.0733839872552362,-1.7032000213889982,-1.314603399408386,0.0
Bacteroides fragilis 1,1.6311988490330331,2.3633355003717536,-7.160138949337367,-2.249229000344015
Bacteroides fragilis 2,0.0,0.0,0.0,0.0
Bacteroides massiliensis,-6.258610524949277,2.036818465515332,-1.6410913003565895,0.9347976028588254
Bacteroides nordii,-2.968402139616354,-0.15420812845381832,-3.055152805785485,0.0
Bacteroides ovatus,0.7564902868164058,-2.1609488168904742,-1.4380989794630301,-1.2729418956857494
Bacteroides plebeius,0.0,0.0,0.0,0.0
Bacteroides salyersiae,0.0,1.9164362266792825,-3.67869844105055,1.5831474896952618
Bacteroides sp. An19 & An51A & An269 & An279 & CAG:702,0.0,0.0,0.0,0.0
Bacteroides sp. CAG:144,0.0,0.0,0.0,0.0
Bacteroides sp. CAG:709,0.0,0.0,0.0,0.0
Bacteroides sp. CAG:770,0.0,0.0,0.0,0.0
Bacteroides sp. Marseille-P3108 & CAG:633,0.0,0.0,0.0,0.0
Bacteroides sp. Marseille-P3166 & CAG:598,0.0,0.0,0.0,0.0
Bacteroides stercorirosoris,0.0,0.0,0.0,0.0
Bacteroides stercoris,4.819676712583955,1.8084283516037978,-1.6065782133899442,-1.2873438717185675
Bacteroides thetaiotaomicron,-0.3427457612849165,-2.197767651858684,-1.9382487724950375,1.7600164644811076
Bacteroides uniformis,0.4171000981097051,-0.6501979794225805,-0.8286218628808892,-0.290567795193817
Bacteroides vulgatus,0.26028325581916884,0.40956380940437304,-0.8844626934208103,1.3617756679243165
Bacteroides xylanisolvens,3.368414162470101,2.4670723291529564,0.9575577057992152,2.7231660988112707
Barnesiella intestinihominis,3.0591694929650135,1.1866234650395613,-0.6672023828747795,-0.9441999348238811
Barnesiella sp. An22,0.0,0.0,0.0,0.0
Bifidobacterium adolescentis,0.696717253070233,2.6128597334474715,2.4575144161158318,-0.12981054814547696
Bifidobacterium angulatum,-11.342030102389998,1.0895991941201362,6.79536641582187,4.938990517897877
Bifidobacterium animalis,0.6270503965488751,-1.6975964118714186,-0.061242981723992465,0.0
Bifidobacterium bifidum,2.4568958280256177,0.4782384368973897,0.7755926521706198,-0.9760171429732478
Bifidobacterium breve,-3.1573717844584226,-6.509370297037722,-3.3236032405390463,-5.106199192712693
Bifidobacterium catenulatum,0.23327294838342943,-4.118746401634166,-3.9086652012262224,-3.767263533111075
Bifidobacterium dentium,2.6161298608189987,1.5127935457723558,0.10577140981406612,-1.9396214358831003
Bifidobacterium longum,3.653377472550838,1.9128864318771714,1.0646978120432904,-0.7088967280153514
Bifidobacterium pseudocatenulatum,1.8574141966850835,-0.9275813511095742,-1.0992095327163747,-3.6148447544714224
Bifidobacterium scardovii,0.33496544329837025,-5.938521759504461,0.0,0.0
Bilophila wadsworthia,0.5897111273358449,-0.4373410055642096,-1.596928093776063,1.8898429783279393
Blastocystis sp. subtype 4,0.0,0.0,0.0,0.0
Blautia hansenii,0.0,0.0,0.0,0.0
Blautia hydrogenotrophica,0.0,0.0,1.5627847117424616,0.0
Blautia massiliensis,0.22472086814019274,2.1029062716226172,0.23912785222175015,1.7914822156593537
Blautia obeum,-1.7499127132458672,1.9912150590112383,1.5697333042750117,0.5861222148877382
Blautia producta,5.311222768155329,-1.8325155922611827,0.0,5.8684303353727865
Blautia producta 2,0.0,0.0,-1.3629971107072603,0.0
Blautia sp. 2789STDY5608796 & sp. 2789STDY5608848,0.0,0.0,0.7259999589905047,0.0
Blautia sp. 2789STDY5834862,1.878106467065705,2.476909166831893,1.5582629752004935,0.5555201837751946
Blautia sp. CAG:237,0.0,0.0,4.11321332256091,4.296577894717081
Blautia sp. CAG:257,5.054607097962551,1.6811914312563534,-0.3908636869136322,3.1082141847453713
Blautia sp. CAG:52 & sp. 2789STDY5834917,-0.12052427412633951,1.8275940383641933,2.155733506344519,2.0900708138384676
Blautia sp. Marseille-P3087 / Ruminococcus sp. 2789STDY5608882,-2.31545788879101,-0.20953333066481253,-2.484012979702121,-0.25054669023144693
Blautia wexlerae,0.9199675521989293,-0.4644823841706698,1.6209628569351162,1.0970775187633266
Butyricicoccus pullicaecorum,0.0,0.0,0.0,0.0
Butyricicoccus sp. 2789STDY5834927 / Clostridia bacterium UC5.1-1D1,2.9483737751115715,2.379959476755042,-0.29342541904098896,-0.5122904138836103
Butyricicoccus sp. N15.MGS-46 & N54.MGS-46 & K4410.MGS-46,0.08057545495155272,1.391032833903125,0.1198812883253101,0.37031608511772485
Butyricimonas synergistica 2,-1.5056710303487928,-1.491624857047557,-1.621890823661624,-0.19400593557102414
Butyricimonas virosa,0.0,0.0,1.0565771966048816,0.0
Campylobacter concisus 2,0.0,0.0,0.0,0.0
Catabacter hongkongensis,0.0,0.0,0.0,0.0
Catenibacterium sp. CAG:290,0.0,-5.839662340502349,-3.0513298171218453,0.3633592053320027
Christensenella minuta,0.0,0.0,0.0,0.0
Christensenellaceae bacterium Phil1 & Clostridium sp. CAG:226,0.0,0.0,0.0,0.0
Cloacibacillus evryensis,0.0,0.0,0.0,0.0
Cloacibacillus porcorum,0.0,0.0,0.0,0.0
