DATASET_HEATMAP
SEPARATOR SPACE

#label is used in the legend table (can be changed later)
DATASET_LABEL example_heatmap_60

#dataset color (can be changed later)
COLOR #ff0000

MARGIN 0
STRIP_WIDTH 25

SHOW_INTERNAL 0

SHOW_TREE 1

TREE_HEIGHT 1000

COLOR_MIN #ff0000
COLOR_MAX #0000ff

USE_MID_COLOR 1
COLOR_MID #ffff00

FIELD_LABELS FMT102 FMT103 FMT104 FMT105 FMT106 FMT107 FMT108 FMT109 FMT110 FMT111 FMT112 FMT113 FMT114 FMT115 FMT116 FMT117 FMT118 FMT119 FMT120 FMT121 FMT122 FMT123 FMT124 FMT125 FMT126 FMT127 FMT128 FMT129 FMT130 FMT131 FMT132 FMT133 FMT134 FMT135 FMT136 FMT137 FMT138 FMT139 FMT141 FMT142 FMT143 FMT144 FMT145 FMT146 FMT147 FMT148 FMT149 FMT150 FMT151 FMT152 FMT153 FMT154 FMT155 FMT156 FMT157 FMT158 FMT159 FMT161 FMT163 FMT164 FMT165 FMT166 FMT167 FMT168 FMT169 FMT170 FMT171 FMT172 FMT173 FMT174 FMT175 FMT177 FMT178 FMT180 FMT181 FMT182 FMT183 FMT184 FMT185 FMT186 FMT188 FMT189 FMT190 FMT191 FMT192 FMT193 FMT194 FMT195 FMT196 FMT201
DATA
msp_0003 -0.07461818485048421 -0.06794714751242342 -0.07216419392395029 -0.14732804246894468 -0.11911144895624903 -0.07580378921277096 -0.15023343655400723 -0.17166531049544448 -0.14865195549467627 -0.17923943413827212 -0.15251702656423113 0.1724368714986329 -0.0521360996128877 -0.021823778878680478 -0.06918347829734907 0.043557148941771116 -0.06805702434527758 -0.08600050476620454 -0.13347171639372477 -0.04017922129933942 -0.05391613041374007 0.4709696071771226 -0.032601234919532186 -0.18592844002329698 -0.18403573461709485 -0.2149932830938358 0.7936622989779728 -0.11593358288665923 -0.08217436137640732 -0.026571323009029018 -0.06998084420864503 -0.09355074752537645 -0.09778650643572827 -0.13471304523968874 -0.06520346063047855 -0.06904685287838308 -0.07532991524584398 -0.06376477385843328 -0.1695018759589603 -0.19134311461797646 -0.1958212504744234 -0.08564597696195897 -0.19268738338631858 -0.16912605261728442 -0.16005223267114527 -0.08358642516022849 -0.1844813220244017 -0.15411164408660652 -0.15987097855541058 -0.09538239129118174 -0.11164693201862412 -0.09614105977318022 -0.06779676816878129 -0.21014403563514783 -0.22164415779325475 -0.19933592580466752 -0.2761618181375604 -0.09830428025145163 -0.12093730858251306 -0.09167036632679623 -0.1353625760248883 -0.10233405158917869 -0.10847398400049926 -0.16514411522224906 -0.203864069947422 -0.2140122168342132 -0.2192892511694602 -0.1100448921829947 -0.11038067170449178 -0.16850113163754582 -0.16425072541945387 -0.10879911730245694 -0.11965787956560033 -0.005283451273006381 0.031240495399062283 -0.12097439367052146 -0.134809535796577 0.1771625798012423 -0.223700586685026 0.35902745010646764 -0.16429258388407625 -0.20660630876807703 -0.23124285731142347 0.14294971829892655 -0.21616354801444326 1.0885259845788173 -0.1958885207460136 -0.1556742308468411 -0.21136548082229611 -0.23056453054997025
msp_0005 -0.04072760877896134 -0.01430811692294797 2.5708108372159413 0.813263081647477 1.2522084728696425 12.00460277424044 -0.12677091696861378 -0.02092962102716025 -0.14865195549467627 -0.17923943413827212 -0.20346238565422547 0.17624520235126756 0.2465413668928678 -0.04903862123648483 -0.06105596746335855 0.43480127849322636 7.070696419144466 1.3932622783846835 0.9714257873898167 -0.02432261368184212 0.596943988894033 12.604344142501912 6.324395895732224 -0.18592844002329698 -0.18403573461709485 -0.2149932830938358 -0.22492028932134944 -0.17756107467216128 -0.1636663418555718 -0.24783229380126706 -0.06998084420864503 0.34074537651339115 -0.08598210140363922 -0.13946422543489428 0.5193557592910495 -0.05853998806391773 -0.06773681125252161 -0.038135851140830304 -0.14001571394548826 -0.15792971463385577 -0.1958212504744234 -0.08564597696195897 -0.19268738338631858 -0.16912605261728442 -0.16005223267114527 -0.08358642516022849 -0.17778737952378346 0.009497898009492597 -0.12276384956942184 0.015309261411909551 1.149542813316523 0.042520951771292594 0.5159177377612314 -0.1745959964874998 -0.03741439922759129 -0.16792163150725523 -0.1582155327879099 26.082539434567927 18.252284258776033 10.548442712617307 12.044329420315233 19.80370793537243 24.48015528014619 -0.04196694434702811 -0.09536699678728885 -0.1580896472220323 -0.034919644847044254 9.193099269752887 6.26641026775278 16.429717749424622 19.75360468281571 1.7800388466648174 1.7947815294379823 0.009091744235649386 -0.13025566191750237 -0.12781044910773195 -0.11668301924556826 -0.19072839689801818 0.022537800079701072 -0.12488095250458646 0.019476751926967715 0.09464299716240127 -0.19628132300506537 -0.1835383978906167 -0.06261117217584475 -0.16120794510386657 -0.1958885207460136 0.21951973178329612 0.031167753311815757 -0.1903625808983241
msp_0006 -0.07461818485048421 -0.06794714751242342 -0.07216419392395029 -0.14732804246894468 -0.24040192463013474 -0.07580378921277096 -0.15023343655400723 -0.20997188131094568 -0.14865195549467627 -0.17923943413827212 -0.20346238565422547 -0.0715697067327179 -0.1017321159154754 -0.057924182155411924 -0.10425242082597798 -0.09015303954692003 -0.0875042805036315 -0.08600050476620454 -0.13347171639372477 -0.04017922129933942 -0.05391613041374007 -0.14063683350995548 -0.07319703243884702 -0.18592844002329698 -0.18403573461709485 -0.2149932830938358 0.07790204408306581 -0.17756107467216128 -0.1636663418555718 -0.26857545844373554 -0.06998084420864503 -0.10190998905241148 -0.10028404059894817 -0.13946422543489428 -0.06520346063047855 -0.06904685287838308 -0.07532991524584398 -0.06376477385843328 -0.1695018759589603 -0.19134311461797646 -0.1958212504744234 -0.08564597696195897 -0.19268738338631858 -0.16912605261728442 -0.16005223267114527 -0.08358642516022849 -0.1844813220244017 -0.15411164408660652 -0.15987097855541058 -0.09538239129118174 -0.11164693201862412 -0.09614105977318022 -0.06779676816878129 -0.22698782066192857 -0.22164415779325475 -0.2562661428073954 -0.2761618181375604 -0.09830428025145163 -0.15950282989103876 -0.09167036632679623 -0.1353625760248883 -0.10233405158917869 -0.10847398400049926 -0.16514411522224906 -0.203864069947422 -0.2140122168342132 -0.2192892511694602 -0.1100448921829947 -0.11038067170449178 -0.16850113163754582 -0.16425072541945387 -0.11735609046213569 -0.12969823492838092 -0.19565955090998322 -0.17117967670824788 -0.15271900744845787 -0.134809535796577 -0.20390090358431445 -0.223700586685026 -0.1360976064717286 -0.1889881406653506 -0.222151714893826 -0.23124285731142347 -0.21679176061197114 -0.21616354801444326 -0.19938480511751747 -0.1958885207460136 -0.16880207730857177 -0.21136548082229611 -0.23056453054997025
msp_0007 -0.07461818485048421 -0.06794714751242342 -0.07216419392395029 -0.14732804246894468 -0.03637675490895949 -0.07580378921277096 -0.15023343655400723 0.6953071981676019 0.42556290405388714 1.3541969608956022 1.0326091102593837 0.551753054312232 0.3065438511105254 -0.04783377307672373 -0.08809816418538857 0.04238440702927093 0.07459340073821656 -0.08600050476620454 -0.13347171639372477 -0.04017922129933942 -0.05391613041374007 0.49975797892014157 -0.044100372572466746 -0.18592844002329698 -0.1599640197577601 -0.2149932830938358 1.2191908896249979 -0.17756107467216128 -0.1636663418555718 -0.23924882054378885 0.11462240770099255 0.19954444255489118 -0.07592572527808672 0.10995471516663916 -0.06520346063047855 -0.06904685287838308 -0.07532991524584398 -0.030212985840882303 -0.14416807969201356 -0.19134311461797646 -0.1958212504744234 -0.08564597696195897 -0.019199833479409713 -0.003045855707542278 0.0009941903707543383 5.977644357382583 0.19835697967554258 -0.0312546317514386 -0.09901376954211427 0.10210255245345796 -0.06303931955425134 0.007473363199036819 -0.06779676816878129 -0.18616614201695675 -0.104776398584098 -0.1575510843854982 -0.24000773289689037 -0.09830428025145163 0.08971527321403254 -0.09167036632679623 -0.1290764203118929 -0.0701720676616672 -0.058364955711924224 3.1287147250384986 5.648812068023754 1.293497684898021 1.5094842449311017 -0.10472398458807702 -0.11038067170449178 -0.13965452899789899 -0.14260417075187268 -0.07949116107242228 -0.12969823492838092 0.21654638200541654 0.034958379103716096 0.07529931565230681 0.01446625979888475 0.5121458321299978 -0.10302103404697328 0.4703173881668091 -0.1889881406653506 -0.222151714893826 -0.23124285731142347 0.6103910066458669 -0.03676924114688205 1.6473454211144212 0.10660202583915705 -0.16880207730857177 -0.21136548082229611 -0.1934151532389651
msp_0009 -0.07461818485048421 -0.06794714751242342 -0.07216419392395029 0.834340064123939 -0.24040192463013474 -0.07580378921277096 -0.15023343655400723 -0.20997188131094568 -0.14865195549467627 -0.17923943413827212 -0.20346238565422547 -0.0715697067327179 -0.1017321159154754 -0.057924182155411924 -0.10425242082597798 -0.02667916894796397 -0.0875042805036315 0.00022471602984530594 -0.021286538634730463 -0.029762628792424355 0.057730420789164384 -0.07202346212116151 0.2176933058252083 -0.18592844002329698 -0.18403573461709485 -0.2149932830938358 -0.22492028932134944 -0.17756107467216128 -0.1636663418555718 -0.26857545844373554 -0.06998084420864503 -0.10190998905241148 -0.10028404059894817 -0.13946422543489428 -0.06520346063047855 -0.06904685287838308 -0.07532991524584398 -0.06376477385843328 -0.1695018759589603 -0.19134311461797646 -0.1958212504744234 -0.06034094459756689 -0.19268738338631858 -0.16912605261728442 -0.16005223267114527 -0.08358642516022849 -0.1844813220244017 -0.15411164408660652 -0.15987097855541058 0.04432571837953646 -0.11164693201862412 -0.09614105977318022 1.5564117227067849 -0.22698782066192857 -0.22164415779325475 -0.2562661428073954 -0.2761618181375604 -0.09830428025145163 -0.15950282989103876 0.6441361275764912 -0.1353625760248883 -0.10233405158917869 -0.07082760230201354 -0.10158138559426687 -0.16499356006828336 -0.2140122168342132 -0.2192892511694602 -0.1100448921829947 -0.11038067170449178 -0.16850113163754582 -0.16425072541945387 -0.1087378272467389 -0.10966172382612635 -0.19565955090998322 -0.17117967670824788 -0.15271900744845787 -0.134809535796577 -0.20390090358431445 -0.223700586685026 -0.1360976064717286 -0.1889881406653506 -0.20360805761646175 -0.23124285731142347 -0.21679176061197114 -0.21616354801444326 -0.19938480511751747 -0.1958885207460136 -0.16880207730857177 -0.1952120568454269 -0.23056453054997025
msp_0010 -0.07461818485048421 -0.06794714751242342 -0.07216419392395029 -0.14732804246894468 -0.09813955420958582 -0.07580378921277096 -0.15023343655400723 -0.18657296893318553 -0.14865195549467627 -0.14929191083785853 -0.12477008842600845 0.1782229709570784 -0.08225274246901508 -0.057924182155411924 -0.10425242082597798 0.9985266270737064 0.24554069441850135 -0.08600050476620454 -0.13347171639372477 -0.04017922129933942 -0.0504232165838979 13.505809268658032 -0.0643166803172768 -0.18592844002329698 -0.18403573461709485 -0.19705269083059002 -0.22492028932134944 -0.17756107467216128 -0.1636663418555718 -0.26857545844373554 -0.06998084420864503 -0.07533801434219983 -0.10028404059894817 0.06995658149046295 -0.06520346063047855 -0.06904685287838308 -0.07532991524584398 -0.05034672762238088 0.29668292936137663 -0.13800247252695175 -0.1958212504744234 -0.08564597696195897 -0.19268738338631858 -0.16912605261728442 -0.16005223267114527 -0.08358642516022849 -0.1844813220244017 -0.15411164408660652 -0.15987097855541058 -0.09538239129118174 -0.04431423274751006 -0.07460993873889579 -0.06779676816878129 -0.22698782066192857 -0.22164415779325475 -0.2562661428073954 -0.2761618181375604 -0.09830428025145163 -0.14774256053888804 -0.09167036632679623 -0.12153385945174058 -0.10233405158917869 -0.10847398400049926 -0.16514411522224906 -0.203864069947422 -0.2140122168342132 0.3481498504594651 -0.1100448921829947 0.19412236564402408 -0.09708188162511547 -0.13181559366428885 0.3557852843907807 -0.09171957943619694 0.3061899320305384 0.041383353719593625 -0.13423078118989265 0.008320954159350021 -0.20390090358431445 -0.223700586685026 -0.1360976064717286 -0.1889881406653506 -0.19776668566372904 -0.23124285731142347 -0.1456680474189036 -0.1712194562758234 -0.19938480511751747 -0.1958885207460136 -0.1571316176123707 -0.19982899589667924 -0.23056453054997025
msp_0011 -0.07461818485048421 -0.06794714751242342 -0.07216419392395029 -0.14732804246894468 -0.10159362015209786 -0.07580378921277096 10.667289131159299 -0.17902299619891138 0.06954326126843635 -0.15165511252321132 -0.06696651191517304 -0.0715697067327179 -0.1017321159154754 -0.057924182155411924 -0.09124253044564277 -0.023181338308772604 -0.0875042805036315 0.6377108978736526 3.173802344316859 0.45520000266127547 1.5730156904487518 1.3533657497821099 -0.06646656171731687 -0.18592844002329698 -0.18403573461709485 -0.2149932830938358 0.042196484414431204 -0.12249049767767861 -0.1636663418555718 -0.19039019916137065 -0.031680483930109464 0.25713163224532515 -0.08612533348114972 -0.07583399002034766 0.21708064956583983 -0.06904685287838308 -0.07532991524584398 -0.04751920327760516 3.0476810259261313 -0.1741272904459543 -0.15160177961489005 4.624561141116193 0.12643502091414577 -0.12961292616949172 -0.16005223267114527 -0.08358642516022849 -0.1269513480345054 0.008861111427671714 -0.14120716531799946 0.47805681019331525 0.039580470537898226 -0.04799807422820032 -0.06779676816878129 -0.10339398448934006 -0.0439742628882799 0.02096624534384276 0.44382288394552794 -0.07373244723678042 0.018606318588011105 -0.09167036632679623 0.03272441147997845 -0.00820992424337541 -0.022133807736862063 2.0171441915837347 3.4489599768793573 1.5260849884107315 1.2294272825747912 -0.1100448921829947 -0.11038067170449178 -0.16850113163754582 -0.14232588384582356 -0.020824341892641214 -0.10767337274214646 0.6193588560720972 0.3160116282000609 -0.03251545279589927 -0.08525599262984254 -0.18424111805037643 0.1138810753077061 -0.11693179912301299 0.09044837677301669 -0.08125527858524949 0.21620108189635467 -0.19898544683355876 0.17798741719876118 -0.15427986346164976 -0.1406009401753309 0.04381044015503369 -0.06849999383197611 0.24584268372640242
msp_0012 -0.06741839375082781 -0.06794714751242342 -0.07216419392395029 -0.14732804246894468 -0.18632208690373642 -0.07580378921277096 -0.15023343655400723 -0.14353016904208268 0.12917942620616032 0.2774394205865699 0.042604500455155375 0.02106894023239933 0.04187686257285358 -0.04439358563699664 -0.03638302360337196 0.07109299204596209 -0.04632275582652743 -0.08600050476620454 -0.13347171639372477 -0.04017922129933942 -0.05391613041374007 0.660699479176793 -0.04906244930540329 -0.18592844002329698 -0.16484495197815857 -0.17798750159847485 0.32009744487438063 -0.02550389106641306 -0.15054809449886478 -0.14434574791799887 -0.06998084420864503 0.16859363689314424 -0.08099921440220077 -0.0974925690243354 -0.06520346063047855 -0.06904685287838308 -0.07532991524584398 -0.06376477385843328 0.23939936394090006 -0.19134311461797646 -0.16646740140526947 -0.08564597696195897 -0.19268738338631858 -0.16912605261728442 -0.16005223267114527 -0.08358642516022849 -0.1844813220244017 -0.15411164408660652 -0.15987097855541058 0.51480398905364 0.07367694285840695 0.023934667827290233 -0.06779676816878129 -0.14565213138998814 -0.13692816703654742 -0.21945541064117274 0.011002723066047056 -0.06381494304817979 0.3577952440132902 -0.09167036632679623 -0.09286529312114805 -0.08331004940701471 -0.055868247495540764 0.9667107860819746 0.2832116671676464 1.1483117357689938 0.7082780279570885 -0.06686984353480405 -0.051817897184063835 -0.10133366242162273 -0.018093165256869284 0.237434986633146 -0.04474883806193752 1.4567213054651504 0.965995024405766 0.05680214949813572 -0.11245866180636133 -0.13347337286523508 -0.0031309025989698664 0.11218958544955758 0.09369207577319132 -0.038043162696262546 -0.06406753733922066 -0.12641826683226465 0.07367916354521208 0.5059733680013304 -0.1958885207460136 0.14476805901381076 0.07930729908923183 -0.033994978349345784
msp_0013 -0.07461818485048421 -0.06794714751242342 -0.07216419392395029 1.8820822718056638 -0.24040192463013474 -0.07580378921277096 -0.15023343655400723 -0.20997188131094568 -0.14865195549467627 0.16940749014643908 -0.20346238565422547 0.21519627861340798 0.03480506138640558 -0.051684471799002256 0.07464416760819693 -0.09015303954692003 -0.0875042805036315 -0.08600050476620454 -0.13347171639372477 -0.04017922129933942 -0.05391613041374007 -0.14063683350995548 -0.07319703243884702 -0.18592844002329698 -0.18403573461709485 -0.2149932830938358 -0.22492028932134944 1.8924886772814664 0.6573304396294221 0.5253244334396872 -0.06998084420864503 -0.10190998905241148 -0.10028404059894817 -0.13946422543489428 -0.02946833850102882 -0.06904685287838308 -0.07532991524584398 -0.06376477385843328 1.0070187838075535 4.756529188517177 5.507387353237705 1.9071111089127621 4.215856487647179 3.816823789108867 0.6410755977053295 -0.08358642516022849 10.234148564640535 1.4541347178138462 1.55079685668179 1.0524154247170798 -0.11164693201862412 -0.09614105977318022 -0.06779676816878129 1.9857221348361 2.832417226326755 7.729499642375328 3.3759748602535122 -0.09830428025145163 -0.15950282989103876 -0.09167036632679623 -0.11990864142653963 -0.09917328092688807 0.7519113982604386 0.7576241758304487 4.7520196355712105 1.4681089379983379 4.974672998640421 0.48036116568731113 -0.11038067170449178 -0.16850113163754582 -0.14949340291046107 -0.11735609046213569 -0.12969823492838092 -0.19565955090998322 -0.17117967670824788 -0.14865710977035967 -0.134809535796577 0.11166546029933484 -0.1082970457802604 0.18199977151195762 -0.1889881406653506 -0.222151714893826 0.6330960107328217 0.20608271239489662 -0.11724998539045768 0.9459029565084429 0.9158348992409654 -0.16880207730857177 -0.21136548082229611 0.5047584859734106
