,7.0,30.0,90.0
oral Abiotrophia,-0.8519215354164976,-0.3188864765010689,0.22058390042610848
oral Actinobaculum,0.6088730467678913,-0.14597556758812658,-0.11432487717523253
oral Actinomyces,14.644974562959343,-6.164849901777771,-10.354528200439262
oral Aggregatibacter,-0.9417352314673492,0.06418054959605435,-0.7514563320851214
oral Alloprevotella,0.732000461106807,0.23854603884925868,0.015031979940721384
oral Alloscardovia,-0.0732708609354795,-0.1637619365207607,-0.12406272706130253
oral Anaeroglobus,0.6866054872655224,0.19302898524239917,0.02636977098332389
oral Atopobium,0.12314883133779371,0.8373635372452186,-0.1146361883898716
oral Bacteroides,0.1930218575699102,0.06420054291744541,0.1085392202268648
oral Bifidobacterium,0.2587315034575187,0.059752713879215685,0.16675728951407426
oral Bradyrhizobium,0.14617299166508418,0.007492365401704188,0.00539873170282545
oral Bulleidia,0.011485948646231953,0.061437218742612466,0.015785917038711083
oral Campylobacter,0.2983673407286803,-0.35961425616154735,-0.6878332403620299
oral Candida,-0.00010558477341924858,0.033195064282538364,0.019297860230165942
oral Capnocytophaga,-0.5279031596433607,-0.6110379860954527,-1.2520884640208128
oral Cardiobacterium,-0.08784572964234691,0.22505360489288767,-0.046833820638474896
oral Carnobacterium,0.12961646301458177,0.5334349306212668,0.1823580826976478
oral Catonella,-0.02167717248603617,0.04847510486917755,-0.024671418472479334
oral Caviibacter,0.06518338950883108,0.05400584294899449,-0.0019133523982862507
oral Centipeda,-0.03209412464988109,-0.034839416740515175,-0.0465331363429894
oral Chlamydia,0.002283366147419312,-0.00958122708401492,-0.00958122708401492
oral Chryseobacterium,0.2032244543678208,0.2173732495539121,0.03166439168710908
oral Colibacter,0.25205570279391504,0.07012364991691276,0.15569073312510384
oral Corynebacterium,0.18642534755002166,0.23267296478516936,0.050770211553049456
oral Cryptobacterium,0.15775719595075596,0.03963396785882456,0.19683225763163065
oral Cutibacterium,0.04034572022328118,0.11527423231104948,0.17131723185895634
oral Desulfobulbus,-0.026757722592977345,0.15478703289621587,0.04040658839023686
oral Desulfomicrobium,-0.00863718464601452,-0.017809461160982698,0.008206127176567986
oral Desulfovibrio,0.006166301329964131,0.051824261503783185,0.0
oral Dialister,0.02181857595192314,0.6736834168845554,0.06283588385795606
oral Eggerthella,0.0,0.0,0.0
oral Eggerthia,0.0010961314023827772,0.04134969908082601,0.0038712622531600453
oral Eikenella,-0.049950448281861425,0.1678534832059842,0.0029303006653406643
oral Enterobacter,0.0,4.9434010266682,2.1933299601258764
oral Enterococcus,0.0,0.0,0.0
oral Escherichia,-0.03578594692894977,0.007984654422467024,-0.05339570015821648
oral Filifactor,-0.01304206758559318,0.05947070270129463,-0.03258507750388291
oral Fretibacterium,0.10364509733419724,0.12174122305190196,0.07793801768702087
oral Fusobacterium,0.2784054850182409,1.3048623117973492,-0.18494570334087168
oral Gardnerella,0.04977642741993453,-0.00020741557607498523,-0.01925684628745228
oral Gemella,-0.7145560724282156,-0.07562230324899431,0.42347710302036723
oral Granulicatella,-0.09890249549147247,-0.1309684793595926,-0.19970404798062935
oral Haemophilus,-2.1994032879957612,-1.3503594257224152,-0.5143381963805909
oral Isoptericola,2.301700518270377,0.6964619302455021,-5.994597031341111
oral Johnsonella,0.0,0.0026587644339540286,0.0
oral Jonquetella,0.014069687722111538,0.049681117587938854,0.0
oral Kingella,0.46282261000611297,0.9140276063307499,1.8326245909850014
oral Klebsiella,0.0,0.0,0.19771096159853915
oral Kytococcus,-0.10614461953855868,-0.3223982445121776,-0.6271884083252507
oral Lachnoanaerobaculum,-0.010805334899925354,-0.06107195372926593,-0.1173246836854031
oral Lactobacillus,1.271942846141607,1.559854993722191,3.2862574875568176
oral Lactococcus,0.0,0.2173344011095767,0.0
oral Lautropia,-2.8591837153856727,-2.606489732114352,-2.390091634485574
oral Leptotrichia,0.07910531175809693,-0.33810585731462284,-0.5093587895068549
oral Megasphaera,-1.7747137478654265,-2.3988121326255722,-2.1978594394315
oral Mitsuokella,0.29124921119041874,0.15159280872013478,0.10866541482273741
oral Mogibacterium,0.14841612837174412,0.5989665836746025,-8.323920751670104e-05
oral Mycoplasma,0.0066407520930370865,0.10435973191920407,0.0059327359429866685
oral Neisseria,8.733222833158617,5.988950532355354,32.9342403709351
oral Olsenella,2.182261044772427,2.2638259088217674,1.6296071901188338
oral Oribacterium,0.23696233472960557,0.04235534833501914,0.5211481124592734
oral Ottowia,-0.15373426201680984,-0.19613365903136548,-0.16021691701733967
oral Paraprevotella,0.0,0.0,0.0
oral Parascardovia,0.47222701766727737,0.7104685461003682,1.2497162831460102
oral Parvimonas,0.5160373081469205,0.721740054883306,0.10385120082116031
oral Peptoanaerobacter,0.010113183109740406,0.005331310644855227,0.00547839964410382
oral Peptoniphilus,0.034966785534172456,0.023646707308561214,0.0
oral Peptostreptococcus,0.1552244573890714,0.11379899768875901,-0.06039340335836718
oral Phocaeicola,0.03844631490731202,0.030021608475958052,0.014685949399687894
oral Porphyromonas,2.7179427331811183,1.5145266740380416,-0.40934873989613835
